17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																											
18	Богданов Андрей Владимирович	1319	9	13	7	20	19	11	17	9	28	16	26	16	15	16	16	13	24	13	11	20	9	22	6	12	18	16	7	23	15	15	13	28	20	18	22	28	21	11	2	1	5	9	4	3	6	9	5	22	20	7	25	21	11	4	3	16	14	3	9	1	5	5	1	20	7	3	6	10	3	1	7	16	18	22	9	4	8	10	15	22	11	17	4	5	6	4	10	10	2	2	3	10	16	4	2	17	11	17	7	6	5	4	9	21	11	10	6	7	10	6	11	6	5	10	17	2					
		1.31%	1.60%	0.88%	1.22%	2.84%	1.69%	2.38%	1.97%	1.40%	1.58%	1.49%	2.83%	1.68%	1.53%	0.95%	1.76%	1.43%	2.30%	1.39%	1.13%	1.73%	0.82%	2.05%	1.20%	1.04%	2.18%	2.12%	1.20%	1.64%	1.91%	1.45%	1.28%	2.60%	1.70%	1.24%	1.71%	2.17%	1.59%	0.81%	1.00%	0.46%	0.83%	0.71%	1.61%	0.66%	1.46%	2.73%	0.85%	1.21%	1.47%	0.39%	1.85%	1.14%	0.77%	1.01%	0.55%	1.00%	0.82%	0.55%	1.02%	0.39%	1.49%	0.72%	0.43%	2.38%	2.42%	0.47%	2.54%	1.46%	0.59%	0.62%	1.15%	1.92%	1.54%	1.43%	1.64%	1.06%	1.03%	0.94%	1.38%	1.73%	1.00%	1.32%	0.61%	0.83%	0.80%	0.90%	1.11%	1.32%	0.78%	0.78%	1.09%	1.49%	2.74%	1.01%	1.08%	1.64%	1.03%	0.89%	0.94%	0.85%	0.74%	0.70%	1.11%	1.45%	1.09%	0.83%	0.91%	1.11%	1.05%	0.43%	0.80%	1.70%	1.39%	1.08%	1.95%	1.04%					
19	Жириновский Владимир Вольфович	9644	52	148	76	90	95	70	74	70	263	72	58	90	99	316	92	75	86	107	73	90	106	89	37	82	77	64	41	133	64	79	95	112	115	137	135	127	100	97	20	41	78	96	13	34	48	35	58	151	145	167	155	158	98	33	52	139	138	50	87	29	41	48	30	96	33	76	30	63	35	12	64	97	102	155	52	48	99	91	151	135	102	121	44	45	57	38	78	50	17	27	49	44	40	39	20	125	114	378	92	61	57	70	96	138	94	69	53	51	71	74	86	25	27	61	40	22					
		9.58%	9.27%	10.03%	13.26%	12.80%	8.46%	15.15%	8.57%	10.87%	14.83%	6.71%	6.31%	9.43%	10.09%	18.85%	10.11%	8.28%	8.25%	11.47%	7.50%	7.78%	9.70%	8.30%	7.37%	7.13%	9.32%	8.47%	7.01%	9.46%	8.15%	7.64%	9.38%	10.40%	9.75%	9.44%	10.47%	9.84%	7.59%	7.16%	10.00%	18.89%	12.91%	7.58%	5.22%	7.47%	11.71%	10.61%	9.81%	8.28%	10.69%	9.25%	11.44%	8.58%	6.83%	8.31%	9.61%	8.70%	8.07%	9.23%	9.88%	11.37%	12.24%	6.92%	13.04%	11.41%	11.42%	12.03%	12.71%	9.22%	6.88%	7.41%	10.53%	11.62%	8.71%	10.10%	9.45%	12.77%	12.79%	8.58%	13.89%	10.60%	9.30%	9.42%	6.75%	7.49%	7.60%	8.58%	8.65%	6.58%	6.61%	10.47%	17.88%	6.57%	6.85%	9.82%	10.75%	12.04%	10.65%	19.72%	12.33%	8.65%	8.43%	12.24%	11.85%	9.51%	9.35%	5.75%	8.07%	8.12%	7.48%	5.30%	6.27%	7.08%	7.50%	6.59%	4.59%	11.46%					
20	Зюганов Геннадий Андреевич	15790	82	169	67	164	176	69	158	140	209	256	200	188	186	232	192	175	288	201	201	207	210	187	77	226	158	126	143	316	143	241	222	215	227	325	278	264	231	242	26	18	99	178	39	50	46	25	82	215	192	201	186	186	279	39	94	195	194	46	120	57	27	65	31	201	33	82	51	89	89	26	96	155	236	283	73	71	85	139	110	203	206	208	83	85	157	36	72	132	40	29	25	70	84	35	34	155	134	50	100	72	83	84	164	251	175	152	97	76	96	204	167	38	58	96	106	33					
		15.69%	14.62%	11.46%	11.69%	23.33%	15.67%	14.94%	18.31%	21.74%	11.78%	23.86%	21.76%	19.71%	18.96%	13.84%	21.10%	19.32%	27.64%	21.54%	20.66%	17.89%	19.21%	17.44%	15.34%	19.65%	19.13%	16.67%	24.44%	22.48%	18.22%	23.31%	21.92%	19.96%	19.25%	22.40%	21.55%	20.47%	17.53%	17.86%	13.00%	8.29%	16.39%	14.06%	15.66%	10.99%	11.22%	7.58%	13.87%	11.79%	14.15%	11.13%	13.73%	10.10%	19.44%	9.82%	17.38%	12.21%	11.35%	8.49%	13.62%	22.35%	8.06%	9.37%	13.48%	23.90%	11.42%	12.97%	21.61%	13.03%	17.49%	16.05%	15.79%	18.56%	20.15%	18.45%	13.27%	18.88%	10.98%	13.11%	10.12%	15.95%	18.78%	16.20%	12.73%	14.14%	20.93%	8.13%	7.98%	17.37%	15.56%	11.24%	9.12%	10.45%	14.38%	8.82%	18.28%	14.93%	12.52%	2.61%	13.40%	10.21%	12.28%	14.69%	20.25%	17.30%	17.41%	12.66%	14.76%	12.10%	10.12%	14.62%	12.18%	10.76%	16.11%	10.37%	12.17%	17.19%					
21	Медведев Дмитрий Анатольевич	72803	415	1137	416	427	811	310	601	416	1252	711	615	610	671	1095	599	627	622	603	667	834	758	764	376	820	569	543	383	909	555	685	673	709	806	955	840	857	944	996	151	153	418	967	189	365	304	244	443	1416	988	1420	976	1471	1022	318	392	1235	1352	442	657	167	258	572	165	509	214	462	145	513	376	121	440	559	803	1062	416	251	575	817	799	890	758	927	517	463	526	365	736	562	197	199	197	532	441	319	130	729	803	1451	540	558	525	414	532	1029	715	959	493	490	767	1097	1094	282	262	747	697	132					
		72.35%	73.98%	77.08%	72.60%	60.74%	72.22%	67.10%	69.64%	64.60%	70.57%	66.26%	66.92%	63.94%	68.40%	65.33%	65.82%	69.21%	59.69%	64.63%	68.55%	72.08%	69.35%	71.27%	74.90%	71.30%	68.89%	71.83%	65.47%	64.65%	70.70%	66.25%	66.44%	65.83%	68.36%	65.82%	65.12%	66.43%	71.62%	73.51%	75.50%	70.51%	69.21%	76.38%	75.90%	80.22%	74.15%	73.94%	74.96%	77.67%	72.81%	78.63%	72.03%	79.86%	71.22%	80.10%	72.46%	77.33%	79.11%	81.55%	74.57%	65.49%	77.01%	82.42%	71.74%	60.52%	74.05%	73.10%	61.44%	75.11%	73.87%	74.69%	72.37%	66.95%	68.57%	69.23%	75.64%	66.76%	74.29%	77.08%	73.51%	69.91%	69.10%	72.20%	79.29%	77.04%	70.13%	82.39%	81.60%	73.95%	76.65%	77.13%	71.90%	79.40%	75.51%	80.35%	69.89%	70.23%	75.05%	75.69%	72.39%	79.15%	77.66%	72.38%	65.68%	70.92%	71.14%	79.85%	75.04%	78.03%	80.82%	78.64%	79.80%	79.89%	72.78%	80.67%	80.02%	68.75%					
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
