Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Железнодорожная"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803					
1	"Число избирателей, внесенных в список"	76035	604	2513	1593	2265	2458	2636	2235	2098	2253	1443	2152	1375	1733	2805	1330	2242	2223	2597	2740	2159	2476	2698	2773	2260	2783	2577	2354	1557	1770	1067	955	2478	885	1258	228	2086	2667	1709					
2	Число полученных избирательных бюллетеней	71167	600	2333	1515	1932	2354	2415	2111	1973	2089	1322	1970	1293	1650	2618	1259	2111	2097	2480	2600	2047	2362	2565	2618	2166	2653	2443	2193	1680	1689	968	696	2369	813	1188	215	1960	2449	1371					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39078	310	975	980	1201	1544	1600	895	1205	983	615	1139	720	935	1437	539	1226	1172	1495	1332	1131	1370	1066	1541	1356	1354	1433	1327	813	1018	499	416	1232	436	543	107	991	1213	929					
5	"Число избирательных бюллетеней, выданных вне помещения"	2208	246	635	31	205	24	31	16	31	48	10	111	40	40	10	26	41	45	57	47	26	31	18	20	28	13	35	28	11	30	29	130	27	4	13	25	18	22	6					
6	Число погашенных избирательных бюллетеней	29881	44	723	504	526	786	784	1200	737	1058	697	720	533	675	1171	694	844	880	928	1221	890	961	1481	1057	782	1286	975	838	856	641	440	150	1110	373	632	83	951	1214	436					
7	Число избирательных бюллетеней в переносных ящиках	2208	246	635	31	205	24	31	16	31	48	10	111	40	40	10	26	41	45	57	47	26	31	18	20	28	13	35	28	11	30	29	130	27	4	13	25	18	22	6					
8	Число бюллетеней в стационарных ящиках для голосования	39009	310	973	980	1196	1544	1600	895	1205	982	615	1139	720	934	1434	538	1182	1171	1492	1327	1131	1369	1066	1541	1356	1354	1433	1327	813	1018	499	416	1232	436	543	107	991	1213	927					
9	Число недействительных избирательных бюллетеней	456	5	25	6	16	12	10	12	16	19	8	12	14	17	15	5	12	15	13	13	7	15	18	9	20	17	6	14	13	7	4	2	19	6	16	5	5	17	11					
10	Число действительных избирательных бюллетеней	40761	551	1583	1005	1385	1556	1621	899	1220	1011	617	1238	746	957	1429	559	1211	1201	1536	1361	1150	1385	1066	1552	1364	1350	1462	1341	811	1041	524	544	1240	434	540	127	1004	1218	922					
11	Число полученных открепительных  удостоверений	1870	0	73	40	50	60	60	60	50	50	40	49	40	40	60	40	60	60	60	59	50	60	60	60	60	60	59	60	40	40	30	30	60	30	40	20	60	60	40					
12	Число выданных открепительных удостоверений	350	0	12	19	4	10	19	3	16	8	10	10	7	10	17	1	17	6	12	8	9	11	7	17	18	16	10	14	10	7	3	0	19	0	2	1	3	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	358	66	16	10	45	5	6	4	11	11	3	5	18	4	13	1	5	11	6	4	3	2	16	7	8	7	4	8	2	4	8	11	5	3	4	1	3	3	15					
14	Число неиспользованных открепительных удостоверений	1520	0	61	21	46	50	41	57	34	42	30	39	33	30	43	39	43	54	48	51	41	49	53	43	42	44	49	46	30	33	27	30	41	30	38	19	57	53	33					
15	"Число открепительных удостоверений, выданных в ТИК"	29	0	0	0	0	1	0	1	0	2	0	2	1	0	1	1	0	4	0	3	2	2	2	1	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	3277	26	117	123	131	191	189	57	121	60	39	119	75	70	108	45	107	79	144	117	91	104	68	128	117	106	121	108	52	91	31	26	71	30	21	3	78	59	54					
		7.95%	4.68%	7.28%	12.17%	9.35%	12.18%	11.59%	6.26%	9.79%	5.83%	6.24%	9.52%	9.87%	7.19%	7.48%	7.98%	8.75%	6.50%	9.30%	8.52%	7.87%	7.43%	6.27%	8.20%	8.45%	7.75%	8.24%	7.97%	6.31%	8.68%	5.87%	4.76%	5.64%	6.82%	3.78%	2.27%	7.73%	4.78%	5.79%					
19	. Малышкин Олег Александрович	850	6	56	16	25	15	24	22	30	32	15	20	14	15	36	10	26	20	26	35	24	19	13	20	26	35	24	38	18	26	8	17	33	8	16	1	25	35	21					
		2.06%	1.08%	3.48%	1.58%	1.78%	0.96%	1.47%	2.41%	2.43%	3.11%	2.40%	1.60%	1.84%	1.54%	2.49%	1.77%	2.13%	1.64%	1.68%	2.55%	2.07%	1.36%	1.20%	1.28%	1.88%	2.56%	1.63%	2.80%	2.18%	2.48%	1.52%	3.11%	2.62%	1.82%	2.88%	0.76%	2.48%	2.83%	2.25%					
20	. Миронов Сергей Михайлович	428	4	11	11	14	13	23	10	15	9	5	12	10	6	18	7	15	10	15	11	14	21	14	11	17	15	23	19	5	15	9	6	8	5	3	0	5	11	8					
		1.04%	0.72%	0.68%	1.09%	1.00%	0.83%	1.41%	1.10%	1.21%	0.87%	0.80%	0.96%	1.32%	0.62%	1.25%	1.24%	1.23%	0.82%	0.97%	0.80%	1.21%	1.50%	1.29%	0.70%	1.23%	1.10%	1.57%	1.40%	0.61%	1.43%	1.70%	1.10%	0.64%	1.14%	0.54%	0.00%	0.50%	0.89%	0.86%					
21	. Путин Владимир Владимирович	25946	388	1026	583	835	893	929	548	688	645	398	746	480	587	937	371	774	762	932	869	740	891	754	1043	862	896	974	824	500	587	370	416	923	291	327	102	675	737	643					
		62.95%	69.78%	63.81%	57.67%	59.60%	56.95%	56.96%	60.15%	55.66%	62.62%	63.68%	59.68%	63.16%	60.27%	64.89%	65.78%	63.29%	62.66%	60.17%	63.25%	63.96%	63.64%	69.56%	66.82%	62.28%	65.54%	66.35%	60.81%	60.68%	56.01%	70.08%	76.19%	73.31%	66.14%	58.81%	77.27%	66.90%	59.68%	68.92%					
22	. Хакамада Ирина Муцуовна	1211	10	54	35	42	81	98	19	53	27	23	38	15	27	29	18	19	38	35	49	36	30	30	39	40	35	53	46	23	45	11	10	18	3	14	1	20	28	19					
