Выборы Президента Российской Федерации																																																																																														
Дата голосования: 02.03.2008																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
	Число участковых избирательных комиссий	87																																																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	87																																																																																												
																																																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, включенных в списки избирателей"	140811	2073	2352	2176	1824	1918	2160	1087	1943	2479	2501	2232	2192	1704	1933	1234	1594	2355	2468	2265	1916	991	1077	2263	1044	1059	2542	144	636	645	2016	2490	2338	2659	2369	1775	2348	140	2636	2662	2523	2312	2294	2419	2158	1631	2100	1925	2057	2460	2353	2183	2159	2286	1957	1041	1820	1532	1711	1428	2598	2417	1812	1998	1972	2264	2071	2456	2859	1608	1547	1122	224	73	205	135	71	123	111	107	112	171	124	578	553	457	236	218					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	133186	1879	1957	1876	1644	1760	1969	997	2042	2250	2601	2048	1961	1632	1797	1139	1432	1631	2345	2155	1771	879	969	2085	921	1162	2381	155	595	595	1972	2293	2173	2433	2219	1657	2417	140	2468	2489	2555	2163	2173	2288	2028	1513	2097	2004	1894	2340	2432	2021	1949	2099	1843	953	1559	1519	1621	1649	2434	2340	1693	2157	2005	2294	1914	2319	2640	1521	1478	981	320	90	210	200	70	150	170	120	150	200	120	554	575	441	241	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	260	0	0	0	0	0	0	0	0	163	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	71589	1207	1298	823	838	921	1040	461	965	1140	1385	1083	1272	778	783	481	925	1307	1140	964	799	409	508	1117	619	580	1246	133	272	317	1381	1251	1277	1284	1193	928	1288	139	1240	1281	1126	1172	1238	1359	1159	792	1181	977	918	1105	1166	1131	1167	992	896	487	1111	930	896	975	1347	1172	927	1069	1176	971	1035	1251	1312	708	722	510	212	64	205	114	64	121	111	88	100	171	91	319	316	232	147	183					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2298	7	14	266	38	38	48	28	52	16	36	43	61	44	33	16	24	28	24	48	12	5	27	35	9	32	29	0	9	3	14	34	34	28	28	20	31	0	37	44	57	25	22	18	6	50	28	35	42	47	36	31	29	34	32	10	28	18	19	7	28	23	40	73	17	32	28	9	20	19	13	102	0	0	0	0	0	0	0	0	0	0	24	0	1	0	0	0					
6	Число погашенных избирательных бюллетеней	59039	665	645	787	768	801	881	508	1025	931	1180	922	628	788	981	642	483	296	1181	1143	960	465	434	933	293	550	1106	22	314	275	577	1008	862	1121	998	709	1098	1	1191	1164	1372	966	913	911	863	671	888	992	934	1188	1230	859	753	1073	915	456	420	571	706	667	1059	1089	726	1015	812	1272	851	1059	1308	794	743	369	108	26	5	86	6	29	59	32	50	29	5	235	258	209	94	27					
