8	Число бюллетеней в стационарных ящиках для голосования	80707	1383	1079	930	913	982	1215	508	1093	1305	1535	1233	1700	373	866	499	920	1695	1329	1181	1002	533	612	1291	603	678	1295	120	328	380	1252	1442	1336	1436	1375	1017	1492	132	1527	1472	1476	1307	1403	1991	1467	852	1269	1176	1080	1369	1375	1171	1233	1154	1095	561	1408	760	1058	1182	1760	1252	978	1207	1243	1237	1138	1418	1490	828	931	585	177	49	211	138	44	95	78	72	139	323	232	261	372									
9	Число недействительных избирательных бюллетеней	1025	13	16	20	13	14	15	7	11	20	12	22	19	7	10	4	20	28	33	16	12	7	7	13	9	9	33	4	4	2	22	10	14	20	27	14	17	1	24	20	18	13	13	21	19	13	6	9	17	11	16	13	16	10	12	8	27	7	10	17	30	11	7	19	13	12	10	11	19	14	8	3	2	1	0	2	0	2	0	1	5	4	1	3	2									
10	Число действительных избирательных бюллетеней	81366	1375	1071	1146	936	996	1222	517	1103	1341	1538	1226	1768	372	879	510	918	1680	1314	1195	1005	530	620	1303	604	677	1282	116	330	384	1238	1459	1351	1425	1380	1021	1494	131	1520	1468	1493	1304	1407	1978	1462	855	1279	1217	1086	1406	1388	1176	1238	1168	1098	556	1396	763	1056	1170	1748	1260	987	1217	1246	1293	1155	1416	1485	828	936	661	175	48	211	136	44	93	78	71	134	319	256	258	370									
11	Число полученных открепительных  удостоверений	951	30	20	10	10	10	10	5	10	20	13	10	45	5	25	10	20	10	12	10	5	10	10	11	10	10	14	10	5	5	10	20	10	12	15	20	10	10	15	10	15	13	10	29	13	10	15	10	10	10	10	10	12	10	10	10	10	10	10	17	25	25	10	10	10	15	15	10	10	10	10	10	0	0	0	0	0	0	0	0	0	10	10	10	10									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	677	30	12	10	8	6	4	2	8	19	13	5	37	3	14	2	13	7	12	10	5	5	5	11	7	8	14	5	2	3	7	14	8	11	12	14	6	4	15	9	14	13	10	24	13	7	12	9	3	8	4	3	11	10	4	0	10	5	6	16	13	17	4	8	6	11	12	5	6	10	7	1	0	0	0	0	0	0	0	0	0	2	4	2	7									
13	Число избирателей, проголосовавших по открепительным удостоверениям	487	4	8	3	9	0	6	1	2	13	3	3	22	5	9	0	6	27	7	3	7	4	4	11	4	1	6	1	0	5	7	11	2	8	4	4	7	1	11	9	11	5	5	16	8	8	4	12	4	13	7	12	10	4	11	3	8	0	9	6	9	8	3	8	7	5	5	8	1	4	4	4	1	1	8	3	0	0	1	0	0	0	8	2	3									
14	Число неиспользованных открепительных удостоверений	274	0	8	0	2	4	6	3	2	1	0	5	8	2	11	8	7	3	0	0	0	5	5	0	3	2	0	5	3	2	3	6	2	1	3	6	4	6	0	1	1	0	0	5	0	3	3	1	7	2	6	7	1	0	6	10	0	5	4	1	12	8	6	2	4	4	3	5	4	0	3	9	0	0	0	0	0	0	0	0	0	8	6	8	3									
15	Число открепительных удостоверений, выданных избирателям ТИК	173	6	2	2	2	2	1	0	0	2	2	0	18	0	6	0	3	0	0	0	0	1	0	3	0	2	4	1	0	0	2	0	1	0	1	3	2	0	0	2	4	0	0	1	2	1	1	0	3	0	2	1	1	3	2	0	1	0	0	3	6	65	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																															
19	Жириновский Владимир Вольфович	8393	160	138	173	115	89	113	51	100	159	140	148	204	48	91	60	100	164	138	126	117	63	59	113	53	83	128	3	34	38	130	147	126	139	127	93	155	9	154	119	123	116	147	192	135	89	129	127	117	182	145	96	122	143	124	57	174	83	123	99	166	117	112	120	119	169	121	118	138	96	94	70	19	6	21	8	12	7	7	6	23	23	30	21	40									
		10.19%	11.53%	12.70%	14.84%	12.12%	8.81%	9.14%	9.73%	8.98%	11.68%	9.03%	11.86%	11.42%	12.66%	10.24%	11.67%	10.66%	9.60%	10.24%	10.40%	11.50%	11.73%	9.41%	8.59%	8.65%	12.10%	9.73%	2.50%	10.18%	9.84%	10.32%	10.01%	9.23%	9.62%	9.03%	8.99%	10.26%	6.82%	9.97%	7.99%	8.14%	8.81%	10.35%	9.60%	9.12%	10.25%	10.04%	10.36%	10.61%	12.84%	10.33%	8.07%	9.73%	12.14%	11.17%	10.11%	12.23%	10.78%	11.54%	8.34%	9.34%	9.21%	11.27%	9.71%	9.45%	12.95%	10.39%	8.27%	9.18%	11.40%	9.96%	10.54%	10.73%	12.24%	9.95%	5.80%	27.27%	7.37%	8.97%	8.33%	16.55%	7.12%	11.67%	8.05%	10.75%									
20	Зюганов Геннадий Андреевич	14043	168	166	153	141	198	230	77	219	270	288	211	194	48	127	73	160	314	227	212	169	81	114	265	115	75	246	19	42	48	232	285	256	222	234	174	295	14	294	300	314	229	251	344	246	168	245	214	195	232	262	199	231	192	187	76	196	129	177	186	295	206	197	244	226	195	202	251	269	142	150	102	23	5	33	35	2	8	12	7	13	59	37	36	65									
		17.04%	12.10%	15.27%	13.12%	14.86%	19.60%	18.59%	14.69%	19.66%	19.84%	18.58%	16.91%	10.86%	12.66%	14.29%	14.20%	17.06%	18.38%	16.85%	17.51%	16.62%	15.08%	18.18%	20.14%	18.76%	10.93%	18.71%	15.83%	12.57%	12.44%	18.41%	19.40%	18.75%	15.36%	16.63%	16.81%	19.52%	10.61%	19.04%	20.16%	20.78%	17.39%	17.68%	17.21%	16.61%	19.35%	19.07%	17.46%	17.68%	16.37%	18.66%	16.74%	18.42%	16.30%	16.85%	13.48%	13.77%	16.75%	16.60%	15.67%	16.59%	16.21%	19.82%	19.74%	17.95%	14.94%	17.34%	17.59%	17.89%	16.86%	15.89%	15.36%	12.99%	10.20%	15.64%	25.36%	4.55%	8.42%	15.38%	9.72%	9.35%	18.27%	14.40%	13.79%	17.47%									
21	Миронов Сергей Михайлович	2868	32	37	44	28	33	47	15	41	38	49	35	42	13	33	14	33	47	45	57	40	22	24	48	30	17	39	5	10	18	45	69	57	61	45	47	53	1	54	52	60	55	52	56	54	30	49	54	44	43	48	54	44	29	26	24	40	23	39	46	56	28	21	54	44	64	61	63	53	35	24	21	2	1	8	7	0	2	4	8	2	3	3	8	6									
		3.48%	2.31%	3.40%	3.77%	2.95%	3.27%	3.80%	2.86%	3.68%	2.79%	3.16%	2.80%	2.35%	3.43%	3.71%	2.72%	3.52%	2.75%	3.34%	4.71%	3.93%	4.10%	3.83%	3.65%	4.89%	2.48%	2.97%	4.17%	2.99%	4.66%	3.57%	4.70%	4.18%	4.22%	3.20%	4.54%	3.51%	0.76%	3.50%	3.49%	3.97%	4.18%	3.66%	2.80%	3.65%	3.46%	3.81%	4.40%	3.99%	3.03%	3.42%	4.54%	3.51%	2.46%	2.34%	4.26%	2.81%	2.99%	3.66%	3.88%	3.15%	2.20%	2.11%	4.37%	3.49%	4.90%	5.24%	4.41%	3.52%	4.16%	2.54%	3.16%	1.13%	2.04%	3.79%	5.07%	0.00%	2.11%	5.13%	11.11%	1.44%	0.93%	1.17%	3.07%	1.61%									
22	Прохоров Михаил Дмитриевич	8342	90	94	96	81	108	122	35	116	106	177	127	152	41	96	51	99	204	113	124	115	51	55	155	64	57	122	16	21	17	122	138	133	166	153	114	158	8	171	165	188	165	186	274	171	81	123	139	95	153	142	127	133	124	100	52	113	77	116	135	179	144	106	116	117	123	141	153	157	74	102	59	9	1	20	2	1	4	7	6	0	22	22	18	32									
		10.12%	6.48%	8.65%	8.23%	8.54%	10.69%	9.86%	6.68%	10.41%	7.79%	11.42%	10.18%	8.51%	10.82%	10.80%	9.92%	10.55%	11.94%	8.39%	10.24%	11.31%	9.50%	8.77%	11.78%	10.44%	8.31%	9.28%	13.33%	6.29%	4.40%	9.68%	9.39%	9.74%	11.49%	10.87%	11.01%	10.46%	6.06%	11.08%	11.09%	12.44%	12.53%	13.10%	13.71%	11.55%	9.33%	9.57%	11.34%	8.61%	10.80%	10.11%	10.68%	10.61%	10.53%	9.01%	9.22%	7.94%	10.00%	10.88%	11.37%	10.07%	11.33%	10.66%	9.39%	9.29%	9.43%	12.10%	10.72%	10.44%	8.79%	10.81%	8.89%	5.08%	2.04%	9.48%	1.45%	2.27%	4.21%	8.97%	8.33%	0.00%	6.81%	8.56%	6.90%	8.60%									
23	Путин Владимир Владимирович	47720	925	636	680	571	568	710	339	627	768	884	705	1176	222	532	312	526	951	791	676	564	313	368	722	342	445	747	73	223	263	709	820	779	837	821	593	833	99	847	832	808	739	771	1112	856	487	733	683	635	796	791	700	708	680	661	347	873	451	601	704	1052	765	551	683	740	742	630	831	868	481	566	409	122	35	129	84	29	72	48	44	96	212	164	175	227									
		57.92%	66.64%	58.51%	58.32%	60.17%	56.24%	57.40%	64.69%	56.28%	56.43%	57.03%	56.49%	65.81%	58.58%	59.84%	60.70%	56.08%	55.68%	58.72%	55.82%	55.46%	58.29%	58.69%	54.86%	55.79%	64.87%	56.81%	60.83%	66.77%	68.13%	56.27%	55.82%	57.07%	57.92%	58.35%	57.29%	55.13%	75.00%	54.86%	55.91%	53.47%	56.11%	54.30%	55.63%	57.80%	56.11%	57.04%	55.71%	57.57%	56.18%	56.34%	58.87%	56.46%	57.72%	59.55%	61.52%	61.35%	58.57%	56.38%	59.31%	59.17%	60.19%	55.43%	55.26%	58.78%	56.86%	54.08%	58.23%	57.71%	57.13%	59.96%	61.60%	68.93%	71.43%	61.14%	60.87%	65.91%	75.79%	61.54%	61.11%	69.06%	65.63%	63.81%	67.05%	61.02%									
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
