Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Назаровская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590					
1	"Число избирателей, внесенных в список"	43596	1155	2157	2256	2272	2000	2027	2459	2384	2465	2790	2579	2378	2185	2741	2940	1743	2351	2443	2120	151					
2	Число полученных избирательных бюллетеней	42497	1150	2150	2200	2250	2000	2020	2400	2300	2460	2600	2550	2350	2100	2550	2880	1720	2330	2250	2100	137					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22573	554	911	1212	1274	1120	1135	1340	1329	1446	1543	1342	1263	1032	1386	1392	757	945	1611	981	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	1117	72	46	28	17	27	36	71	45	32	27	41	28	13	48	53	149	125	63	65	131					
6	Число погашенных избирательных бюллетеней	18807	524	1193	960	959	853	849	989	926	982	1030	1167	1059	1055	1116	1435	814	1260	576	1054	6					
7	Число избирательных бюллетеней в переносных ящиках	1117	72	46	28	17	27	36	71	45	32	27	41	28	13	48	53	149	125	63	65	131					
8	Число бюллетеней в стационарных ящиках для голосования	22450	554	911	1212	1274	1119	1135	1269	1287	1446	1540	1342	1263	1032	1386	1392	757	945	1605	981	0					
9	Число недействительных избирательных бюллетеней	156	4	9	0	13	7	4	11	8	13	6	0	10	9	7	20	5	11	7	8	4					
10	Число действительных избирательных бюллетеней	23411	622	948	1240	1278	1139	1167	1329	1324	1465	1561	1383	1281	1036	1427	1425	901	1059	1661	1038	127					
11	Число полученных открепительных  удостоверений	760	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0					
12	Число выданных открепительных удостоверений	191	6	8	6	7	9	11	10	8	21	11	8	12	12	25	15	3	5	12	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	1	0	4	2	2	8	5	3	6	1	7	5	1	2	1	3	2	10	9	1					
14	Число неиспользованных открепительных удостоверений	569	34	32	34	33	31	29	30	32	19	29	32	28	28	15	25	37	35	28	38	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	4433	139	140	278	251	239	241	219	224	296	392	224	265	162	249	228	148	144	381	194	19					
		18.81%	22.20%	14.63%	22.42%	19.44%	20.86%	20.58%	16.34%	16.82%	20.03%	25.02%	16.20%	20.53%	15.50%	17.36%	15.78%	16.34%	13.46%	22.84%	18.55%	14.50%					
19	. Малышкин Олег Александрович	389	11	17	25	16	22	17	21	9	19	19	31	27	15	24	19	22	29	18	28	0					
		1.65%	1.76%	1.78%	2.02%	1.24%	1.92%	1.45%	1.57%	0.68%	1.29%	1.21%	2.24%	2.09%	1.44%	1.67%	1.31%	2.43%	2.71%	1.08%	2.68%	0.00%					
20	. Миронов Сергей Михайлович	111	0	4	9	5	8	2	7	8	14	10	4	7	3	3	5	5	0	11	6	0					
		0.47%	0.00%	0.42%	0.73%	0.39%	0.70%	0.17%	0.52%	0.60%	0.95%	0.64%	0.29%	0.54%	0.29%	0.21%	0.35%	0.55%	0.00%	0.66%	0.57%	0.00%					
21	. Путин Владимир Владимирович	13753	305	569	684	768	649	691	793	813	824	864	837	737	689	875	862	545	672	895	590	91					
		58.36%	48.72%	59.46%	55.16%	59.49%	56.63%	59.01%	59.18%	61.04%	55.75%	55.14%	60.52%	57.09%	65.93%	61.02%	59.65%	60.15%	62.80%	53.66%	56.41%	69.47%					
22	. Хакамада Ирина Муцуовна	814	32	38	46	66	31	46	50	45	52	51	46	42	34	53	51	28	20	63	19	1					
		3.45%	5.11%	3.97%	3.71%	5.11%	2.71%	3.93%	3.73%	3.38%	3.52%	3.25%	3.33%	3.25%	3.25%	3.70%	3.53%	3.09%	1.87%	3.78%	1.82%	0.76%					
23	. Харитонов Николай Михайлович	2838	98	126	134	104	124	124	163	177	188	157	140	158	89	158	211	119	165	233	162	8					
		12.04%	15.65%	13.17%	10.81%	8.06%	10.82%	10.59%	12.16%	13.29%	12.72%	10.02%	10.12%	12.24%	8.52%	11.02%	14.60%	13.13%	15.42%	13.97%	15.49%	6.11%					
																											
24	Против всех	1073	37	54	64	68	66	46	76	48	72	68	101	45	44	65	49	34	29	60	39	8					
		4.55%	5.91%	5.64%	5.16%	5.27%	5.76%	3.93%	5.67%	3.60%	4.87%	4.34%	7.30%	3.49%	4.21%	4.53%	3.39%	3.75%	2.71%	3.60%	3.73%	6.11%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
