Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №332	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1852	УИК №1853					
1	"Число избирателей, внесенных в список"	83909	515	2118	2025	1856	2095	1619	2402	2195	1352	2436	541	900	1663	1807	1209	1862	1109	847	557	583	2217	1030	2599	1902	2366	2522	2767	2310	2515	1942	2479	2325	2333	1310	2842	1162	1979	2121	2541	1878	2375	1361	2756	2767	324	86	369	109	298	175	158	167	82	51					
2	Число полученных избирательных бюллетеней	80540	500	2200	1950	1820	1950	1650	2250	2100	1250	2400	500	900	1550	1800	1100	1700	1000	750	430	550	2000	1000	2350	1550	2400	2650	2600	2250	2450	2000	2350	2200	2150	950	2650	1050	1900	2100	2200	1800	2100	1150	2800	2650	500	200	400	300	350	300	300	300	150	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49039	322	1138	1270	938	1061	1053	1343	936	735	1225	256	621	907	1499	979	1134	572	433	337	470	1485	492	1374	1224	1348	1347	1334	1325	1405	1486	1334	1301	1453	885	1628	722	1112	1248	1557	1001	1392	880	1628	1555	123	85	287	66	127	160	158	166	82	40					
5	"Число избирательных бюллетеней, выданных вне помещения"	2140	11	65	6	21	9	8	19	134	32	102	29	0	29	33	13	65	37	101	23	80	26	57	54	25	31	40	28	45	28	36	55	49	9	8	55	21	30	43	37	28	6	3	49	35	201	1	82	43	171	15	0	1	0	11					
6	Число погашенных избирательных бюллетеней	29252	167	997	674	861	880	589	888	1030	483	1073	215	279	614	268	108	501	391	216	70	0	489	451	922	301	1021	1154	1238	880	1017	478	961	850	688	57	967	307	758	809	606	771	702	267	1123	1060	176	114	31	191	52	125	142	133	68	39					
7	Число избирательных бюллетеней в переносных ящиках	2249	11	65	6	21	9	8	19	134	32	102	29	0	29	33	13	65	37	101	23	80	26	57	54	25	31	149	28	45	28	36	55	49	9	8	55	21	30	43	37	28	6	3	49	35	201	1	82	43	171	15	0	1	0	11					
8	Число бюллетеней в стационарных ящиках для голосования	49025	322	1138	1270	938	1060	1053	1343	936	735	1225	256	621	907	1497	979	1134	572	433	337	470	1485	492	1374	1224	1348	1347	1334	1323	1401	1486	1334	1301	1451	885	1628	722	1110	1248	1557	1001	1392	880	1628	1555	123	85	287	66	127	160	158	166	81	40					
9	Число недействительных избирательных бюллетеней	407	2	20	18	18	18	21	6	11	2	8	1	6	9	5	2	7	7	1	6	16	4	1	6	2	5	9	5	5	13	18	8	11	12	7	10	0	4	10	12	2	12	3	22	9	2	0	9	2	12	4	2	2	0	0					
10	Число действительных избирательных бюллетеней	50867	331	1183	1258	941	1051	1040	1356	1059	765	1319	284	615	927	1525	990	1192	602	533	354	534	1507	548	1422	1247	1374	1487	1357	1363	1416	1504	1381	1339	1448	886	1673	743	1136	1281	1582	1027	1386	880	1655	1581	322	86	360	107	286	171	156	165	81	51					
11	Число полученных открепительных  удостоверений	1444	18	28	20	30	31	5	36	30	38	41	9	96	21	19	10	31	14	11	11	5	20	10	40	23	45	113	31	46	37	40	40	26	44	15	41	16	30	28	50	40	74	68	30	33	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1344	14	25	20	27	30	4	36	25	35	35	8	79	20	19	10	24	14	11	11	5	20	10	40	23	41	110	29	44	28	40	40	24	44	9	38	16	29	28	46	36	74	62	30	31	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1935	6	20	13	17	32	11	17	27	19	26	14	26	32	11	6	53	24	24	44	19	39	18	30	35	28	24	21	28	37	37	21	41	129	261	17	23	27	24	26	20	35	25	19	27	69	42	89	24	50	40	71	79	24	14					
14	Число неиспользованных открепительных удостоверений	100	4	3	0	3	1	1	0	5	3	6	1	17	1	0	0	7	0	0	0	0	0	0	0	0	4	3	2	2	9	0	0	2	0	6	3	0	1	0	4	4	0	6	0	2	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	306	0	1	4	2	0	2	1	2	2	4	1	1	0	12	0	2	1	0	3	0	2	1	7	6	5	189	5	2	6	3	2	4	2	0	3	0	4	8	2	3	5	1	6	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
