Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Бейская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в список"	14144	496	202	130	1328	188	229	1078	315	207	1969	987	870	90	423	158	202	214	141	605	1040	731	755	430	85	729	427	115					
2	Число полученных избирательных бюллетеней	13663	482	193	134	1321	166	220	1058	317	201	1743	979	843	91	408	160	192	202	132	595	1028	739	719	432	83	714	410	101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8044	222	152	97	668	135	132	611	202	163	1026	467	442	73	262	108	135	169	113	306	590	448	470	278	69	408	229	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	1000	90	7	9	85	16	31	50	25	17	82	86	53	2	38	12	12	6	12	51	102	46	38	76	8	14	32	0					
6	Число погашенных избирательных бюллетеней	4619	170	34	28	568	15	57	397	90	21	635	426	348	16	108	40	45	27	7	238	336	245	211	78	6	292	149	32					
7	Число избирательных бюллетеней в переносных ящиках	1000	90	7	9	85	16	31	50	25	17	82	86	53	2	38	12	12	6	12	51	102	46	38	76	8	14	32	0					
8	Число бюллетеней в стационарных ящиках для голосования	8043	222	152	97	668	135	132	611	202	163	1025	467	442	73	262	108	135	169	113	306	590	448	470	278	69	408	229	69					
9	Число недействительных избирательных бюллетеней	96	4	9	4	5	1	2	9	0	2	11	0	4	2	0	2	3	0	2	8	4	4	6	3	1	9	1	0					
10	Число действительных избирательных бюллетеней	8947	308	150	102	748	150	161	652	227	178	1096	553	491	73	300	118	144	175	123	349	688	490	502	351	76	413	260	69					
11	Число полученных открепительных  удостоверений	365	15	5	5	25	5	5	20	10	5	40	40	40	5	15	5	5	5	5	20	20	20	15	5	5	10	10	5					
12	Число выданных открепительных удостоверений	87	1	5	0	2	0	1	11	1	0	14	3	3	2	6	2	2	1	0	2	9	6	9	5	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	4	1	0	0	1	1	1	3	2	6	0	3	1	0	1	0	1	1	0	4	1	2	5	1	3	1	1					
14	Число неиспользованных открепительных удостоверений	278	14	0	5	23	5	4	9	9	5	26	37	37	3	9	3	3	4	5	18	11	14	6	0	5	9	9	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	377	5	6	10	21	4	1	17	4	12	67	23	25	2	9	2	1	2	5	11	41	22	20	29	3	26	7	2					
		4.17%	1.60%	3.77%	9.43%	2.79%	2.65%	0.61%	2.57%	1.76%	6.67%	6.05%	4.16%	5.05%	2.67%	3.00%	1.67%	0.68%	1.14%	4.00%	3.08%	5.92%	4.45%	3.94%	8.19%	3.90%	6.16%	2.68%	2.90%					
19	. Малышкин Олег Александрович	372	8	0	3	20	1	2	33	13	2	63	29	34	5	0	6	4	1	8	22	29	12	27	11	1	21	16	1					
		4.11%	2.56%	0.00%	2.83%	2.66%	0.66%	1.23%	4.99%	5.73%	1.11%	5.69%	5.24%	6.87%	6.67%	0.00%	5.00%	2.72%	0.57%	6.40%	6.16%	4.19%	2.43%	5.31%	3.11%	1.30%	4.98%	6.13%	1.45%					
20	. Миронов Сергей Михайлович	104	4	3	1	15	1	0	2	3	6	22	8	5	1	5	2	1	1	1	1	6	0	5	2	0	6	3	0					
		1.15%	1.28%	1.89%	0.94%	1.99%	0.66%	0.00%	0.30%	1.32%	3.33%	1.99%	1.45%	1.01%	1.33%	1.67%	1.67%	0.68%	0.57%	0.80%	0.28%	0.87%	0.00%	0.98%	0.56%	0.00%	1.42%	1.15%	0.00%					
21	. Путин Владимир Владимирович	5211	176	48	47	386	107	103	439	163	105	593	302	276	43	223	88	95	130	86	209	391	279	293	204	50	192	155	28					
		57.62%	56.41%	30.19%	44.34%	51.26%	70.86%	63.19%	66.41%	71.81%	58.33%	53.57%	54.61%	55.76%	57.33%	74.33%	73.33%	64.63%	74.29%	68.80%	58.54%	56.50%	56.48%	57.68%	57.63%	64.94%	45.50%	59.39%	40.58%					
22	. Хакамада Ирина Муцуовна	232	8	2	4	14	7	3	13	12	11	27	16	8	0	11	8	14	7	1	5	7	9	8	8	6	15	8	0					
		2.57%	2.56%	1.26%	3.77%	1.86%	4.64%	1.84%	1.97%	5.29%	6.11%	2.44%	2.89%	1.62%	0.00%	3.67%	6.67%	9.52%	4.00%	0.80%	1.40%	1.01%	1.82%	1.57%	2.26%	7.79%	3.55%	3.07%	0.00%					
23	. Харитонов Николай Михайлович	2375	101	90	35	264	26	50	136	27	38	262	149	117	21	47	10	27	32	21	84	196	156	140	93	16	134	65	38					
