Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Куженерская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311					
1	"Число избирателей, внесенных в список"	11768	564	632	737	342	474	747	416	497	205	571	643	428	551	381	1208	1156	1220	996					
2	Число полученных избирательных бюллетеней	12840	640	700	800	400	510	850	480	520	230	640	740	460	600	430	1270	1200	1320	1050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6558	332	289	392	179	270	391	229	292	113	369	378	203	336	213	589	650	743	590					
5	"Число избирательных бюллетеней, выданных вне помещения"	1871	100	202	159	85	123	152	93	73	46	82	161	113	83	67	130	84	62	56					
6	Число погашенных избирательных бюллетеней	4411	208	209	249	136	117	307	158	155	71	189	201	144	181	150	551	466	515	404					
7	Число избирательных бюллетеней в переносных ящиках	1870	100	202	159	84	123	152	93	73	46	82	161	113	83	67	130	84	62	56					
8	Число бюллетеней в стационарных ящиках для голосования	6558	332	289	392	179	270	391	229	292	113	369	378	203	336	213	589	650	743	590					
9	Число недействительных избирательных бюллетеней	69	2	2	3	3	0	7	4	3	1	3	2	6	2	2	15	3	5	6					
10	Число действительных избирательных бюллетеней	8359	430	489	548	260	393	536	318	362	158	448	537	310	417	278	704	731	800	640					
11	Число полученных открепительных  удостоверений	387	25	25	20	20	11	25	25	15	5	45	27	10	20	25	18	25	25	21					
12	Число выданных открепительных удостоверений	368	25	23	20	19	11	25	25	13	2	45	27	10	20	25	14	20	23	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	3	5	8	2	1	3	4	4	2	7	5	0	4	8	2	8	7	10					
14	Число неиспользованных открепительных удостоверений	19	0	2	0	1	0	0	0	2	3	0	0	0	0	0	4	5	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	1	3	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	226	14	16	6	1	11	11	7	17	7	7	5	1	17	6	14	32	30	24					
		2.68%	3.24%	3.26%	1.09%	0.38%	2.80%	2.03%	2.17%	4.66%	4.40%	1.55%	0.93%	0.32%	4.06%	2.14%	1.95%	4.36%	3.73%	3.72%					
19	. Малышкин Олег Александрович	272	13	14	23	20	10	13	3	12	4	20	16	9	21	6	25	24	21	18					
		3.23%	3.01%	2.85%	4.17%	7.60%	2.54%	2.39%	0.93%	3.29%	2.52%	4.43%	2.97%	2.85%	5.01%	2.14%	3.48%	3.27%	2.61%	2.79%					
20	. Миронов Сергей Михайлович	90	4	6	4	0	5	6	4	2	2	1	2	3	5	7	10	14	10	5					
		1.07%	0.93%	1.22%	0.73%	0.00%	1.27%	1.10%	1.24%	0.55%	1.26%	0.22%	0.37%	0.95%	1.19%	2.50%	1.39%	1.91%	1.24%	0.77%					
21	. Путин Владимир Владимирович	5325	198	357	395	154	261	367	232	245	76	261	300	168	269	178	489	469	502	404					
		63.18%	45.83%	72.71%	71.69%	58.56%	66.41%	67.59%	72.05%	67.12%	47.80%	57.87%	55.66%	53.16%	64.20%	63.57%	68.01%	63.90%	62.36%	62.54%					
22	. Хакамада Ирина Муцуовна	151	4	10	10	5	7	6	9	10	2	3	7	2	5	4	21	16	19	11					
		1.79%	0.93%	2.04%	1.81%	1.90%	1.78%	1.10%	2.80%	2.74%	1.26%	0.67%	1.30%	0.63%	1.19%	1.43%	2.92%	2.18%	2.36%	1.70%					
23	. Харитонов Николай Михайлович	2169	193	76	107	79	87	126	59	71	64	153	200	123	95	77	129	164	199	167					
		25.74%	44.68%	15.48%	19.42%	30.04%	22.14%	23.20%	18.32%	19.45%	40.25%	33.92%	37.11%	38.92%	22.67%	27.50%	17.94%	22.34%	24.72%	25.85%					
																									
24	Против всех	126	4	10	3	1	12	7	4	5	3	3	7	4	5	0	16	12	19	11					
		1.50%	0.93%	2.04%	0.54%	0.38%	3.05%	1.29%	1.24%	1.37%	1.89%	0.67%	1.30%	1.27%	1.19%	0.00%	2.23%	1.63%	2.36%	1.70%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
