Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Вятско-Полянская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
1	"Число избирателей, внесенных в список"	32080	3044	2981	2923	2918	2126	1851	2019	2595	2007	1290	2152	1326	1092	972	1032	1355	194	203					
2	Число полученных избирательных бюллетеней	32500	3120	3010	2940	2920	2160	1870	2030	2630	2030	1300	2170	1360	1110	980	1050	1420	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17390	1612	1608	1644	1563	1196	1002	1126	1530	1095	651	1101	669	614	465	468	694	163	189					
5	"Число избирательных бюллетеней, выданных вне помещения"	680	60	25	55	41	42	15	44	53	36	22	27	48	6	91	34	81	0	0					
6	Число погашенных избирательных бюллетеней	14430	1448	1377	1241	1316	922	853	860	1047	899	627	1042	643	490	424	548	645	37	11					
7	Число избирательных бюллетеней в переносных ящиках	680	60	25	55	41	42	15	44	53	36	22	27	48	6	91	34	81	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	17388	1610	1608	1644	1563	1196	1002	1126	1530	1095	651	1101	669	614	465	468	694	163	189					
9	Число недействительных избирательных бюллетеней	182	12	17	13	24	18	12	8	19	11	5	8	5	9	8	4	8	0	1					
10	Число действительных избирательных бюллетеней	17886	1658	1616	1686	1580	1220	1005	1162	1564	1120	668	1120	712	611	548	498	767	163	188					
11	Число полученных открепительных  удостоверений	344	26	30	30	30	20	20	20	20	20	20	20	20	20	8	20	20	0	0					
12	Число выданных открепительных удостоверений	198	21	24	19	25	13	9	13	17	10	5	18	8	5	3	3	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	104	4	11	17	13	5	5	8	13	4	2	6	6	1	2	1	6	0	0					
14	Число неиспользованных открепительных удостоверений	146	5	6	11	5	7	11	7	3	10	15	2	12	15	5	17	15	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	46	5	7	2	3	4	3	2	3	7	1	3	1	0	2	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	990	91	112	85	102	64	53	69	95	60	27	72	41	24	21	19	39	10	6					
		5.48%	5.45%	6.86%	5.00%	6.36%	5.17%	5.21%	5.90%	6.00%	5.31%	4.01%	6.38%	5.72%	3.87%	3.78%	3.78%	5.03%	6.13%	3.17%					
19	. Малышкин Олег Александрович	371	49	42	42	23	15	15	15	24	29	7	20	20	14	14	19	17	1	5					
		2.05%	2.93%	2.57%	2.47%	1.43%	1.21%	1.47%	1.28%	1.52%	2.56%	1.04%	1.77%	2.79%	2.26%	2.52%	3.78%	2.19%	0.61%	2.65%					
20	. Миронов Сергей Михайлович	160	21	13	14	18	7	12	11	7	9	8	12	4	5	8	3	7	1	0					
		0.89%	1.26%	0.80%	0.82%	1.12%	0.57%	1.18%	0.94%	0.44%	0.80%	1.19%	1.06%	0.56%	0.81%	1.44%	0.60%	0.90%	0.61%	0.00%					
21	. Путин Владимир Владимирович	10937	1007	1010	1031	929	757	619	709	954	667	364	687	374	406	380	321	487	105	130					
		60.53%	60.30%	61.85%	60.68%	57.92%	61.15%	60.87%	60.60%	60.27%	58.97%	54.09%	60.90%	52.16%	65.48%	68.35%	63.94%	62.84%	64.42%	68.78%					
22	. Хакамада Ирина Муцуовна	440	39	49	37	43	27	26	28	45	38	9	29	19	14	10	7	11	5	4					
		2.44%	2.34%	3.00%	2.18%	2.68%	2.18%	2.56%	2.39%	2.84%	3.36%	1.34%	2.57%	2.65%	2.26%	1.80%	1.39%	1.42%	3.07%	2.12%					
23	. Харитонов Николай Михайлович	4503	405	334	434	404	317	248	302	389	286	244	269	239	141	99	120	198	37	37					
		24.92%	24.25%	20.45%	25.54%	25.19%	25.61%	24.39%	25.81%	24.57%	25.29%	36.26%	23.85%	33.33%	22.74%	17.81%	23.90%	25.55%	22.70%	19.58%					
																									
24	Против всех	485	46	56	43	61	33	32	28	50	31	9	31	15	7	16	9	8	4	6					
		2.68%	2.75%	3.43%	2.53%	3.80%	2.67%	3.15%	2.39%	3.16%	2.74%	1.34%	2.75%	2.09%	1.13%	2.88%	1.79%	1.03%	2.45%	3.17%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
