Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Княгининская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981					
1	"Число избирателей, внесенных в список"	9649	1678	1196	1023	565	1056	464	172	310	313	382	481	112	317	334	274	371	601					
2	Число полученных избирательных бюллетеней	9550	1680	1160	1020	550	1050	460	170	310	280	410	490	100	310	330	260	360	610					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5350	902	628	577	259	621	247	105	193	172	252	284	65	180	173	177	175	340					
5	"Число избирательных бюллетеней, выданных вне помещения"	899	43	69	51	46	43	90	21	26	80	32	37	21	77	84	11	68	100					
6	Число погашенных избирательных бюллетеней	3301	735	463	392	245	386	123	44	91	28	126	169	14	53	73	72	117	170					
7	Число избирательных бюллетеней в переносных ящиках	899	43	69	51	46	43	90	21	26	80	32	37	21	77	84	11	68	100					
8	Число бюллетеней в стационарных ящиках для голосования	5349	901	628	577	259	621	247	105	193	172	252	284	65	180	173	177	175	340					
9	Число недействительных избирательных бюллетеней	62	7	4	1	1	14	0	0	2	10	4	5	1	1	1	4	5	2					
10	Число действительных избирательных бюллетеней	6186	937	693	627	304	650	337	126	217	242	280	316	85	256	256	184	238	438					
11	Число полученных открепительных  удостоверений	340	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	52	6	3	6	2	1	4	1	6	1	3	10	0	2	0	0	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	7	4	3	0	4	1	1	1	0	2	0	2	0	1	2	1					
14	Число неиспользованных открепительных удостоверений	288	14	17	14	18	19	16	19	14	19	17	10	20	18	20	20	18	15					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	134	19	11	18	13	11	5	1	5	5	1	13	1	9	9	1	4	8					
		2.14%	2.01%	1.58%	2.87%	4.26%	1.66%	1.48%	0.79%	2.28%	1.98%	0.35%	4.05%	1.16%	3.50%	3.50%	0.53%	1.65%	1.82%					
19	. Малышкин Олег Александрович	230	29	20	14	14	35	12	5	10	14	4	27	1	14	11	2	10	8					
		3.68%	3.07%	2.87%	2.23%	4.59%	5.27%	3.56%	3.97%	4.57%	5.56%	1.41%	8.41%	1.16%	5.45%	4.28%	1.06%	4.12%	1.82%					
20	. Миронов Сергей Михайлович	59	7	8	5	1	9	3	2	4	0	6	3	0	1	1	6	0	3					
		0.94%	0.74%	1.15%	0.80%	0.33%	1.36%	0.89%	1.59%	1.83%	0.00%	2.11%	0.93%	0.00%	0.39%	0.39%	3.19%	0.00%	0.68%					
21	. Путин Владимир Владимирович	3677	529	406	354	180	345	245	88	128	168	180	194	71	152	144	63	159	271					
		58.85%	56.04%	58.25%	56.37%	59.02%	51.96%	72.70%	69.84%	58.45%	66.67%	63.38%	60.44%	82.56%	59.14%	56.03%	33.51%	65.43%	61.59%					
22	. Хакамада Ирина Муцуовна	177	32	32	16	8	16	5	2	2	2	5	7	0	8	12	10	2	18					
		2.83%	3.39%	4.59%	2.55%	2.62%	2.41%	1.48%	1.59%	0.91%	0.79%	1.76%	2.18%	0.00%	3.11%	4.67%	5.32%	0.82%	4.09%					
23	. Харитонов Николай Михайлович	1709	276	181	195	81	210	63	28	58	49	78	59	12	62	74	101	61	121					
		27.35%	29.24%	25.97%	31.05%	26.56%	31.63%	18.69%	22.22%	26.48%	19.44%	27.46%	18.38%	13.95%	24.12%	28.79%	53.72%	25.10%	27.50%					
																								
24	Против всех	200	45	35	25	7	24	4	0	10	4	6	13	0	10	5	1	2	9					
		3.20%	4.77%	5.02%	3.98%	2.30%	3.61%	1.19%	0.00%	4.57%	1.59%	2.11%	4.05%	0.00%	3.89%	1.95%	0.53%	0.82%	2.05%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
