Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Киришская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556					
1	"Число избирателей, внесенных в список"	55130	2631	2615	2621	2574	2409	2256	2391	2118	2384	2807	2602	2071	2602	2359	2586	2608	2554	2859	869	858	1352	312	139	180	209	122	1174	148	126	848	155	540	1997	750	304					
2	Число полученных избирательных бюллетеней	52173	2400	2400	2400	2400	2200	2100	2200	2000	2200	2600	2400	2000	2400	2200	2400	2400	2400	2600	875	880	1300	360	150	202	210	153	1200	152	203	900	160	563	2000	815	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33309	1947	1729	1655	1559	1472	1378	1555	1339	1517	1804	1588	1276	1503	1520	1558	1534	1626	1716	374	368	688	107	51	35	86	79	558	75	95	481	93	179	1156	444	164					
5	"Число избирательных бюллетеней, выданных вне помещения"	1533	5	13	12	12	7	20	12	11	12	20	24	29	38	22	16	15	9	17	87	76	61	55	56	97	61	11	65	34	31	38	13	149	250	45	110					
6	Число погашенных избирательных бюллетеней	17331	448	658	733	829	721	702	633	650	671	776	788	695	859	658	826	851	765	867	414	436	551	198	43	70	63	63	577	43	77	381	54	235	594	326	76					
7	Число избирательных бюллетеней в переносных ящиках	1533	5	13	12	12	7	20	12	11	12	20	24	29	38	22	16	15	9	17	87	76	61	55	56	97	61	11	65	34	31	38	13	149	250	45	110					
8	Число бюллетеней в стационарных ящиках для голосования	33305	1947	1729	1654	1559	1470	1378	1555	1339	1517	1804	1588	1276	1503	1520	1558	1534	1625	1716	374	368	688	107	51	35	86	79	558	75	95	481	93	179	1156	444	164					
9	Число недействительных избирательных бюллетеней	210	12	6	10	13	7	10	7	9	5	9	13	13	2	6	23	13	10	10	4	1	3	0	0	0	0	3	4	0	0	5	0	1	2	9	0					
10	Число действительных избирательных бюллетеней	34628	1940	1736	1656	1558	1470	1388	1560	1341	1524	1815	1599	1292	1539	1536	1551	1536	1624	1723	457	443	746	162	107	132	147	87	619	109	126	514	106	327	1404	480	274					
11	Число полученных открепительных  удостоверений	700	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	25	30	20	20	20	20	20	20	20	0					
12	Число выданных открепительных удостоверений	403	16	16	11	11	8	10	10	13	7	15	8	13	14	11	13	9	10	20	6	12	18	0	13	15	7	25	26	4	3	18	1	7	18	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	315	10	20	15	12	1	6	14	7	8	10	9	9	12	16	17	9	9	14	20	12	7	2	10	3	10	0	9	4	6	2	4	6	11	4	7					
14	Число неиспользованных открепительных удостоверений	297	4	4	9	9	12	10	10	7	13	5	12	7	6	14	7	11	10	0	14	8	2	20	7	5	13	0	4	16	17	2	19	13	2	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	1015	45	58	61	56	34	56	61	42	54	56	42	41	46	37	33	53	46	51	8	10	33	4	0	2	1	2	17	4	2	18	2	3	19	9	9					
		2.91%	2.31%	3.33%	3.66%	3.56%	2.30%	4.01%	3.89%	3.11%	3.53%	3.07%	2.61%	3.14%	2.99%	2.40%	2.10%	3.42%	2.82%	2.94%	1.74%	2.25%	4.41%	2.47%	0.00%	1.52%	0.68%	2.22%	2.73%	3.67%	1.59%	3.47%	1.89%	0.91%	1.35%	1.84%	3.28%					
19	. Малышкин Олег Александрович	553	32	29	35	26	21	14	19	20	25	33	37	12	26	24	37	20	29	25	7	3	14	5	2	0	0	6	10	0	1	14	2	3	13	6	3					
		1.59%	1.64%	1.66%	2.10%	1.65%	1.42%	1.00%	1.21%	1.48%	1.64%	1.81%	2.30%	0.92%	1.69%	1.56%	2.35%	1.29%	1.77%	1.44%	1.52%	0.68%	1.87%	3.09%	1.87%	0.00%	0.00%	6.67%	1.61%	0.00%	0.79%	2.70%	1.89%	0.91%	0.92%	1.23%	1.09%					
20	. Миронов Сергей Михайлович	423	23	16	13	19	19	18	20	29	20	25	13	20	17	15	18	17	21	37	0	2	7	5	0	1	0	4	9	0	1	10	1	4	15	3	1					
		1.21%	1.18%	0.92%	0.78%	1.21%	1.29%	1.29%	1.28%	2.15%	1.31%	1.37%	0.81%	1.53%	1.10%	0.97%	1.14%	1.10%	1.29%	2.14%	0.00%	0.45%	0.93%	3.09%	0.00%	0.76%	0.00%	4.44%	1.44%	0.00%	0.79%	1.93%	0.94%	1.22%	1.07%	0.61%	0.36%					
21	. Путин Владимир Владимирович	26415	1529	1360	1197	1163	1151	1055	1196	965	1163	1348	1211	973	1146	1140	1165	1135	1226	1260	371	374	571	131	86	110	121	66	510	97	98	395	82	270	1161	395	194					
		75.82%	78.33%	78.07%	71.85%	74.03%	77.93%	75.46%	76.32%	71.48%	76.06%	73.90%	75.12%	74.56%	74.37%	73.93%	74.02%	73.27%	75.03%	72.71%	80.48%	84.23%	76.23%	80.86%	80.37%	83.33%	82.31%	73.33%	81.86%	88.99%	77.78%	76.11%	77.36%	82.32%	82.57%	80.78%	70.80%					
22	. Хакамада Ирина Муцуовна	1233	88	69	73	50	43	49	66	65	52	87	80	34	48	74	56	50	57	62	13	9	23	5	0	1	5	0	7	0	2	8	1	3	34	12	7					
		3.54%	4.51%	3.96%	4.38%	3.18%	2.91%	3.51%	4.21%	4.81%	3.40%	4.77%	4.96%	2.61%	3.11%	4.80%	3.56%	3.23%	3.49%	3.58%	2.82%	2.03%	3.07%	3.09%	0.00%	0.76%	3.40%	0.00%	1.12%	0.00%	1.59%	1.54%	0.94%	0.91%	2.42%	2.45%	2.55%					
23	. Харитонов Николай Михайлович	3522	84	97	192	163	121	135	128	154	141	203	148	173	208	182	156	198	182	216	47	34	82	10	19	18	18	8	52	6	19	54	17	37	127	50	43					
		10.11%	4.30%	5.57%	11.52%	10.38%	8.19%	9.66%	8.17%	11.41%	9.22%	11.13%	9.18%	13.26%	13.50%	11.80%	9.91%	12.78%	11.14%	12.46%	10.20%	7.66%	10.95%	6.17%	17.76%	13.64%	12.24%	8.89%	8.35%	5.50%	15.08%	10.40%	16.04%	11.28%	9.03%	10.22%	15.69%					
																																										
24	Против всех	1467	139	107	85	81	81	61	70	66	69	63	68	39	48	64	86	63	63	72	11	11	16	2	0	0	2	1	14	2	3	15	1	7	35	5	17					
		4.21%	7.12%	6.14%	5.10%	5.16%	5.48%	4.36%	4.47%	4.89%	4.51%	3.45%	4.22%	2.99%	3.11%	4.15%	5.46%	4.07%	3.86%	4.15%	2.39%	2.48%	2.14%	1.23%	0.00%	0.00%	1.36%	1.11%	2.25%	1.83%	2.38%	2.89%	0.94%	2.13%	2.49%	1.02%	6.20%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
