Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Залесовская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757					
1	"Число избирателей, внесенных в список"	13234	400	213	695	113	161	505	78	1146	1158	1592	1705	441	206	728	906	198	486	249	994	233	143	814	70					
2	Число полученных избирательных бюллетеней	13171	394	210	700	112	161	512	77	1108	1209	1566	1680	441	203	708	900	202	480	246	1011	235	149	800	67					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8533	328	170	483	88	125	357	55	705	723	1012	1026	282	142	490	544	148	323	159	541	145	95	539	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	480	21	18	20	0	9	18	9	60	31	46	46	7	0	31	36	7	14	4	40	15	14	34	0					
6	Число погашенных избирательных бюллетеней	4158	45	22	197	24	27	137	13	343	455	508	608	152	61	187	320	47	143	83	430	75	40	227	14					
7	Число избирательных бюллетеней в переносных ящиках	480	21	18	20	0	9	18	9	60	31	46	46	7	0	31	36	7	14	4	40	15	14	34	0					
8	Число бюллетеней в стационарных ящиках для голосования	8520	328	170	483	88	125	357	55	705	723	1000	1025	282	142	490	544	148	323	159	541	145	95	539	53					
9	Число недействительных избирательных бюллетеней	106	3	6	7	0	4	8	0	6	2	7	14	0	0	9	13	1	3	1	9	2	2	7	2					
10	Число действительных избирательных бюллетеней	8894	346	182	496	88	130	367	64	759	752	1039	1057	289	142	512	567	154	334	162	572	158	107	566	51					
11	Число полученных открепительных  удостоверений	195	6	3	11	2	2	8	1	15	17	23	24	6	3	11	14	3	7	4	15	3	3	12	2					
12	Число выданных открепительных удостоверений	40	3	1	3	0	0	2	0	4	3	6	5	1	0	1	2	2	0	0	4	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	2	1	2	2	0	0	0	3	1	1	1	1	2	2	1	0	0	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	155	3	2	8	2	2	6	1	11	14	17	19	5	3	10	12	1	7	4	11	3	3	9	2					
