Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Смоленск, Заднепровская"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664					
1	"Число избирателей, внесенных в список"	78064	2098	2023	2012	1394	2788	1335	880	2546	2587	2817	2443	2368	2759	2759	1947	2284	755	1028	2095	2265	2682	2733	2596	2367	2387	2588	2458	1421	2135	1825	1218	1757	694	2060	2177	2369	2011	1403					
2	Число полученных избирательных бюллетеней	77300	2000	2000	2000	1400	2700	1400	800	2600	2600	2800	2400	2300	2800	2700	1900	2300	800	1000	2100	2300	2700	2700	2600	2300	2400	2600	2400	1400	2100	1800	1200	1700	600	2000	2200	2300	2000	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39833	1174	1111	852	646	1585	648	241	1454	1593	1256	1458	1305	1413	1342	1144	1311	254	496	1043	1038	1350	1472	1316	1326	1474	1175	1455	667	1249	779	516	789	314	918	1079	1103	976	511					
5	"Число избирательных бюллетеней, выданных вне помещения"	3227	28	28	115	69	89	66	219	40	92	178	65	45	103	57	15	16	62	94	77	43	45	51	48	29	60	290	13	59	17	149	100	129	43	116	96	110	97	274					
6	Число погашенных избирательных бюллетеней	34240	798	861	1033	685	1026	686	340	1106	915	1366	877	950	1284	1301	741	973	484	410	980	1219	1305	1177	1236	945	866	1135	932	674	834	872	584	782	243	966	1025	1087	927	615					
7	Число избирательных бюллетеней в переносных ящиках	3223	28	28	111	69	89	66	219	40	92	178	65	45	103	57	15	16	62	94	77	43	45	51	48	29	60	290	13	59	17	149	100	129	43	116	96	110	97	274					
8	Число бюллетеней в стационарных ящиках для голосования	39821	1174	1111	852	646	1584	647	241	1452	1593	1255	1458	1305	1413	1342	1144	1307	254	496	1042	1037	1350	1472	1316	1325	1474	1175	1455	667	1249	779	516	789	314	918	1079	1103	976	511					
9	Число недействительных избирательных бюллетеней	278	8	10	8	3	6	2	5	7	7	12	13	7	11	10	0	4	3	2	6	5	11	6	5	7	13	8	9	16	7	6	6	20	5	9	3	9	3	6					
10	Число действительных избирательных бюллетеней	42766	1194	1129	955	712	1667	711	455	1485	1678	1421	1510	1343	1505	1389	1159	1319	313	588	1113	1075	1384	1517	1359	1347	1521	1457	1459	710	1259	922	610	898	352	1025	1172	1204	1070	779					
11	Число полученных открепительных  удостоверений	830	10	20	10	10	55	10	10	100	40	20	20	20	20	20	20	20	10	10	20	20	30	30	30	20	40	20	20	10	35	10	10	10	10	10	20	20	20	20					
12	Число выданных открепительных удостоверений	494	4	5	3	6	37	4	0	86	18	11	12	10	17	8	12	16	4	5	14	19	24	17	26	15	23	9	11	1	21	6	6	4	0	7	10	7	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	485	92	10	4	2	16	15	8	16	15	15	10	5	12	13	3	15	2	8	16	10	11	13	9	17	10	28	5	14	7	1	9	7	12	2	10	19	13	11					
14	Число неиспользованных открепительных удостоверений	336	6	15	7	4	18	6	10	14	22	9	8	10	3	12	8	4	6	5	6	1	6	13	4	5	17	11	9	9	14	4	4	6	10	3	10	13	11	13					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1886	39	39	47	33	39	31	21	62	55	54	71	80	73	60	61	102	22	23	56	53	73	75	60	59	52	53	86	33	81	36	24	28	12	46	46	47	27	27					
		4.38%	3.24%	3.42%	4.88%	4.62%	2.33%	4.35%	4.57%	4.16%	3.26%	3.77%	4.66%	5.93%	4.82%	4.29%	5.26%	7.71%	6.96%	3.90%	5.00%	4.91%	5.23%	4.92%	4.40%	4.36%	3.39%	3.62%	5.86%	4.55%	6.40%	3.88%	3.90%	3.05%	3.36%	4.45%	3.91%	3.87%	2.52%	3.44%					
19	. Малышкин Олег Александрович	1065	22	25	33	21	40	28	20	42	47	38	25	28	44	33	30	28	16	9	24	25	43	33	42	35	17	46	28	17	32	32	9	21	7	21	19	38	38	9					
		2.47%	1.83%	2.19%	3.43%	2.94%	2.39%	3.93%	4.35%	2.82%	2.79%	2.65%	1.64%	2.07%	2.90%	2.36%	2.59%	2.12%	5.06%	1.53%	2.14%	2.31%	3.08%	2.17%	3.08%	2.58%	1.11%	3.14%	1.91%	2.34%	2.53%	3.45%	1.46%	2.29%	1.96%	2.03%	1.62%	3.13%	3.54%	1.15%					
20	. Миронов Сергей Михайлович	319	11	4	5	2	12	7	1	9	13	10	8	8	13	14	9	9	0	1	13	8	10	4	10	15	8	3	17	8	11	5	3	6	4	19	8	13	10	8					
		0.74%	0.92%	0.35%	0.52%	0.28%	0.72%	0.98%	0.22%	0.60%	0.77%	0.70%	0.53%	0.59%	0.86%	1.00%	0.78%	0.68%	0.00%	0.17%	1.16%	0.74%	0.72%	0.26%	0.73%	1.11%	0.52%	0.20%	1.16%	1.10%	0.87%	0.54%	0.49%	0.65%	1.12%	1.84%	0.68%	1.07%	0.93%	1.02%					
21	. Путин Владимир Владимирович	28130	849	782	607	520	1309	454	310	1063	1224	912	1004	831	959	872	729	813	207	396	725	733	916	931	844	803	1018	991	845	400	702	601	378	648	255	634	807	816	740	502					
		65.35%	70.63%	68.66%	63.03%	72.73%	78.24%	63.67%	67.39%	71.25%	72.64%	63.64%	65.92%	61.56%	63.26%	62.33%	62.90%	61.45%	65.51%	67.12%	64.79%	67.87%	65.66%	61.13%	61.88%	59.31%	66.36%	67.65%	57.56%	55.10%	55.45%	64.76%	61.36%	70.59%	71.43%	61.32%	68.68%	67.27%	68.97%	63.95%					
22	. Хакамада Ирина Муцуовна	1389	35	33	22	14	51	25	14	35	37	44	49	60	56	62	36	61	18	16	39	33	56	50	60	42	65	46	52	15	45	32	14	18	10	22	29	39	25	29					
		3.23%	2.91%	2.90%	2.28%	1.96%	3.05%	3.51%	3.04%	2.35%	2.20%	3.07%	3.22%	4.44%	3.69%	4.43%	3.11%	4.61%	5.70%	2.71%	3.49%	3.06%	4.01%	3.28%	4.40%	3.10%	4.24%	3.14%	3.54%	2.07%	3.55%	3.45%	2.27%	1.96%	2.80%	2.13%	2.47%	3.22%	2.33%	3.69%					
23	. Харитонов Николай Михайлович	8091	180	218	220	89	163	134	71	193	243	307	280	272	300	290	242	249	37	107	208	174	209	349	277	343	289	241	345	212	299	183	163	149	44	199	230	201	192	189					
		18.80%	14.98%	19.14%	22.85%	12.45%	9.74%	18.79%	15.43%	12.94%	14.42%	21.42%	18.38%	20.15%	19.79%	20.73%	20.88%	18.82%	11.71%	18.14%	18.59%	16.11%	14.98%	22.92%	20.31%	25.33%	18.84%	16.45%	23.50%	29.20%	23.62%	19.72%	26.46%	16.23%	12.32%	19.25%	19.57%	16.57%	17.89%	24.08%					
																																													
24	Против всех	1886	58	28	21	33	53	32	18	81	59	56	73	64	60	58	52	57	13	36	48	49	77	75	66	50	72	77	86	25	89	33	19	28	20	84	33	50	38	15					
		4.38%	4.83%	2.46%	2.18%	4.62%	3.17%	4.49%	3.91%	5.43%	3.50%	3.91%	4.79%	4.74%	3.96%	4.15%	4.49%	4.31%	4.11%	6.10%	4.29%	4.54%	5.52%	4.92%	4.84%	3.69%	4.69%	5.26%	5.86%	3.44%	7.03%	3.56%	3.08%	3.05%	5.60%	8.12%	2.81%	4.12%	3.54%	1.91%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
