Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Волховская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131					
1	"Число избирателей, внесенных в список"	36983	2661	2399	1948	2945	2281	2476	1384	314	2840	2640	1693	1602	2186	1814	2433	2596	2771					
2	Число полученных избирательных бюллетеней	36730	2800	2300	1900	2900	2300	2400	1400	430	2800	2700	1700	1600	2100	1800	2400	2500	2700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20102	1278	1404	978	1564	1187	1454	301	199	1444	1520	971	946	1196	1071	1396	1616	1577					
5	"Число избирательных бюллетеней, выданных вне помещения"	1106	61	64	28	63	39	25	393	39	60	49	34	50	62	13	67	29	30					
6	Число погашенных избирательных бюллетеней	15522	1461	832	894	1273	1074	921	706	192	1296	1131	695	604	842	716	937	855	1093					
7	Число избирательных бюллетеней в переносных ящиках	1106	61	64	28	63	39	25	393	39	60	49	34	50	62	13	67	29	30					
8	Число бюллетеней в стационарных ящиках для голосования	20097	1277	1403	978	1564	1187	1454	301	199	1443	1520	971	946	1195	1071	1395	1616	1577					
9	Число недействительных избирательных бюллетеней	108	6	4	6	12	7	9	2	2	12	15	4	4	4	7	5	3	6					
10	Число действительных избирательных бюллетеней	21095	1332	1463	1000	1615	1219	1470	692	236	1491	1554	1001	992	1253	1077	1457	1642	1601					
11	Число полученных открепительных  удостоверений	545	30	30	30	40	40	30	30	30	30	40	30	30	30	30	30	35	30					
12	Число выданных открепительных удостоверений	348	20	19	14	34	35	27	5	8	19	38	15	25	15	12	17	27	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	9	38	17	22	11	11	11	4	12	18	12	4	8	5	7	26	14					
14	Число неиспользованных открепительных удостоверений	197	10	11	16	6	5	3	25	22	11	2	15	5	15	18	13	8	12					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	582	36	32	22	42	40	43	12	7	43	52	26	32	35	28	40	52	40					
		2.74%	2.69%	2.18%	2.19%	2.58%	3.26%	2.91%	1.73%	2.94%	2.86%	3.31%	2.59%	3.21%	2.78%	2.58%	2.74%	3.16%	2.49%					
19	. Малышкин Олег Александрович	282	10	28	18	25	15	32	17	0	18	11	14	19	6	8	23	19	19					
		1.33%	0.75%	1.91%	1.79%	1.54%	1.22%	2.16%	2.45%	0.00%	1.20%	0.70%	1.39%	1.91%	0.48%	0.74%	1.57%	1.16%	1.18%					
20	. Миронов Сергей Михайлович	155	9	12	8	10	3	12	9	2	9	9	14	8	6	9	12	14	9					
		0.73%	0.67%	0.82%	0.80%	0.61%	0.24%	0.81%	1.30%	0.84%	0.60%	0.57%	1.39%	0.80%	0.48%	0.83%	0.82%	0.85%	0.56%					
21	. Путин Владимир Владимирович	17439	1127	1201	817	1346	1028	1192	588	203	1235	1272	819	794	1044	891	1215	1341	1326					
		82.25%	84.23%	81.87%	81.21%	82.73%	83.85%	80.59%	84.73%	85.29%	82.17%	81.07%	81.49%	79.72%	83.05%	82.20%	83.11%	81.52%	82.51%					
22	. Хакамада Ирина Муцуовна	529	29	34	28	37	26	39	25	6	46	35	21	28	33	21	33	49	39					
		2.49%	2.17%	2.32%	2.78%	2.27%	2.12%	2.64%	3.60%	2.52%	3.06%	2.23%	2.09%	2.81%	2.63%	1.94%	2.26%	2.98%	2.43%					
23	. Харитонов Николай Михайлович	1617	89	122	85	118	69	89	37	18	105	145	96	89	101	88	103	136	127					
		7.63%	6.65%	8.32%	8.45%	7.25%	5.63%	6.02%	5.33%	7.56%	6.99%	9.24%	9.55%	8.94%	8.04%	8.12%	7.05%	8.27%	7.90%					
																								
24	Против всех	491	32	34	22	37	38	63	4	0	35	30	11	22	28	32	31	31	41					
		2.32%	2.39%	2.32%	2.19%	2.27%	3.10%	4.26%	0.58%	0.00%	2.33%	1.91%	1.09%	2.21%	2.23%	2.95%	2.12%	1.88%	2.55%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
