Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Турочакская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116					
1	"Число избирателей, внесенных в список"	9126	543	165	1844	2037	144	78	182	414	575	151	144	139	1024	384	418	100	122	40	153	52	84	333					
2	Число полученных избирательных бюллетеней	8695	500	162	1700	1800	137	77	179	409	559	158	141	141	1053	354	429	99	127	42	152	53	85	338					
3	"Число избирательных бюллетеней, выданных  досрочно"	31	0	0	0	9	0	0	5	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5124	327	104	975	934	89	56	120	230	367	104	100	95	569	194	255	50	94	31	106	25	65	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	356	17	10	70	73	4	3	5	13	22	9	0	10	16	44	13	7	2	0	7	4	7	20					
6	Число погашенных избирательных бюллетеней	3184	156	48	655	784	44	18	49	166	170	45	41	36	468	99	161	42	31	11	39	24	13	84					
7	Число избирательных бюллетеней в переносных ящиках	387	17	10	70	82	4	3	10	13	22	9	0	10	16	61	13	7	2	0	7	4	7	20					
8	Число бюллетеней в стационарных ящиках для голосования	5120	327	104	971	934	89	56	120	230	367	104	100	95	569	194	255	50	94	31	106	25	65	234					
9	Число недействительных избирательных бюллетеней	34	1	1	3	3	0	1	0	1	0	1	2	1	9	4	1	0	1	0	2	1	0	2					
10	Число действительных избирательных бюллетеней	5473	343	113	1038	1013	93	58	130	242	389	112	98	104	576	251	267	57	95	31	111	28	72	252					
11	Число полученных открепительных  удостоверений	185	12	4	36	35	4	4	4	8	12	4	6	6	12	8	8	4	4	2	0	0	4	8					
12	Число выданных открепительных удостоверений	52	1	1	11	13	1	4	2	5	5	0	0	2	2	0	5	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	1	1	5	2	1	1	1	4	0	1	2	0	3	3	0	1	0	0	0	0	0	2					
14	Число неиспользованных открепительных удостоверений	133	11	3	25	22	3	0	2	3	7	4	6	4	10	8	3	4	4	2	0	0	4	8					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	2	4	1	0	0	1	1	1	0	0	3	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	277	9	5	50	66	3	0	6	2	26	6	3	13	41	18	8	0	2	0	4	2	1	12					
		5.03%	2.62%	4.39%	4.80%	6.50%	3.23%	0.00%	4.62%	0.82%	6.68%	5.31%	3.00%	12.38%	7.01%	7.06%	2.99%	0.00%	2.08%	0.00%	3.54%	6.90%	1.39%	4.72%					
19	. Малышкин Олег Александрович	100	7	0	18	14	9	1	0	4	2	0	3	1	5	1	18	3	2	1	1	0	2	8					
		1.82%	2.03%	0.00%	1.73%	1.38%	9.68%	1.69%	0.00%	1.65%	0.51%	0.00%	3.00%	0.95%	0.85%	0.39%	6.72%	5.26%	2.08%	3.23%	0.88%	0.00%	2.78%	3.15%					
20	. Миронов Сергей Михайлович	40	5	1	5	7	0	0	0	3	3	2	0	0	7	1	0	0	1	1	1	0	1	2					
		0.73%	1.45%	0.88%	0.48%	0.69%	0.00%	0.00%	0.00%	1.23%	0.77%	1.77%	0.00%	0.00%	1.20%	0.39%	0.00%	0.00%	1.04%	3.23%	0.88%	0.00%	1.39%	0.79%					
21	. Путин Владимир Владимирович	3854	254	91	666	687	60	43	106	190	266	91	71	79	403	185	200	45	48	14	92	19	59	185					
		69.98%	73.84%	79.82%	63.98%	67.62%	64.52%	72.88%	81.54%	78.19%	68.38%	80.53%	71.00%	75.24%	68.89%	72.55%	74.63%	78.95%	50.00%	45.16%	81.42%	65.52%	81.94%	72.83%					
22	. Хакамада Ирина Муцуовна	141	11	2	24	36	0	0	2	4	11	0	7	4	19	7	5	1	4	2	0	1	1	0					
		2.56%	3.20%	1.75%	2.31%	3.54%	0.00%	0.00%	1.54%	1.65%	2.83%	0.00%	7.00%	3.81%	3.25%	2.75%	1.87%	1.75%	4.17%	6.45%	0.00%	3.45%	1.39%	0.00%					
23	. Харитонов Николай Михайлович	972	50	14	248	188	19	14	16	38	75	12	12	4	92	36	33	8	38	13	13	5	8	36					
		17.65%	14.53%	12.28%	23.82%	18.50%	20.43%	23.73%	12.31%	15.64%	19.28%	10.62%	12.00%	3.81%	15.73%	14.12%	12.31%	14.04%	39.58%	41.94%	11.50%	17.24%	11.11%	14.17%					
																													
24	Против всех	89	7	0	27	15	2	0	0	1	6	1	2	3	9	3	3	0	0	0	0	1	0	9					
		1.62%	2.03%	0.00%	2.59%	1.48%	2.15%	0.00%	0.00%	0.41%	1.54%	0.88%	2.00%	2.86%	1.54%	1.18%	1.12%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	3.54%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
