Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Карачаевская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145					
1	"Число избирателей, внесенных в список"	18219	903	785	439	1652	667	360	758	1562	1772	257	1040	1700	69	1068	2985	2202					
2	Число полученных избирательных бюллетеней	18002	836	845	439	1595	667	365	755	1536	1694	250	1024	1673	69	1070	2985	2199					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15561	721	709	334	1483	317	300	575	1496	1491	199	772	1410	69	893	2685	2107					
5	"Число избирательных бюллетеней, выданных вне помещения"	1092	68	70	74	49	36	30	112	40	148	48	41	48	0	157	100	71					
6	Число погашенных избирательных бюллетеней	1349	47	66	31	63	314	35	68	0	55	3	211	215	0	20	200	21					
7	Число избирательных бюллетеней в переносных ящиках	1092	68	70	74	49	36	30	112	40	148	48	41	48	0	157	100	71					
8	Число бюллетеней в стационарных ящиках для голосования	15561	721	709	334	1483	317	300	575	1496	1491	199	772	1410	69	893	2685	2107					
9	Число недействительных избирательных бюллетеней	17	0	2	0	0	0	0	0	1	0	0	2	5	0	7	0	0					
10	Число действительных избирательных бюллетеней	16636	789	777	408	1532	353	330	687	1535	1639	247	811	1453	69	1043	2785	2178					
11	Число полученных открепительных  удостоверений	166	6	10	10	10	10	10	10	10	10	10	10	10	10	10	15	15					
12	Число выданных открепительных удостоверений	40	1	3	1	7	0	1	0	2	3	0	0	9	0	0	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	1	12	0	1	0	0	3	2	0	0	0	0	0	0	2	5					
14	Число неиспользованных открепительных удостоверений	126	5	7	9	3	10	9	10	8	7	10	10	1	10	10	8	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	89	2	6	4	6	0	1	0	4	6	1	0	11	0	24	22	2					
		0.53%	0.25%	0.77%	0.98%	0.39%	0.00%	0.30%	0.00%	0.26%	0.37%	0.40%	0.00%	0.75%	0.00%	2.29%	0.79%	0.09%					
19	. Малышкин Олег Александрович	33	0	4	1	0	0	1	0	2	3	0	0	0	0	15	0	7					
		0.20%	0.00%	0.51%	0.25%	0.00%	0.00%	0.30%	0.00%	0.13%	0.18%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.32%					
20	. Миронов Сергей Михайлович	97	0	5	0	6	0	4	0	3	4	0	0	4	0	6	63	2					
		0.58%	0.00%	0.64%	0.00%	0.39%	0.00%	1.21%	0.00%	0.20%	0.24%	0.00%	0.00%	0.27%	0.00%	0.57%	2.26%	0.09%					
21	. Путин Владимир Владимирович	15063	755	728	374	1390	323	271	569	1462	1390	231	748	1271	64	843	2522	2122					
		90.45%	95.69%	93.45%	91.67%	90.73%	91.50%	82.12%	82.82%	95.18%	84.81%	93.52%	92.00%	87.17%	92.75%	80.29%	90.56%	97.43%					
22	. Хакамада Ирина Муцуовна	134	0	8	12	13	5	8	11	2	4	4	9	0	0	8	47	3					
		0.80%	0.00%	1.03%	2.94%	0.85%	1.42%	2.42%	1.60%	0.13%	0.24%	1.62%	1.11%	0.00%	0.00%	0.76%	1.69%	0.14%					
23	. Харитонов Николай Михайлович	1086	23	19	12	104	25	40	97	60	226	11	54	151	5	135	105	19					
		6.52%	2.92%	2.44%	2.94%	6.79%	7.08%	12.12%	14.12%	3.91%	13.79%	4.45%	6.64%	10.36%	7.25%	12.86%	3.77%	0.87%					
																							
24	Против всех	134	9	7	5	13	0	5	10	2	6	0	0	16	0	12	26	23					
		0.80%	1.14%	0.90%	1.23%	0.85%	0.00%	1.52%	1.46%	0.13%	0.37%	0.00%	0.00%	1.10%	0.00%	1.14%	0.93%	1.06%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
