Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Ивантеевская городская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617					
33	"16. ""Родина"" (народно-патриотический союз)"""	3007	214	174	167	199	224	229	202	147	220	175	208	44	55	84	130	198	196	107	34					
		14.20%	14.55%	12.88%	12.80%	13.05%	15.03%	14.94%	14.50%	15.39%	14.09%	14.03%	14.49%	12.42%	10.51%	10.96%	16.12%	16.36%	15.33%	13.66%	17.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	3	2	3	0	2	1	3	1	2	0	0	2	0	5	0	6	1	1	1					
		0.15%	0.20%	0.14%	0.23%	0.0%	0.13%	0.06%	0.21%	0.10%	0.12%	0.0%	0.0%	0.56%	0.0%	0.65%	0.0%	0.49%	0.07%	0.12%	0.52%					
35	"18. ""ЛДПР"""	1729	103	114	99	156	134	106	126	87	119	79	119	35	47	68	79	82	98	69	9					
		8.16%	7.00%	8.44%	7.59%	10.23%	8.99%	6.91%	9.04%	9.10%	7.62%	6.33%	8.29%	9.88%	8.98%	8.87%	9.80%	6.77%	7.66%	8.81%	4.68%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	236	10	18	15	16	10	19	19	7	20	15	20	5	9	13	9	13	13	3	2					
		1.11%	0.68%	1.33%	1.15%	1.04%	0.67%	1.24%	1.36%	0.73%	1.28%	1.20%	1.39%	1.41%	1.72%	1.69%	1.11%	1.07%	1.01%	0.38%	1.04%					
37	"20. ""Политическая партия ""Единая Россия"""	7821	533	485	523	575	571	556	516	326	587	419	563	118	208	322	274	419	459	303	64					
		36.93%	36.25%	35.92%	40.10%	37.72%	38.32%	36.29%	37.04%	34.13%	37.60%	33.60%	39.23%	33.33%	39.77%	42.03%	33.99%	34.62%	35.91%	38.69%	33.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	1	2	1	1	1	1	3	1	3	0	1	0	0	0	0	0	2	3	1					
		0.09%	0.06%	0.14%	0.07%	0.06%	0.06%	0.06%	0.21%	0.10%	0.19%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.38%	0.52%					
39	"22. ""Развитие предпринимательства"""	42	4	0	4	1	5	2	2	1	4	3	5	1	2	2	0	1	3	2	0					
		0.19%	0.27%	0.0%	0.30%	0.06%	0.33%	0.13%	0.14%	0.10%	0.25%	0.24%	0.34%	0.28%	0.38%	0.26%	0.0%	0.08%	0.23%	0.25%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2027	159	119	124	143	128	151	144	84	119	149	115	28	27	79	80	128	163	58	29					
		9.57%	10.81%	8.81%	9.50%	9.38%	8.59%	9.85%	10.33%	8.79%	7.62%	11.94%	8.01%	7.90%	5.16%	10.31%	9.92%	10.57%	12.75%	7.40%	15.10%					
																										
41	Против всех	1230	90	85	65	76	85	107	63	76	86	64	83	32	35	42	40	67	78	44	12					
		5.80%	6.12%	6.29%	4.98%	4.98%	5.70%	6.98%	4.52%	7.95%	5.50%	5.13%	5.78%	9.03%	6.69%	5.48%	4.96%	5.53%	6.10%	5.61%	6.25%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
