Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Лысогорская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754					
1	"Число избирателей, внесенных в список"	15576	2374	1986	1672	802	314	505	71	308	446	526	70	670	171	434	154	406	473	402	234	1097	173	118	185	596	544	418	427					
2	Число полученных избирательных бюллетеней	15447	2221	1975	1655	802	301	496	73	312	441	536	72	684	179	425	145	468	447	402	234	1121	170	115	181	590	560	426	416					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11870	1843	1555	1330	539	215	406	63	246	359	473	58	453	118	337	107	297	333	276	207	718	126	96	164	449	420	358	324					
5	"Число избирательных бюллетеней, выданных вне помещения"	1742	132	75	131	66	71	69	6	45	66	21	4	153	50	54	34	67	56	95	5	218	19	11	17	108	66	50	53					
6	Число погашенных избирательных бюллетеней	1835	246	345	194	197	15	21	4	21	16	42	10	78	11	34	4	104	58	31	22	185	25	8	0	33	74	18	39					
7	Число избирательных бюллетеней в переносных ящиках	1742	132	75	131	66	71	69	6	45	66	21	4	153	50	54	34	67	56	95	5	218	19	11	17	108	66	50	53					
8	Число бюллетеней в стационарных ящиках для голосования	11870	1843	1555	1330	539	215	406	63	246	359	473	58	453	118	337	107	297	333	276	207	718	126	96	164	449	420	358	324					
9	Число недействительных избирательных бюллетеней	126	25	1	1	7	1	0	0	2	2	0	0	3	1	0	0	5	2	0	1	0	0	0	2	45	13	11	4					
10	Число действительных избирательных бюллетеней	13486	1950	1629	1460	598	285	475	69	289	423	494	62	603	167	391	141	359	387	371	211	936	145	107	179	512	473	397	373					
11	Число полученных открепительных  удостоверений	561	58	35	15	22	10	40	6	15	40	17	3	20	3	15	3	35	45	18	11	80	10	3	3	15	18	8	13					
12	Число выданных открепительных удостоверений	530	58	31	11	22	10	40	4	15	40	14	3	20	3	5	0	35	45	18	11	80	10	0	1	15	18	8	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	14	4	5	2	4	5	2	0	6	4	6	6	1	5	2	4	2	12	1	0	5	4	3	5	1	3	0					
14	Число неиспользованных открепительных удостоверений	31	0	4	4	0	0	0	2	0	0	3	0	0	0	10	3	0	0	0	0	0	0	3	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	19	10	5	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	239	86	25	47	9	1	2	1	1	9	7	2	7	1	2	4	1	10	4	3	4	2	0	4	4	1	0	2					
		1.76%	4.35%	1.53%	3.22%	1.49%	0.35%	0.42%	1.45%	0.34%	2.12%	1.42%	3.23%	1.16%	0.60%	0.51%	2.84%	0.27%	2.57%	1.08%	1.42%	0.43%	1.38%	0.00%	2.21%	0.72%	0.21%	0.00%	0.53%					
19	. Малышкин Олег Александрович	242	44	28	21	30	1	9	0	1	20	6	2	5	0	3	1	1	15	7	3	29	5	5	1	2	1	0	2					
		1.78%	2.23%	1.72%	1.44%	4.96%	0.35%	1.89%	0.00%	0.34%	4.71%	1.21%	3.23%	0.83%	0.00%	0.77%	0.71%	0.27%	3.86%	1.89%	1.42%	3.10%	3.45%	4.67%	0.55%	0.36%	0.21%	0.00%	0.53%					
20	. Миронов Сергей Михайлович	80	7	5	4	9	1	2	2	0	4	3	0	3	1	0	2	2	3	2	4	11	0	2	2	8	1	0	2					
		0.59%	0.35%	0.31%	0.27%	1.49%	0.35%	0.42%	2.90%	0.00%	0.94%	0.61%	0.00%	0.50%	0.60%	0.00%	1.42%	0.55%	0.77%	0.54%	1.89%	1.18%	0.00%	1.87%	1.10%	1.44%	0.21%	0.00%	0.53%					
21	. Путин Владимир Владимирович	10971	1331	1163	981	493	268	447	59	265	298	429	46	558	118	346	123	348	321	322	181	833	103	91	164	469	461	393	360					
		80.60%	67.39%	71.35%	67.15%	81.49%	93.71%	94.11%	85.51%	91.07%	70.12%	86.84%	74.19%	92.08%	70.24%	88.49%	87.23%	95.60%	82.52%	86.79%	85.38%	89.00%	71.03%	85.05%	90.61%	84.20%	94.86%	96.32%	95.49%					
22	. Хакамада Ирина Муцуовна	172	40	25	28	17	1	2	1	1	6	5	0	7	2	6	2	1	2	2	6	6	2	0	1	7	1	0	1					
		1.26%	2.03%	1.53%	1.92%	2.81%	0.35%	0.42%	1.45%	0.34%	1.41%	1.01%	0.00%	1.16%	1.19%	1.53%	1.42%	0.27%	0.51%	0.54%	2.83%	0.64%	1.38%	0.00%	0.55%	1.26%	0.21%	0.00%	0.27%					
23	. Харитонов Николай Михайлович	1513	382	344	343	19	10	7	5	19	68	38	12	13	43	28	9	6	30	26	8	33	29	7	3	15	8	3	5					
		11.12%	19.34%	21.10%	23.48%	3.14%	3.50%	1.47%	7.25%	6.53%	16.00%	7.69%	19.35%	2.15%	25.60%	7.16%	6.38%	1.65%	7.71%	7.01%	3.77%	3.53%	20.00%	6.54%	1.66%	2.69%	1.65%	0.74%	1.33%					
																																		
24	Против всех	269	60	39	36	21	3	6	1	2	18	6	0	10	2	6	0	0	6	8	6	20	4	2	4	7	0	1	1					
		1.98%	3.04%	2.39%	2.46%	3.47%	1.05%	1.26%	1.45%	0.69%	4.24%	1.21%	0.00%	1.65%	1.19%	1.53%	0.00%	0.00%	1.54%	2.16%	2.83%	2.14%	2.76%	1.87%	2.21%	1.26%	0.00%	0.25%	0.27%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
