Выборы Президента Российской Федерации																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Василеостровская №2																																																																																																
																																																																																																
Итоги голосования 																																																																																																
																																																																																																
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
11	Число полученных открепительных  удостоверений	4000	50	50	50	50	50	50	50	50	50	50	50	150	150	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	50	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1305	18	36	19	16	16	21	28	21	12	23	22	18	8	22	22	11	19	12	15	11	20	26	18	26	17	22	16	11	32	20	22	14	11	11	9	18	18	9	7	23	12	4	10	19	12	17	28	21	20	21	27	2	21	19	20	20	14	17	23	9	17	17	7	8	18	12	23	14	15	14	18	22	17	21	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1081	11	15	18	17	10	18	16	7	30	22	18	6	31	9	15	23	16	12	12	26	14	6	14	6	12	16	10	13	13	9	13	17	10	18	11	20	9	14	17	12	20	11	11	9	21	20	10	14	10	11	10	10	10	9	26	14	17	7	11	4	16	6	24	12	7	12	10	8	14	14	15	18	13	16	24	9	5	5	5	0	7	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	2695	32	14	31	34	34	29	22	29	38	27	28	132	142	28	28	39	31	38	35	39	30	24	32	24	33	28	34	39	18	30	28	36	39	39	41	32	32	41	43	27	38	46	40	31	38	33	22	29	30	29	23	48	29	31	30	30	36	33	27	41	33	33	43	42	32	38	27	36	35	36	32	28	33	29	24	0	0	0	0	0	50	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	170	1	0	0	1	0	0	0	1	0	1	1	59	78	3	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																
18	. Глазьев Сергей Юрьевич	3656	44	66	57	48	36	56	46	41	36	43	41	47	33	43	47	38	57	49	40	41	38	34	34	22	62	30	25	38	59	46	66	45	59	48	35	25	53	52	52	48	54	26	64	32	79	72	73	43	68	89	59	33	66	63	21	59	46	64	62	19	35	56	52	18	29	66	52	39	67	47	60	47	67	65	44	0	0	1	2	0	7	2	7	1	4	6	1	9	0					
		4.29%	4.31%	3.92%	5.23%	4.88%	3.45%	4.90%	4.73%	4.61%	3.19%	3.97%	4.57%	3.89%	2.72%	4.67%	4.50%	4.54%	4.56%	3.84%	3.96%	3.50%	3.95%	3.76%	3.21%	2.18%	5.93%	3.23%	2.52%	3.86%	4.45%	3.75%	5.13%	3.97%	5.27%	5.21%	4.69%	2.87%	4.52%	4.68%	4.61%	3.84%	4.56%	3.42%	6.37%	2.92%	6.16%	4.61%	5.02%	3.02%	5.56%	6.09%	4.48%	5.24%	5.50%	5.95%	2.15%	4.97%	4.12%	5.17%	5.36%	2.11%	2.83%	4.24%	3.82%	2.62%	4.30%	4.94%	4.28%	3.14%	5.14%	4.59%	4.59%	3.95%	5.10%	5.08%	3.36%	0.00%	0.00%	2.04%	2.47%	0.00%	1.22%	3.17%	22.58%	8.33%	14.81%	15.00%	7.69%	6.87%	0.00%					
