Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Орловская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
		3.65%	1.75%	1.71%	1.90%	0.90%	0.00%	1.85%	2.29%	2.28%	6.04%	2.64%	1.13%	4.09%	1.61%	3.70%	2.92%	4.01%	2.59%	2.82%	6.59%	4.02%	4.78%	5.60%	3.93%	2.47%	4.72%	1.87%	4.72%	1.59%	3.33%	4.27%	3.31%	3.03%	3.11%	3.72%	3.10%	2.58%	0.56%	5.33%	1.54%	2.58%	0.91%	1.37%	2.05%	4.47%	6.26%	7.05%	4.68%	4.42%	2.67%	4.41%	4.81%	1.41%	4.98%	4.75%	4.80%	2.79%					
19	. Малышкин Олег Александрович	892	5	6	0	17	3	11	4	5	40	5	16	11	10	19	9	16	22	11	5	46	34	44	78	9	2	19	13	9	13	8	12	14	19	9	30	3	0	3	15	8	6	4	48	15	40	2	7	39	8	17	19	17	36	10	13	8					
		2.32%	1.46%	1.71%	0.00%	3.82%	1.21%	2.55%	2.29%	1.14%	2.34%	0.94%	4.51%	2.04%	1.79%	2.13%	1.75%	1.31%	1.50%	1.72%	0.80%	2.44%	1.91%	2.65%	4.37%	2.78%	0.94%	3.94%	2.55%	2.39%	1.54%	1.37%	4.96%	2.83%	1.79%	1.86%	2.45%	0.86%	0.00%	1.78%	2.09%	1.72%	1.82%	1.37%	2.59%	1.63%	3.52%	1.28%	2.05%	6.15%	1.42%	4.68%	2.95%	2.66%	3.66%	1.32%	1.18%	2.23%					
20	. Миронов Сергей Михайлович	334	4	3	0	4	0	1	1	4	11	8	1	6	3	9	4	8	5	3	5	22	10	7	65	7	0	5	0	9	2	6	2	3	26	3	8	2	0	0	1	3	2	1	6	6	10	0	0	2	0	7	3	5	10	4	15	2					
		0.87%	1.17%	0.85%	0.00%	0.90%	0.00%	0.23%	0.57%	0.91%	0.64%	1.51%	0.28%	1.12%	0.54%	1.01%	0.78%	0.66%	0.34%	0.47%	0.80%	1.16%	0.56%	0.42%	3.65%	2.16%	0.00%	1.04%	0.00%	2.39%	0.24%	1.03%	0.83%	0.61%	2.45%	0.62%	0.65%	0.57%	0.00%	0.00%	0.14%	0.65%	0.61%	0.34%	0.32%	0.65%	0.88%	0.00%	0.00%	0.32%	0.00%	1.93%	0.47%	0.78%	1.02%	0.53%	1.36%	0.56%					
21	. Путин Владимир Владимирович	24835	216	271	82	269	180	314	130	339	917	311	241	373	405	635	390	885	1087	441	429	1170	880	972	955	188	139	277	344	240	544	381	174	346	663	334	688	260	149	111	460	328	225	247	1437	582	661	93	181	347	427	203	444	472	635	461	653	249					
		64.55%	62.97%	77.21%	78.10%	60.45%	72.87%	72.69%	74.29%	77.40%	53.75%	58.68%	67.89%	69.33%	72.32%	71.11%	75.88%	72.48%	74.20%	69.12%	68.97%	61.94%	49.52%	58.52%	53.56%	58.02%	65.57%	57.47%	67.58%	63.66%	64.61%	65.13%	71.90%	69.90%	62.43%	69.01%	56.21%	74.50%	83.71%	65.68%	64.25%	70.54%	68.18%	84.88%	77.47%	63.40%	58.24%	59.62%	52.92%	54.73%	75.98%	55.92%	68.94%	73.87%	64.60%	60.82%	59.15%	69.55%					
22	. Хакамада Ирина Муцуовна	825	7	2	2	6	2	13	2	11	33	11	8	16	19	13	6	33	14	13	25	43	49	25	56	14	9	9	11	7	12	5	1	9	25	14	16	3	1	3	9	4	5	6	28	21	33	8	4	14	3	20	12	15	35	15	31	14					
		2.14%	2.04%	0.57%	1.90%	1.35%	0.81%	3.01%	1.14%	2.51%	1.93%	2.08%	2.25%	2.97%	3.39%	1.46%	1.17%	2.70%	0.96%	2.04%	4.02%	2.28%	2.76%	1.51%	3.14%	4.32%	4.25%	1.87%	2.16%	1.86%	1.43%	0.85%	0.41%	1.82%	2.35%	2.89%	1.31%	0.86%	0.56%	1.78%	1.26%	0.86%	1.52%	2.06%	1.51%	2.29%	2.91%	5.13%	1.17%	2.21%	0.53%	5.51%	1.86%	2.35%	3.56%	1.98%	2.81%	3.91%					
23	. Харитонов Николай Михайлович	8412	90	45	18	122	51	63	31	60	490	161	63	89	87	140	71	178	250	132	99	448	635	429	409	88	49	138	91	87	221	139	40	90	261	83	338	60	13	37	209	66	78	24	251	203	269	38	126	162	100	85	115	92	168	187	281	62					
		21.86%	26.24%	12.82%	17.14%	27.42%	20.65%	14.58%	17.71%	13.70%	28.72%	30.38%	17.75%	16.54%	15.54%	15.68%	13.81%	14.58%	17.06%	20.69%	15.92%	23.72%	35.73%	25.83%	22.94%	27.16%	23.11%	28.63%	17.88%	23.08%	26.25%	23.76%	16.53%	18.18%	24.58%	17.15%	27.61%	17.19%	7.30%	21.89%	29.19%	14.19%	23.64%	8.25%	13.53%	22.11%	23.70%	24.36%	36.84%	25.55%	17.79%	23.42%	17.86%	14.40%	17.09%	24.67%	25.45%	17.32%					
																																																															
24	Против всех	1478	11	15	1	17	7	16	3	5	101	16	15	17	22	41	16	43	41	17	13	77	70	61	121	10	3	24	22	15	17	18	3	12	26	21	98	11	9	3	7	39	9	4	36	41	43	2	8	34	9	14	20	29	45	38	51	11					
		3.84%	3.21%	4.27%	0.95%	3.82%	2.83%	3.70%	1.71%	1.14%	5.92%	3.02%	4.23%	3.16%	3.93%	4.59%	3.11%	3.52%	2.80%	2.66%	2.09%	4.08%	3.94%	3.67%	6.79%	3.09%	1.42%	4.98%	4.32%	3.98%	2.02%	3.08%	1.24%	2.42%	2.45%	4.34%	8.01%	3.15%	5.06%	1.78%	0.98%	8.39%	2.73%	1.37%	1.94%	4.47%	3.79%	1.28%	2.34%	5.36%	1.60%	3.86%	3.11%	4.54%	4.58%	5.01%	4.62%	3.07%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
