Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Новобурасская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829					
1	"Число избирателей, внесенных в список"	13097	2394	1595	1066	1439	108	278	125	452	137	440	394	353	500	387	128	914	133	102	285	357	345	671	494					
2	Число полученных избирательных бюллетеней	13305	2421	1584	1081	1456	109	288	133	456	136	442	407	360	495	392	135	930	147	102	297	373	358	708	495					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9440	1603	1084	650	891	70	244	98	393	91	346	306	304	293	297	87	778	120	94	261	298	261	526	345					
5	"Число избирательных бюллетеней, выданных вне помещения"	1181	168	68	79	101	17	21	14	18	37	66	69	33	126	48	23	49	13	5	20	27	65	43	71					
6	Число погашенных избирательных бюллетеней	2684	650	432	352	464	22	23	21	45	8	30	32	23	76	47	25	103	14	3	16	48	32	139	79					
7	Число избирательных бюллетеней в переносных ящиках	1181	168	68	79	101	17	21	14	18	37	66	69	33	126	48	23	49	13	5	20	27	65	43	71					
8	Число бюллетеней в стационарных ящиках для голосования	9439	1603	1084	650	890	70	244	98	393	91	346	306	304	293	297	87	778	120	94	261	298	261	526	345					
9	Число недействительных избирательных бюллетеней	77	14	8	1	8	0	1	0	1	1	2	1	3	3	1	1	8	1	0	3	5	3	6	6					
10	Число действительных избирательных бюллетеней	10543	1757	1144	728	983	87	264	112	410	127	410	374	334	416	344	109	819	132	99	278	320	323	563	410					
11	Число полученных открепительных  удостоверений	490	100	60	35	50	5	10	8	20	5	13	12	10	14	12	5	40	5	5	10	12	10	34	15					
12	Число выданных открепительных удостоверений	265	51	22	20	18	4	10	8	4	1	5	12	10	1	8	2	15	3	1	10	12	10	31	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	19	4	4	9	5	0	0	1	2	3	1	3	2	1	1	3	0	2	0	0	2	3	3					
14	Число неиспользованных открепительных удостоверений	225	49	38	15	32	1	0	0	16	4	8	0	0	13	4	3	25	2	4	0	0	0	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	285	55	49	29	25	6	15	1	10	0	4	3	10	8	11	1	17	0	2	6	4	5	13	11					
		2.68%	3.11%	4.25%	3.98%	2.52%	6.90%	5.66%	0.89%	2.43%	0.00%	0.97%	0.80%	2.97%	1.91%	3.19%	0.91%	2.06%	0.00%	2.02%	2.14%	1.23%	1.53%	2.28%	2.64%					
19	. Малышкин Олег Александрович	302	38	38	18	27	1	3	3	10	0	5	17	10	9	11	4	24	5	3	14	8	7	21	26					
		2.84%	2.15%	3.30%	2.47%	2.72%	1.15%	1.13%	2.68%	2.43%	0.00%	1.21%	4.53%	2.97%	2.15%	3.19%	3.64%	2.90%	3.76%	3.03%	4.98%	2.46%	2.15%	3.69%	6.25%					
20	. Миронов Сергей Михайлович	95	15	16	7	8	0	3	2	2	1	2	3	4	1	4	1	10	0	1	4	1	2	6	2					
		0.89%	0.85%	1.39%	0.96%	0.81%	0.00%	1.13%	1.79%	0.49%	0.78%	0.49%	0.80%	1.19%	0.24%	1.16%	0.91%	1.21%	0.00%	1.01%	1.42%	0.31%	0.61%	1.05%	0.48%					
21	. Путин Владимир Владимирович	6881	1082	712	459	528	64	170	85	282	111	317	259	255	303	237	60	570	118	61	186	204	240	329	249					
		64.79%	61.10%	61.81%	62.96%	53.28%	73.56%	64.15%	75.89%	68.61%	86.72%	76.94%	69.07%	75.67%	72.32%	68.70%	54.55%	68.92%	88.72%	61.62%	66.19%	62.77%	73.62%	57.82%	59.86%					
22	. Хакамада Ирина Муцуовна	254	72	34	22	21	1	5	2	2	2	9	9	7	7	13	1	20	0	1	5	1	1	9	10					
		2.39%	4.07%	2.95%	3.02%	2.12%	1.15%	1.89%	1.79%	0.49%	1.56%	2.18%	2.40%	2.08%	1.67%	3.77%	0.91%	2.42%	0.00%	1.01%	1.78%	0.31%	0.31%	1.58%	2.40%					
23	. Харитонов Николай Михайлович	2370	423	232	167	331	14	56	19	95	11	68	73	38	77	62	36	145	9	29	53	95	66	168	103					
		22.32%	23.88%	20.14%	22.91%	33.40%	16.09%	21.13%	16.96%	23.11%	8.59%	16.50%	19.47%	11.28%	18.38%	17.97%	32.73%	17.53%	6.77%	29.29%	18.86%	29.23%	20.25%	29.53%	24.76%					
																														
24	Против всех	356	72	63	26	43	1	12	0	9	2	5	10	10	11	6	6	33	0	2	10	7	2	17	9					
		3.35%	4.07%	5.47%	3.57%	4.34%	1.15%	4.53%	0.00%	2.19%	1.56%	1.21%	2.67%	2.97%	2.63%	1.74%	5.45%	3.99%	0.00%	2.02%	3.56%	2.15%	0.61%	2.99%	2.16%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
