Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Бековская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232					
1	"Число избирателей, внесенных в список"	14879	1590	2054	984	1000	1459	1342	341	419	524	191	304	281	210	121	451	432	382	601	670	873	309	341					
2	Число полученных избирательных бюллетеней	14448	1600	2000	950	950	1400	1300	330	400	500	194	300	260	200	124	450	400	380	600	650	840	300	320					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9591	1120	1251	754	812	940	739	199	203	215	107	175	166	162	93	317	264	265	385	350	562	253	259					
5	"Число избирательных бюллетеней, выданных вне помещения"	2480	193	232	101	92	253	241	61	104	191	60	90	72	38	19	96	98	70	69	133	177	44	46					
6	Число погашенных избирательных бюллетеней	2377	287	517	95	46	207	320	70	93	94	27	35	22	0	12	37	38	45	146	167	101	3	15					
7	Число избирательных бюллетеней в переносных ящиках	2480	193	232	101	92	253	241	61	104	191	60	90	72	38	19	96	98	70	69	133	177	44	46					
8	Число бюллетеней в стационарных ящиках для голосования	9591	1120	1251	754	812	940	739	199	203	215	107	175	166	162	93	317	264	265	385	350	562	253	259					
9	Число недействительных избирательных бюллетеней	270	9	15	6	38	91	36	1	1	2	1	21	3	3	2	2	3	6	2	2	22	3	1					
10	Число действительных избирательных бюллетеней	11801	1304	1468	849	866	1102	944	259	306	404	166	244	235	197	110	411	359	329	452	481	717	294	304					
11	Число полученных открепительных  удостоверений	294	40	33	31	8	28	10	5	5	8	7	25	7	4	4	19	6	12	6	8	20	6	2					
12	Число выданных открепительных удостоверений	264	40	30	19	5	28	8	5	5	8	5	21	7	4	4	19	6	12	6	5	20	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	8	16	15	2	2	8	1	3	2	2	2	6	2	3	4	2	6	3	8	4	1	3					
14	Число неиспользованных открепительных удостоверений	30	0	3	12	3	0	2	0	0	0	2	4	0	0	0	0	0	0	0	3	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	286	33	47	21	11	46	14	14	7	10	3	7	7	1	0	8	3	17	11	11	10	3	2					
		2.37%	2.51%	3.17%	2.46%	1.22%	3.86%	1.43%	5.38%	2.28%	2.46%	1.80%	2.64%	2.94%	0.50%	0.00%	1.94%	0.83%	5.07%	2.42%	2.28%	1.35%	1.01%	0.66%					
19	. Малышкин Олег Александрович	332	36	38	22	17	36	32	6	8	16	11	12	13	5	2	10	3	7	16	7	25	6	4					
		2.75%	2.74%	2.56%	2.57%	1.88%	3.02%	3.27%	2.31%	2.61%	3.94%	6.59%	4.53%	5.46%	2.50%	1.79%	2.42%	0.83%	2.09%	3.52%	1.45%	3.38%	2.02%	1.31%					
20	. Миронов Сергей Михайлович	94	5	20	9	9	9	3	1	1	3	1	3	0	1	3	1	5	9	2	4	4	0	1					
		0.78%	0.38%	1.35%	1.05%	1.00%	0.75%	0.31%	0.38%	0.33%	0.74%	0.60%	1.13%	0.00%	0.50%	2.68%	0.24%	1.38%	2.69%	0.44%	0.83%	0.54%	0.00%	0.33%					
21	. Путин Владимир Владимирович	9010	1009	1050	640	762	881	714	183	215	239	120	181	187	170	101	279	306	222	346	372	556	227	250					
		74.64%	76.85%	70.80%	74.85%	84.29%	73.85%	72.86%	70.38%	70.03%	58.87%	71.86%	68.30%	78.57%	85.00%	90.18%	67.55%	84.53%	66.27%	76.21%	77.02%	75.24%	76.43%	81.97%					
22	. Хакамада Ирина Муцуовна	140	22	13	15	12	11	9	1	4	3	2	7	1	2	0	4	1	3	7	9	4	7	3					
		1.16%	1.68%	0.88%	1.75%	1.33%	0.92%	0.92%	0.38%	1.30%	0.74%	1.20%	2.64%	0.42%	1.00%	0.00%	0.97%	0.28%	0.90%	1.54%	1.86%	0.54%	2.36%	0.98%					
23	. Харитонов Николай Михайлович	1687	158	262	127	43	83	154	44	63	127	21	31	27	17	4	94	38	61	64	72	110	48	39					
		13.98%	12.03%	17.67%	14.85%	4.76%	6.96%	15.71%	16.92%	20.52%	31.28%	12.57%	11.70%	11.34%	8.50%	3.57%	22.76%	10.50%	18.21%	14.10%	14.91%	14.88%	16.16%	12.79%					
																													
24	Против всех	252	41	38	15	12	36	18	10	8	6	8	3	0	1	0	15	3	10	6	6	8	3	5					
		2.09%	3.12%	2.56%	1.75%	1.33%	3.02%	1.84%	3.85%	2.61%	1.48%	4.79%	1.13%	0.00%	0.50%	0.00%	3.63%	0.83%	2.99%	1.32%	1.24%	1.08%	1.01%	1.64%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
