Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Минераловодская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
1	"Число избирателей, внесенных в список"	98353	783	739	2219	1626	1487	1134	2574	2672	2484	1333	2239	2489	1858	1299	2380	2289	1810	2051	2248	2223	2367	2635	1477	1561	1740	1167	1594	1936	1244	135	66	98	940	2037	2203	2223	1883	919	2542	979	685	1715	336	279	980	602	2043	987	1567	1632	2113	1283	2065	336	1958	2700	180	1412	1506	927	1360	1612	457	111	115	713	615	381					
2	Число полученных избирательных бюллетеней	99550	800	740	2210	1630	1500	1130	2580	2680	2490	1330	2250	2460	1850	1300	2370	2300	1830	2060	2310	2230	2370	2700	1470	1570	1770	1170	1580	1930	1250	150	150	150	950	2060	2220	2250	1880	920	2570	980	680	1760	350	270	1110	760	2080	1000	1620	1630	2140	1280	2070	340	1970	2670	180	1420	1540	930	1410	1660	480	130	130	720	690	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48887	386	342	924	731	697	486	1029	1200	1121	672	1076	1247	940	626	1190	1132	800	1085	1147	1198	1143	1321	616	605	1004	466	644	1005	609	110	66	80	477	1156	1203	1240	912	469	1253	578	367	934	175	213	622	394	899	551	779	832	951	686	1064	184	973	1286	135	659	829	470	680	794	226	90	103	375	426	204					
5	"Число избирательных бюллетеней, выданных вне помещения"	3830	46	38	143	117	48	62	66	79	25	45	59	47	74	26	48	47	108	35	27	45	45	10	44	46	76	60	72	24	26	0	0	0	23	46	45	52	119	33	127	22	33	142	36	13	84	10	140	49	157	89	160	33	26	36	92	85	9	117	87	46	50	133	18	0	0	33	66	31					
6	Число погашенных избирательных бюллетеней	46833	368	360	1143	782	755	582	1485	1401	1344	613	1115	1166	836	648	1132	1121	922	940	1136	987	1182	1369	810	919	690	644	864	901	615	40	84	70	450	858	972	958	849	418	1190	380	280	684	139	44	404	356	1041	400	684	709	1029	561	980	120	905	1299	36	644	624	414	680	733	236	40	27	312	198	155					
7	Число избирательных бюллетеней в переносных ящиках	3829	46	38	143	117	48	62	66	79	25	45	59	47	74	26	48	47	108	35	27	45	45	10	44	46	76	60	72	24	26	0	0	0	23	46	45	52	118	33	127	22	33	142	36	13	84	10	140	49	157	89	160	33	26	36	92	85	9	117	87	46	50	133	18	0	0	33	66	31					
8	Число бюллетеней в стационарных ящиках для голосования	48885	386	342	923	731	697	486	1029	1200	1121	672	1076	1247	940	626	1190	1132	800	1085	1147	1198	1143	1321	616	605	1004	466	644	1005	609	110	66	80	477	1156	1203	1240	912	469	1253	578	367	934	175	213	622	394	899	551	779	832	951	686	1064	184	973	1286	135	659	829	470	680	793	226	90	103	375	426	204					
9	Число недействительных избирательных бюллетеней	424	2	2	14	0	3	3	2	6	1	27	7	10	5	3	8	8	12	0	9	8	4	8	3	1	11	3	4	6	0	2	0	0	1	3	2	20	10	8	8	9	0	3	5	1	3	55	3	5	6	9	4	0	8	0	9	26	1	12	7	6	1	11	3	0	0	6	4	3					
10	Число действительных избирательных бюллетеней	52290	430	378	1052	848	742	545	1093	1273	1145	690	1128	1284	1009	649	1230	1171	896	1120	1165	1235	1184	1323	657	650	1069	523	712	1023	635	108	66	80	499	1199	1246	1272	1020	494	1372	591	400	1073	206	225	703	349	1036	595	930	912	1107	719	1082	220	1056	1345	143	764	909	510	729	915	241	90	103	402	488	232					
