Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Минераловодская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №1299					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	623	5	14	9	9	19	15	9	11	22	6	12	37	13	11	53	13	21	11	14	8	11	10	8	17	19	6	9	24	6	5	13	8	7	10	1	3	6	4	0	2	1	5	1	5	19	7	3	6	19	3	1	9	4	3	4	11	7	3	5	3	6	4	3	2	3	2	1	2					
14	Число неиспользованных открепительных удостоверений	208	6	3	2	4	0	0	0	7	1	4	0	0	3	5	0	0	8	0	1	0	4	0	2	13	3	10	3	0	4	0	0	6	0	4	5	0	3	4	1	9	0	4	4	6	9	0	9	0	5	0	3	0	2	0	0	9	8	7	7	0	5	0	0	0	6	0	1	8					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	12	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	Богданов Андрей Владимирович	468	6	6	3	8	7	3	14	9	17	6	7	15	9	7	10	15	7	12	13	13	12	20	5	9	9	14	7	9	12	3	16	8	13	2	2	13	1	4	6	0	4	1	3	3	0	8	2	10	10	2	9	1	4	6	6	0	9	7	5	6	6	3	0	0	3	8	0	0					
		0.64%	0.99%	0.85%	0.35%	1.06%	0.86%	0.35%	0.83%	0.38%	1.57%	0.61%	0.36%	0.75%	1.02%	0.59%	0.49%	0.78%	0.48%	0.70%	0.65%	0.74%	1.15%	0.84%	0.40%	1.29%	0.64%	2.41%	0.50%	0.56%	1.15%	0.65%	0.78%	0.49%	1.02%	0.16%	0.23%	0.83%	0.28%	1.44%	0.72%	0.00%	0.32%	0.37%	1.22%	0.45%	0.00%	0.48%	0.29%	0.91%	0.81%	0.11%	0.95%	0.06%	1.53%	0.47%	0.38%	0.00%	0.75%	0.58%	0.67%	0.60%	0.55%	0.91%	0.00%	0.00%	0.82%	1.36%	0.00%	0.00%					
