Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Илекская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в список"	20557	1635	1922	2163	176	679	423	1943	1303	899	108	90	52	1008	919	102	84	58	548	517	1012	117	173	210	724	682	760	545	1705					
2	Число полученных избирательных бюллетеней	20747	1619	1935	2173	176	714	443	1919	1336	903	110	90	57	1029	940	103	90	60	544	537	988	115	183	215	740	696	765	536	1731					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15184	1065	1280	1523	170	540	316	1289	969	687	108	83	48	764	753	85	84	58	414	412	759	94	120	155	578	535	564	450	1281					
5	"Число избирательных бюллетеней, выданных вне помещения"	1455	172	125	140	0	70	58	162	108	47	0	0	4	53	40	6	0	0	49	44	87	0	35	18	50	34	60	29	64					
6	Число погашенных избирательных бюллетеней	4108	382	530	510	6	104	69	468	259	169	2	7	5	212	147	12	6	2	81	81	142	21	28	42	112	127	141	57	386					
7	Число избирательных бюллетеней в переносных ящиках	1455	172	125	140	0	70	58	162	108	47	0	0	4	53	40	6	0	0	49	44	87	0	35	18	50	34	60	29	64					
8	Число бюллетеней в стационарных ящиках для голосования	15184	1065	1280	1523	170	540	316	1289	969	687	108	83	48	764	753	85	84	58	414	412	759	94	120	155	578	535	564	450	1281					
9	Число недействительных избирательных бюллетеней	179	11	6	21	3	4	0	17	10	8	1	1	0	19	7	0	1	2	7	11	10	2	1	1	13	5	4	3	11					
10	Число действительных избирательных бюллетеней	16460	1226	1399	1642	167	606	374	1434	1067	726	107	82	52	798	786	91	83	56	456	445	836	92	154	172	615	564	620	476	1334					
11	Число полученных открепительных  удостоверений	542	41	45	45	5	22	18	40	31	22	5	5	5	25	30	5	5	5	13	13	39	5	5	5	17	17	19	13	42					
12	Число выданных открепительных удостоверений	376	13	33	34	0	22	17	23	31	20	0	0	2	18	27	0	0	0	5	9	39	3	1	0	12	14	6	7	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	9	4	9	2	3	2	6	1	8	5	2	2	3	3	3	2	3	3	1	1	4	2	1	3	1	2	1	5					
14	Число неиспользованных открепительных удостоверений	166	28	12	11	5	0	1	17	0	2	5	5	3	7	3	5	5	5	8	4	0	2	4	5	5	3	13	6	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	500	35	51	71	4	17	9	33	56	30	0	0	0	11	6	1	0	0	9	7	19	3	2	5	11	25	18	15	62					
		3.00%	2.83%	3.63%	4.27%	2.35%	2.79%	2.41%	2.27%	5.20%	4.09%	0.00%	0.00%	0.00%	1.35%	0.76%	1.10%	0.00%	0.00%	1.94%	1.54%	2.25%	3.19%	1.29%	2.89%	1.75%	4.39%	2.88%	3.13%	4.61%					
19	. Малышкин Олег Александрович	576	42	46	40	4	35	19	25	42	11	2	1	1	6	18	3	3	5	8	26	41	4	6	8	28	42	26	34	50					
		3.46%	3.40%	3.27%	2.41%	2.35%	5.74%	5.08%	1.72%	3.90%	1.50%	1.85%	1.20%	1.92%	0.73%	2.27%	3.30%	3.57%	8.62%	1.73%	5.70%	4.85%	4.26%	3.87%	4.62%	4.46%	7.38%	4.17%	7.10%	3.72%					
20	. Миронов Сергей Михайлович	95	9	8	16	1	2	0	3	8	3	0	0	1	4	4	2	0	0	1	3	7	1	2	2	2	2	5	5	4					
		0.57%	0.73%	0.57%	0.96%	0.59%	0.33%	0.00%	0.21%	0.74%	0.41%	0.00%	0.00%	1.92%	0.49%	0.50%	2.20%	0.00%	0.00%	0.22%	0.66%	0.83%	1.06%	1.29%	1.16%	0.32%	0.35%	0.80%	1.04%	0.30%					
21	. Путин Владимир Владимирович	9032	764	801	983	132	383	153	664	479	300	64	35	38	409	510	68	56	42	283	221	493	68	92	66	267	283	286	289	803					
		54.28%	61.76%	57.01%	59.11%	77.65%	62.79%	40.91%	45.76%	44.48%	40.87%	59.26%	42.17%	73.08%	50.06%	64.31%	74.73%	66.67%	72.41%	61.12%	48.46%	58.27%	72.34%	59.35%	38.15%	42.52%	49.74%	45.83%	60.33%	59.70%					
22	. Хакамада Ирина Муцуовна	220	18	23	36	1	13	2	19	16	10	0	1	0	11	4	0	2	0	4	1	6	3	1	0	5	9	5	4	26					
		1.32%	1.46%	1.64%	2.16%	0.59%	2.13%	0.53%	1.31%	1.49%	1.36%	0.00%	1.20%	0.00%	1.35%	0.50%	0.00%	2.38%	0.00%	0.86%	0.22%	0.71%	3.19%	0.65%	0.00%	0.80%	1.58%	0.80%	0.84%	1.93%					
23	. Харитонов Николай Михайлович	5732	339	438	443	24	147	183	664	450	361	41	45	10	351	231	17	22	6	142	183	260	9	47	88	296	189	273	122	351					
		34.45%	27.41%	31.17%	26.64%	14.12%	24.10%	48.93%	45.76%	41.78%	49.18%	37.96%	54.22%	19.23%	42.96%	29.13%	18.68%	26.19%	10.34%	30.67%	40.13%	30.73%	9.57%	30.32%	50.87%	47.13%	33.22%	43.75%	25.47%	26.10%					
																																			
24	Против всех	305	19	32	53	1	9	8	26	16	11	0	0	2	6	13	0	0	3	9	4	10	4	4	3	6	14	7	7	38					
		1.83%	1.54%	2.28%	3.19%	0.59%	1.48%	2.14%	1.79%	1.49%	1.50%	0.00%	0.00%	3.85%	0.73%	1.64%	0.00%	0.00%	5.17%	1.94%	0.88%	1.18%	4.26%	2.58%	1.73%	0.96%	2.46%	1.12%	1.46%	2.83%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
