Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Городищенская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792					
1	"Число избирателей, внесенных в список"	41041	534	769	801	409	298	242	2000	1829	2573	313	615	655	2377	2326	2262	630	403	301	165	211	133	1291	481	199	1217	885	1649	1444	1578	1692	247	1716	177	130	2030	2075	2303	2081					
2	Число полученных избирательных бюллетеней	40775	530	778	796	412	290	242	1904	1763	2591	301	626	644	2405	2340	2253	635	392	329	187	220	130	1284	489	199	1241	891	1660	1421	1573	1685	230	1700	178	128	1970	2039	2321	1998					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24476	428	417	465	253	221	204	968	904	1337	263	307	433	1227	1184	1132	334	248	272	151	112	60	600	374	118	760	444	878	671	716	962	185	1115	126	92	1541	1546	1723	1705					
5	"Число избирательных бюллетеней, выданных вне помещения"	2355	32	89	72	96	44	15	149	115	33	9	153	61	93	124	89	98	25	29	14	46	40	261	43	32	57	43	36	58	94	75	14	45	16	9	8	9	108	21					
6	Число погашенных избирательных бюллетеней	13944	70	272	259	63	25	23	787	744	1221	29	166	150	1085	1032	1032	203	119	28	22	62	30	423	72	49	424	404	746	692	763	648	31	540	36	27	421	484	490	272					
7	Число избирательных бюллетеней в переносных ящиках	2355	32	89	72	96	44	15	149	115	33	9	153	61	93	124	89	98	25	29	14	46	40	261	43	32	57	43	36	58	94	75	14	45	16	9	8	9	108	21					
8	Число бюллетеней в стационарных ящиках для голосования	24471	428	417	465	253	221	204	968	902	1334	263	307	433	1227	1184	1132	334	248	272	151	112	60	600	374	118	760	444	878	671	716	962	185	1115	126	92	1541	1546	1723	1705					
9	Число недействительных избирательных бюллетеней	490	1	3	2	4	0	0	11	10	17	2	1	6	18	15	6	2	7	2	2	0	1	11	3	1	7	1	4	5	19	3	4	37	1	0	8	84	59	133					
10	Число действительных избирательных бюллетеней	26336	459	503	535	345	265	219	1106	1007	1350	270	459	488	1302	1293	1215	430	266	299	163	158	99	850	414	149	810	486	910	724	791	1034	195	1123	141	101	1541	1471	1772	1593					
