Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Касимовская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в список"	28564	1426	1417	1615	1302	1156	404	1308	635	693	1532	1388	1472	1423	1527	1511	1433	1258	1523	1363	1362	1509	1307					
2	Число полученных избирательных бюллетеней	26380	1330	1300	1480	1200	1050	370	1190	620	620	1370	1290	1320	1340	1420	1400	1350	1180	1440	1290	1280	1360	1180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17928	877	869	1069	823	788	286	837	400	404	932	849	762	899	1003	1001	968	817	992	781	870	886	815					
5	"Число избирательных бюллетеней, выданных вне помещения"	863	19	25	35	36	64	4	34	21	28	67	60	87	28	20	24	33	39	50	36	51	67	35					
6	Число погашенных избирательных бюллетеней	7589	434	406	376	341	198	80	319	199	188	371	381	471	413	397	375	349	324	398	473	359	407	330					
7	Число избирательных бюллетеней в переносных ящиках	863	19	25	35	36	64	4	34	21	28	67	60	87	28	20	24	33	39	50	36	51	67	35					
8	Число бюллетеней в стационарных ящиках для голосования	17918	877	869	1067	823	787	286	837	400	404	929	847	762	899	1003	1001	968	817	992	780	870	886	814					
9	Число недействительных избирательных бюллетеней	196	5	8	10	15	10	3	18	6	4	8	11	2	5	10	8	9	11	10	15	8	11	9					
10	Число действительных избирательных бюллетеней	18585	891	886	1092	844	841	287	853	415	428	988	896	847	922	1013	1017	992	845	1032	801	913	942	840					
11	Число полученных открепительных  удостоверений	382	20	19	21	18	16	5	17	15	9	18	17	19	20	19	20	20	18	16	18	19	21	17					
12	Число выданных открепительных удостоверений	192	9	14	12	10	10	2	5	10	4	8	7	8	7	5	13	10	7	12	13	9	5	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	6	7	4	2	7	2	2	5	4	4	2	16	4	3	4	3	5	3	7	4	2	5					
14	Число неиспользованных открепительных удостоверений	190	11	5	9	8	6	3	12	5	5	10	10	11	13	14	7	10	11	4	5	10	16	5					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	1	1	0	0	0	1	0	0	3	3	1	0	2	1	0	1	0	2	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	668	46	49	26	20	34	9	36	5	9	32	35	24	21	34	29	63	45	37	27	31	39	17					
		3.56%	5.13%	5.48%	2.36%	2.33%	4.00%	3.10%	4.13%	1.19%	2.08%	3.21%	3.86%	2.83%	2.27%	3.32%	2.83%	6.29%	5.26%	3.55%	3.31%	3.37%	4.09%	2.00%					
19	. Малышкин Олег Александрович	316	17	11	12	23	9	3	30	10	7	17	12	12	17	19	22	9	11	19	11	16	12	17					
		1.68%	1.90%	1.23%	1.09%	2.68%	1.06%	1.03%	3.44%	2.38%	1.62%	1.71%	1.32%	1.41%	1.83%	1.86%	2.15%	0.90%	1.29%	1.82%	1.35%	1.74%	1.26%	2.00%					
20	. Миронов Сергей Михайлович	105	7	2	5	4	3	0	7	3	2	3	10	6	6	4	7	4	4	9	2	7	4	6					
		0.56%	0.78%	0.22%	0.45%	0.47%	0.35%	0.00%	0.80%	0.71%	0.46%	0.30%	1.10%	0.71%	0.65%	0.39%	0.68%	0.40%	0.47%	0.86%	0.25%	0.76%	0.42%	0.71%					
21	. Путин Владимир Владимирович	14238	670	683	876	680	596	220	631	335	340	768	688	657	723	797	768	721	648	767	616	700	690	664					
		75.81%	74.78%	76.40%	79.49%	79.16%	70.04%	75.86%	72.45%	79.57%	78.70%	77.11%	75.85%	77.39%	77.99%	77.91%	74.93%	72.03%	75.70%	73.61%	75.49%	76.00%	72.40%	78.21%					
22	. Хакамада Ирина Муцуовна	455	37	17	19	14	18	3	11	8	15	24	22	27	31	26	30	33	12	24	15	24	24	21					
		2.42%	4.13%	1.90%	1.72%	1.63%	2.12%	1.03%	1.26%	1.90%	3.47%	2.41%	2.43%	3.18%	3.34%	2.54%	2.93%	3.30%	1.40%	2.30%	1.84%	2.61%	2.52%	2.47%					
23	. Харитонов Николай Михайлович	2439	94	101	138	84	165	44	114	47	49	127	115	110	103	114	144	138	109	151	117	115	152	108					
		12.99%	10.49%	11.30%	12.52%	9.78%	19.39%	15.17%	13.09%	11.16%	11.34%	12.75%	12.68%	12.96%	11.11%	11.14%	14.05%	13.79%	12.73%	14.49%	14.34%	12.49%	15.95%	12.72%					
																													
24	Против всех	364	20	23	16	19	16	8	24	7	6	17	14	11	21	19	17	24	16	25	13	20	21	7					
		1.94%	2.23%	2.57%	1.45%	2.21%	1.88%	2.76%	2.76%	1.66%	1.39%	1.71%	1.54%	1.30%	2.27%	1.86%	1.66%	2.40%	1.87%	2.40%	1.59%	2.17%	2.20%	0.82%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
