Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Кизеловская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1412	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417	УИК  1418	УИК  1419	УИК  1420					
1	"Число избирателей, внесенных в список"	25563	1100	1843	2460	1234	1656	1448	1447	1643	663	440	1317	648	504	2228	400	1504	1614	1722	1692					
2	Число полученных избирательных бюллетеней	26650	1100	1900	2500	1300	1700	1500	1500	1650	650	500	1350	650	550	2300	500	1600	1750	1750	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14476	616	1106	1413	690	917	866	892	922	454	314	584	366	242	1068	400	743	885	959	1039					
5	"Число избирательных бюллетеней, выданных вне помещения"	1455	38	79	95	39	64	220	53	85	12	52	92	58	42	181	0	107	94	69	75					
6	Число погашенных избирательных бюллетеней	10719	446	715	992	571	719	414	555	643	184	134	674	226	266	1051	100	750	771	722	786					
7	Число избирательных бюллетеней в переносных ящиках	1455	38	79	95	39	64	220	53	85	12	52	92	58	42	181	0	107	94	69	75					
8	Число бюллетеней в стационарных ящиках для голосования	14476	616	1106	1413	690	917	866	892	922	454	314	584	366	242	1068	400	743	885	959	1039					
9	Число недействительных избирательных бюллетеней	169	5	6	13	5	11	9	6	17	5	3	4	10	1	22	1	4	9	16	22					
10	Число действительных избирательных бюллетеней	15762	649	1179	1495	724	970	1077	939	990	461	363	672	414	283	1227	399	846	970	1012	1092					
11	Число полученных открепительных  удостоверений	553	25	34	59	30	30	25	30	30	25	30	30	20	20	37	0	30	38	30	30					
12	Число выданных открепительных удостоверений	422	11	30	58	20	30	18	27	19	21	30	15	6	3	33	0	16	38	21	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	515	18	20	16	19	11	46	12	16	9	13	15	7	5	5	265	7	23	4	4					
14	Число неиспользованных открепительных удостоверений	131	14	4	1	10	0	7	3	11	4	0	15	14	17	4	0	14	0	9	4					
15	"Число открепительных удостоверений, выданных в ТИК"	47	2	2	6	2	2	3	0	3	1	0	4	1	1	1	0	3	7	2	7					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	585	32	31	48	30	39	44	29	34	6	7	17	9	6	70	1	25	59	51	47					
		3.67%	4.89%	2.62%	3.18%	4.12%	3.98%	4.05%	3.07%	3.38%	1.29%	1.91%	2.51%	2.12%	2.11%	5.60%	0.25%	2.94%	6.03%	4.96%	4.22%					
19	. Малышкин Олег Александрович	532	22	29	36	25	37	52	27	30	16	13	22	15	6	33	33	46	28	17	45					
		3.34%	3.36%	2.45%	2.39%	3.43%	3.77%	4.79%	2.86%	2.98%	3.43%	3.55%	3.25%	3.54%	2.11%	2.64%	8.25%	5.41%	2.86%	1.65%	4.04%					
20	. Миронов Сергей Михайлович	154	8	8	16	12	11	13	9	5	3	3	6	3	2	17	5	8	7	9	9					
		0.97%	1.22%	0.68%	1.06%	1.65%	1.12%	1.20%	0.95%	0.50%	0.64%	0.82%	0.89%	0.71%	0.70%	1.36%	1.25%	0.94%	0.72%	0.88%	0.81%					
21	. Путин Владимир Владимирович	11585	453	869	1148	541	678	746	670	706	346	288	534	339	219	880	333	632	699	764	740					
		72.72%	69.27%	73.33%	76.13%	74.21%	69.11%	68.69%	70.90%	70.11%	74.25%	78.69%	78.99%	79.95%	77.11%	70.46%	83.25%	74.35%	71.40%	74.32%	66.43%					
22	. Хакамада Ирина Муцуовна	314	8	34	25	15	22	34	24	24	19	10	5	11	10	19	8	11	5	17	13					
		1.97%	1.22%	2.87%	1.66%	2.06%	2.24%	3.13%	2.54%	2.38%	4.08%	2.73%	0.74%	2.59%	3.52%	1.52%	2.00%	1.29%	0.51%	1.65%	1.17%					
23	. Харитонов Николай Михайлович	2183	109	169	176	84	157	148	155	166	41	37	77	35	32	177	4	110	147	142	217					
		13.70%	16.67%	14.26%	11.67%	11.52%	16.00%	13.63%	16.40%	16.48%	8.80%	10.11%	11.39%	8.25%	11.27%	14.17%	1.00%	12.94%	15.02%	13.81%	19.48%					
																										
24	Против всех	409	17	39	46	17	26	40	25	25	30	5	11	2	8	31	15	14	25	12	21					
		2.57%	2.60%	3.29%	3.05%	2.33%	2.65%	3.68%	2.65%	2.48%	6.44%	1.37%	1.63%	0.47%	2.82%	2.48%	3.75%	1.65%	2.55%	1.17%	1.89%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
