Выборы Президента Российской Федерации																																									
																																									
"Наименование Избирательной комиссии:    Липецк, Правобережная"																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
21	. Путин Владимир Владимирович	24357	764	765	989	350	222	158	966	815	1223	960	785	721	738	598	683	737	745	499	578	808	629	797	696	720	875	648	1060	68	816	743	936	1001	1013	251					
		63.90%	61.81%	61.15%	62.08%	62.95%	73.51%	73.15%	63.93%	65.83%	62.37%	61.19%	63.15%	61.84%	66.31%	61.27%	60.77%	65.39%	64.78%	64.06%	71.36%	63.82%	62.28%	65.87%	62.09%	64.86%	64.86%	64.03%	66.42%	57.14%	68.46%	66.04%	64.29%	61.34%	64.77%	57.97%					
22	. Хакамада Ирина Муцуовна	1202	22	28	47	7	6	2	50	60	71	50	34	51	48	45	43	55	68	17	22	49	29	43	33	33	39	34	45	3	38	27	31	38	26	8					
		3.15%	1.78%	2.24%	2.95%	1.26%	1.99%	0.93%	3.31%	4.85%	3.62%	3.19%	2.74%	4.37%	4.31%	4.61%	3.83%	4.88%	5.91%	2.18%	2.72%	3.87%	2.87%	3.55%	2.94%	2.97%	2.89%	3.36%	2.82%	2.52%	3.19%	2.40%	2.13%	2.33%	1.66%	1.85%					
23	. Харитонов Николай Михайлович	7075	282	319	280	123	43	29	287	206	360	293	236	217	182	176	218	183	171	136	116	242	192	181	230	205	245	142	271	24	182	222	275	386	294	127					
		18.56%	22.82%	25.50%	17.58%	22.12%	14.24%	13.43%	18.99%	16.64%	18.36%	18.67%	18.99%	18.61%	16.35%	18.03%	19.40%	16.24%	14.87%	17.46%	14.32%	19.12%	19.01%	14.96%	20.52%	18.47%	18.16%	14.03%	16.98%	20.17%	15.27%	19.73%	18.89%	23.65%	18.80%	29.33%					
																																									
24	Против всех	2068	52	46	93	20	5	10	76	50	137	102	55	61	52	57	75	60	80	36	40	51	61	84	59	72	73	87	106	16	59	50	79	80	68	16					
		5.43%	4.21%	3.68%	5.84%	3.60%	1.66%	4.63%	5.03%	4.04%	6.99%	6.50%	4.42%	5.23%	4.67%	5.84%	6.67%	5.32%	6.96%	4.62%	4.94%	4.03%	6.04%	6.94%	5.26%	6.49%	5.41%	8.60%	6.64%	13.45%	4.95%	4.44%	5.43%	4.90%	4.35%	3.70%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
