Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Казачинско-Ленская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702					
1	"Число избирателей, внесенных в список"	14999	359	116	1465	1002	1503	222	719	180	1971	648	1436	1321	362	181	290	1144	983	755	54	85	162	41					
2	Число полученных избирательных бюллетеней	14755	360	115	1423	977	1467	216	720	189	1924	626	1403	1327	350	177	286	1138	977	734	57	86	162	41					
3	"Число избирательных бюллетеней, выданных  досрочно"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	2	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8055	239	89	718	480	870	157	415	142	1065	327	676	517	202	167	172	627	547	432	32	56	96	29					
5	"Число избирательных бюллетеней, выданных вне помещения"	355	33	4	18	20	17	13	0	0	15	9	12	15	10	0	36	49	35	4	0	8	52	5					
6	Число погашенных избирательных бюллетеней	6320	88	22	687	477	580	46	305	47	844	290	715	795	138	10	78	439	395	298	23	22	14	7					
7	Число избирательных бюллетеней в переносных ящиках	380	33	4	18	20	17	13	0	0	15	9	12	15	10	0	36	72	35	4	2	8	52	5					
8	Число бюллетеней в стационарных ящиках для голосования	8045	239	89	718	480	869	157	415	142	1064	327	676	516	202	167	172	626	547	432	32	50	96	29					
9	Число недействительных избирательных бюллетеней	79	3	0	12	5	9	0	4	1	5	3	9	0	3	1	0	3	7	7	1	2	4	0					
10	Число действительных избирательных бюллетеней	8346	269	93	724	495	877	170	411	141	1074	333	679	531	209	166	208	695	575	429	33	56	144	34					
11	Число полученных открепительных  удостоверений	190	10	10	14	14	14	5	10	5	15	10	13	13	10	5	6	8	8	5	4	4	4	3					
12	Число выданных открепительных удостоверений	58	0	6	0	3	6	0	0	3	12	2	2	4	2	4	0	6	7	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	5	1	1	1	3	0	0	7	1	4	2	0	1	1	1	4	4	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	132	10	4	14	11	8	5	10	2	3	8	11	9	8	1	6	2	1	4	4	4	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	358	12	2	47	23	46	6	13	5	59	15	31	31	7	1	5	25	15	14	0	0	1	0					
		4.25%	4.41%	2.15%	6.39%	4.60%	5.19%	3.53%	3.13%	3.52%	5.47%	4.46%	4.51%	5.84%	3.30%	0.60%	2.40%	3.58%	2.58%	3.21%	0.00%	0.00%	0.68%	0.00%					
19	. Малышкин Олег Александрович	349	4	4	38	21	30	7	21	1	41	16	40	30	19	0	4	19	22	29	0	1	2	0					
		4.14%	1.47%	4.30%	5.16%	4.20%	3.39%	4.12%	5.06%	0.70%	3.80%	4.76%	5.81%	5.65%	8.96%	0.00%	1.92%	2.72%	3.78%	6.65%	0.00%	1.72%	1.35%	0.00%					
20	. Миронов Сергей Михайлович	53	5	2	5	5	8	3	3	0	7	2	2	1	1	0	0	3	5	1	0	0	0	0					
		0.63%	1.84%	2.15%	0.68%	1.00%	0.90%	1.76%	0.72%	0.00%	0.65%	0.60%	0.29%	0.19%	0.47%	0.00%	0.00%	0.43%	0.86%	0.23%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6186	157	66	483	343	612	129	313	123	816	251	504	388	156	156	174	533	439	311	28	47	128	29					
		73.42%	57.72%	70.97%	65.62%	68.60%	69.07%	75.88%	75.42%	86.62%	75.63%	74.70%	73.26%	73.07%	73.58%	93.41%	83.65%	76.36%	75.43%	71.33%	82.35%	81.03%	86.49%	85.29%					
22	. Хакамада Ирина Муцуовна	222	9	5	24	13	24	2	6	1	29	9	23	20	6	5	8	19	13	6	0	0	0	0					
		2.64%	3.31%	5.38%	3.26%	2.60%	2.71%	1.18%	1.45%	0.70%	2.69%	2.68%	3.34%	3.77%	2.83%	2.99%	3.85%	2.72%	2.23%	1.38%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	970	78	10	110	81	134	23	47	9	76	25	62	47	15	1	14	90	69	56	5	7	11	0					
		11.51%	28.68%	10.75%	14.95%	16.20%	15.12%	13.53%	11.33%	6.34%	7.04%	7.44%	9.01%	8.85%	7.08%	0.60%	6.73%	12.89%	11.86%	12.84%	14.71%	12.07%	7.43%	0.00%					
																													
24	Против всех	208	4	4	17	9	23	0	8	2	46	15	17	14	5	3	3	6	12	12	0	1	2	5					
		2.47%	1.47%	4.30%	2.31%	1.80%	2.60%	0.00%	1.93%	1.41%	4.26%	4.46%	2.47%	2.64%	2.36%	1.80%	1.44%	0.86%	2.06%	2.75%	0.00%	1.72%	1.35%	14.71%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
