Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Горная																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178					
1	"Число избирателей, внесенных в список"	5984	340	290	354	273	328	290	328	482	1727	1572					
2	Число полученных избирательных бюллетеней	6400	369	321	370	320	360	310	350	500	1800	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	103	20	5	6	12	12	4	6	32	6	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4780	294	271	300	220	291	253	267	407	1270	1207					
5	"Число избирательных бюллетеней, выданных вне помещения"	389	9	14	24	25	23	12	52	17	95	118					
6	Число погашенных избирательных бюллетеней	1128	46	31	40	63	34	41	25	44	429	375					
7	Число избирательных бюллетеней в переносных ящиках	492	29	19	30	37	35	16	58	49	101	118					
8	Число бюллетеней в стационарных ящиках для голосования	4780	294	271	300	220	291	253	267	407	1270	1207					
9	Число недействительных избирательных бюллетеней	46	1	4	4	6	1	4	3	1	10	12					
10	Число действительных избирательных бюллетеней	5226	322	286	326	251	325	265	322	455	1361	1313					
11	Число полученных открепительных  удостоверений	298	20	17	20	15	17	15	17	25	70	82					
12	Число выданных открепительных удостоверений	179	6	17	15	6	11	9	15	14	57	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	2	9	17	17	2	2	4	8	24	10					
14	Число неиспользованных открепительных удостоверений	119	14	0	5	9	6	6	2	11	13	53					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	194	8	8	7	10	13	7	21	22	41	57					
		3.68%	2.48%	2.76%	2.12%	3.89%	3.99%	2.60%	6.46%	4.82%	2.99%	4.30%					
19	. Малышкин Олег Александрович	39	1	2	3	2	2	2	5	4	10	8					
		0.74%	0.31%	0.69%	0.91%	0.78%	0.61%	0.74%	1.54%	0.88%	0.73%	0.60%					
20	. Миронов Сергей Михайлович	44	5	3	3	0	4	5	5	8	4	7					
		0.83%	1.55%	1.03%	0.91%	0.00%	1.23%	1.86%	1.54%	1.75%	0.29%	0.53%					
21	. Путин Владимир Владимирович	3427	239	172	196	168	171	183	224	322	883	869					
		65.00%	73.99%	59.31%	59.39%	65.37%	52.45%	68.03%	68.92%	70.61%	64.41%	65.58%					
22	. Хакамада Ирина Муцуовна	583	28	30	34	25	34	25	23	35	183	166					
		11.06%	8.67%	10.34%	10.30%	9.73%	10.43%	9.29%	7.08%	7.68%	13.35%	12.53%					
23	. Харитонов Николай Михайлович	871	38	69	80	40	100	42	34	60	218	190					
		16.52%	11.76%	23.79%	24.24%	15.56%	30.67%	15.61%	10.46%	13.16%	15.90%	14.34%					
																	
24	Против всех	68	3	2	3	6	1	1	10	4	22	16					
		1.29%	0.93%	0.69%	0.91%	2.33%	0.31%	0.37%	3.08%	0.88%	1.60%	1.21%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
