Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Азовская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2514	УИК №2585					
1	"Число избирателей, внесенных в список"	68802	1370	905	401	620	108	316	96	432	1064	450	508	184	1478	259	446	405	464	1104	793	1116	787	1901	1300	1722	1566	141	1064	685	1578	1029	1139	171	131	298	2210	2471	2311	1191	446	1720	1637	699	271	125	1264	402	1260	446	415	634	624	214	750	1428	958	1100	221	163	1248	822	1214	1486	1729	1902	1909	749	540	998	1366	236	259	141	307	194	226	174	141	237	2482	1451					
2	Число полученных избирательных бюллетеней	67745	1359	872	383	606	110	302	100	413	1047	447	500	184	1501	257	449	400	470	1115	807	1129	791	1868	1233	1610	1535	134	1018	669	1564	1037	1141	172	132	296	2169	2451	2269	1193	448	1687	1607	683	264	125	1262	386	985	424	411	617	628	219	756	1424	983	1096	223	158	1263	824	1217	1470	1740	1884	1924	737	548	998	1340	239	256	141	308	194	225	174	137	238	2339	1430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59119	1109	712	364	519	70	213	70	357	1007	418	478	127	1290	254	311	350	421	920	684	935	720	1682	1122	1508	1363	82	935	399	1344	879	1047	157	125	273	1992	2217	2078	1040	401	1583	1545	598	258	114	1048	322	902	372	277	576	590	201	674	1206	750	978	198	158	1041	821	1011	901	1505	1516	1675	646	493	879	1086	211	234	137	283	177	210	149	137	226	2244	1214					
5	"Число избирательных бюллетеней, выданных вне помещения"	4290	208	141	19	76	31	75	20	54	14	13	7	49	139	0	99	23	0	96	45	94	13	68	79	24	92	50	76	235	123	83	48	10	3	13	47	50	48	22	9	45	10	26	0	4	51	62	77	52	124	25	10	8	57	123	145	70	16	0	146	0	118	88	79	86	49	33	26	29	194	21	0	0	0	0	13	23	0	0	60	124					
6	Число погашенных избирательных бюллетеней	4336	42	19	0	11	9	14	10	2	26	16	15	8	72	3	39	27	49	99	78	100	58	118	32	78	80	2	7	35	97	75	46	5	4	10	130	184	143	131	38	59	52	59	6	7	163	2	6	0	10	16	28	10	25	95	88	48	9	0	76	3	88	481	156	282	200	58	29	90	60	7	22	4	25	17	2	2	0	12	35	92					
7	Число избирательных бюллетеней в переносных ящиках	4290	208	141	19	76	31	75	20	54	14	13	7	49	139	0	99	23	0	96	45	94	13	68	79	24	92	50	76	235	123	83	48	10	3	13	47	50	48	22	9	45	10	26	0	4	51	62	77	52	124	25	10	8	57	123	145	70	16	0	146	0	118	88	79	86	49	33	26	29	194	21	0	0	0	0	13	23	0	0	60	124					
8	Число бюллетеней в стационарных ящиках для голосования	59118	1109	712	364	519	70	213	70	357	1007	418	478	127	1290	254	311	350	421	920	684	935	720	1682	1122	1508	1363	82	935	399	1344	879	1047	157	125	273	1992	2217	2078	1040	401	1583	1545	598	258	114	1048	322	902	372	277	576	590	201	674	1206	750	978	198	158	1041	821	1011	901	1505	1516	1675	646	493	879	1086	210	234	137	283	177	210	149	137	226	2244	1214					
9	Число недействительных избирательных бюллетеней	284	0	0	0	3	1	0	0	0	0	0	2	0	0	0	2	3	0	11	4	7	3	0	0	5	7	0	0	0	0	0	17	4	0	5	92	8	12	0	0	0	0	2	0	0	13	1	7	1	0	1	0	0	0	11	4	0	0	0	3	0	0	6	0	7	13	3	0	4	9	1	0	0	0	0	0	0	0	0	4	8					
10	Число действительных избирательных бюллетеней	63124	1317	853	383	592	100	288	90	411	1021	431	483	176	1429	254	408	370	421	1005	725	1022	730	1750	1201	1527	1448	132	1011	634	1467	962	1078	163	128	281	1947	2259	2114	1062	410	1628	1555	622	258	118	1086	383	972	423	401	600	600	209	731	1318	891	1048	214	158	1184	821	1129	983	1584	1595	1711	676	519	904	1271	230	234	137	283	177	223	172	137	226	2300	1330					
