Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Печорская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200					
1	"Число избирателей, внесенных в список"	20135	1515	1190	1330	1554	1270	773	372	601	591	1014	638	283	1066	378	773	1143	1035	972	2520	1117					
2	Число полученных избирательных бюллетеней	20120	1560	1200	1350	1540	1270	770	380	570	620	1000	640	290	1020	370	760	1160	1040	980	2500	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9301	720	655	698	881	766	186	150	267	247	488	235	60	400	176	207	504	480	499	1163	519					
5	"Число избирательных бюллетеней, выданных вне помещения"	2259	70	26	14	19	22	231	78	90	99	161	96	143	265	76	223	177	239	126	63	41					
6	Число погашенных избирательных бюллетеней	8560	770	519	638	640	482	353	152	213	274	351	309	87	355	118	330	479	321	355	1274	540					
7	Число избирательных бюллетеней в переносных ящиках	2259	70	26	14	19	22	231	78	90	99	161	96	143	265	76	223	177	239	126	63	41					
8	Число бюллетеней в стационарных ящиках для голосования	9298	720	655	698	881	766	186	150	266	247	488	235	60	398	176	207	504	480	499	1163	519					
9	Число недействительных избирательных бюллетеней	85	10	6	5	5	6	1	1	6	0	1	2	2	2	0	0	6	2	6	14	10					
10	Число действительных избирательных бюллетеней	11472	780	675	707	895	782	416	227	350	346	648	329	201	661	252	430	675	717	619	1212	550					
11	Число полученных открепительных  удостоверений	345	30	30	30	30	30	10	10	10	10	10	10	10	10	10	10	10	10	10	35	30					
12	Число выданных открепительных удостоверений	79	6	1	5	12	9	0	2	2	0	10	3	0	5	2	1	4	4	1	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	2	2	3	8	4	0	0	2	2	5	3	1	11	5	2	5	18	1	4	12					
14	Число неиспользованных открепительных удостоверений	266	24	29	25	18	21	10	8	8	10	0	7	10	5	8	9	6	6	9	28	25					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	299	14	28	27	16	18	7	3	7	2	19	7	7	23	8	15	29	10	1	34	24					
		2.59%	1.77%	4.11%	3.79%	1.78%	2.28%	1.68%	1.32%	1.97%	0.58%	2.93%	2.11%	3.45%	3.47%	3.17%	3.49%	4.26%	1.39%	0.16%	2.77%	4.29%					
19	. Малышкин Олег Александрович	155	9	16	9	13	10	2	1	7	4	5	1	5	15	2	3	23	6	2	9	13					
		1.34%	1.14%	2.35%	1.26%	1.44%	1.27%	0.48%	0.44%	1.97%	1.16%	0.77%	0.30%	2.46%	2.26%	0.79%	0.70%	3.38%	0.83%	0.32%	0.73%	2.32%					
20	. Миронов Сергей Михайлович	122	6	7	3	6	13	5	0	6	3	10	6	2	11	0	3	8	0	9	15	9					
		1.06%	0.76%	1.03%	0.42%	0.67%	1.65%	1.20%	0.00%	1.69%	0.87%	1.54%	1.81%	0.99%	1.66%	0.00%	0.70%	1.17%	0.00%	1.44%	1.22%	1.61%					
21	. Путин Владимир Владимирович	8665	635	486	520	684	572	343	181	259	278	456	234	140	494	203	342	449	555	548	891	395					
		74.98%	80.38%	71.37%	73.03%	76.00%	72.59%	82.25%	79.39%	72.75%	80.35%	70.26%	70.69%	68.97%	74.51%	80.56%	79.53%	65.93%	77.19%	87.68%	72.68%	70.54%					
22	. Хакамада Ирина Муцуовна	343	18	33	33	33	27	8	9	12	4	15	7	6	24	4	3	19	12	8	54	14					
		2.97%	2.28%	4.85%	4.63%	3.67%	3.43%	1.92%	3.95%	3.37%	1.16%	2.31%	2.11%	2.96%	3.62%	1.59%	0.70%	2.79%	1.67%	1.28%	4.40%	2.50%					
23	. Харитонов Николай Михайлович	1580	79	84	84	103	105	46	30	50	49	126	74	35	83	30	58	131	122	45	173	73					
		13.67%	10.00%	12.33%	11.80%	11.44%	13.32%	11.03%	13.16%	14.04%	14.16%	19.41%	22.36%	17.24%	12.52%	11.90%	13.49%	19.24%	16.97%	7.20%	14.11%	13.04%					
																											
24	Против всех	308	19	21	31	40	37	5	3	9	6	17	0	6	11	5	6	16	12	6	36	22					
		2.67%	2.41%	3.08%	4.35%	4.44%	4.70%	1.20%	1.32%	2.53%	1.73%	2.62%	0.00%	2.96%	1.66%	1.98%	1.40%	2.35%	1.67%	0.96%	2.94%	3.93%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
