Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Магнитогорск, Ленинская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334					
1	"Число избирателей, внесенных в список"	86208	1361	2524	2478	632	2373	1934	1924	2198	2552	2364	1916	2385	1687	1337	2218	2440	975	1812	1404	2596	2100	2389	2003	2008	916	1465	2194	2067	2377	2020	1735	2000	1768	2022	1210	2151	1486	2276	2346	1276	1142	1594	2350	1971	2232					
2	Число полученных избирательных бюллетеней	83900	1400	2400	2200	600	2300	1900	1900	2100	2500	2300	1800	2300	1600	1300	2200	2400	900	1800	1300	2500	2100	2400	2000	2000	900	1400	2100	2000	2300	2000	1700	2000	1500	2000	1100	2100	1400	2300	2400	1300	1100	1600	2300	2000	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54119	601	1455	1373	381	1610	1140	979	1526	1683	1529	1324	1513	907	789	1093	1570	883	1126	875	1554	1375	1643	1241	1405	612	1040	1567	1439	1651	1420	1224	1306	1047	1318	794	1443	1042	1609	1245	876	580	966	1318	936	1111					
5	"Число избирательных бюллетеней, выданных вне помещения"	3635	125	35	163	41	140	36	78	72	106	131	64	134	46	48	113	90	0	64	84	109	92	118	52	49	36	95	73	81	89	42	60	101	291	77	60	87	46	68	10	26	54	47	163	105	34					
6	Число погашенных избирательных бюллетеней	26143	674	910	664	178	550	724	843	502	711	640	412	653	647	463	994	740	17	608	341	837	633	639	706	546	252	265	460	480	560	538	416	593	162	605	246	570	312	623	1145	398	466	587	819	959	1055					
7	Число избирательных бюллетеней в переносных ящиках	3635	125	35	163	41	140	36	78	72	106	131	64	134	46	48	113	90	0	64	84	109	92	118	52	49	36	95	73	81	89	42	60	101	291	77	60	87	46	68	10	26	54	47	163	105	34					
8	Число бюллетеней в стационарных ящиках для голосования	54099	599	1455	1372	381	1610	1140	979	1526	1683	1529	1324	1512	906	789	1093	1570	883	1124	875	1553	1375	1637	1241	1405	612	1040	1567	1439	1651	1420	1224	1306	1047	1318	794	1441	1042	1609	1245	876	579	966	1315	936	1111					
9	Число недействительных избирательных бюллетеней	528	14	25	4	3	23	5	10	15	9	25	8	12	18	10	17	11	10	8	11	13	13	9	11	5	4	3	13	6	18	18	12	17	20	13	10	16	15	8	4	7	6	13	9	10	17					
10	Число действительных избирательных бюллетеней	57206	710	1465	1531	419	1727	1171	1047	1583	1780	1635	1380	1634	934	827	1189	1649	873	1180	948	1649	1454	1746	1282	1449	644	1132	1627	1514	1722	1444	1272	1390	1318	1382	844	1512	1073	1669	1251	895	627	1000	1469	1031	1128					
11	Число полученных открепительных  удостоверений	1780	30	30	30	30	30	40	30	50	50	50	30	30	30	30	30	30	100	50	30	40	30	40	40	30	30	30	50	30	50	40	30	30	30	40	30	30	30	30	200	30	30	30	40	30	30					
12	Число выданных открепительных удостоверений	1269	12	24	23	2	17	30	25	39	34	35	23	27	9	9	17	23	96	29	19	29	28	33	34	24	13	21	45	26	35	28	23	23	24	33	16	21	16	28	171	19	6	21	34	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1155	17	4	15	14	11	9	14	12	60	30	32	41	13	3	21	56	56	13	16	26	19	19	15	15	6	17	42	34	17	6	20	21	256	11	15	20	53	20	17	8	12	12	21	7	9					
14	Число неиспользованных открепительных удостоверений	511	18	6	7	28	13	10	5	11	16	15	7	3	21	21	13	7	4	21	11	11	2	7	6	6	17	9	5	4	15	12	7	7	6	7	14	9	14	2	29	11	24	9	6	15	20					
15	"Число открепительных удостоверений, выданных в ТИК"	131	4	5	7	1	3	5	8	3	6	5	1	4	4	2	3	1	0	5	3	5	5	2	3	3	2	0	1	3	2	1	2	1	1	3	1	1	1	0	2	3	1	3	4	6	5					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	1288	13	15	21	10	30	21	15	29	39	33	34	41	20	15	37	51	16	29	19	26	33	46	33	46	12	31	41	33	41	48	34	27	27	25	26	35	24	58	23	27	13	20	27	28	16					
		2.23%	1.80%	1.01%	1.37%	2.37%	1.71%	1.79%	1.42%	1.81%	2.18%	1.99%	2.45%	2.49%	2.10%	1.79%	3.07%	3.07%	1.81%	2.44%	1.98%	1.56%	2.25%	2.62%	2.55%	3.16%	1.85%	2.73%	2.50%	2.17%	2.36%	3.28%	2.65%	1.92%	2.02%	1.79%	3.04%	2.29%	2.21%	3.46%	1.83%	2.99%	2.05%	1.97%	1.83%	2.69%	1.40%					
19	. Малышкин Олег Александрович	988	32	38	42	7	33	34	34	33	30	29	15	36	24	20	19	16	31	15	22	28	26	25	14	16	4	11	26	20	27	16	17	12	14	27	5	18	10	24	16	17	15	20	32	21	17					
		1.71%	4.42%	2.55%	2.74%	1.66%	1.89%	2.89%	3.22%	2.07%	1.68%	1.75%	1.08%	2.19%	2.52%	2.39%	1.58%	0.96%	3.51%	1.26%	2.29%	1.68%	1.77%	1.42%	1.08%	1.10%	0.62%	0.97%	1.59%	1.32%	1.55%	1.09%	1.32%	0.85%	1.05%	1.94%	0.59%	1.18%	0.92%	1.43%	1.27%	1.88%	2.37%	1.97%	2.17%	2.02%	1.48%					
20	. Миронов Сергей Михайлович	252	3	5	7	2	10	6	3	6	4	6	5	9	6	6	6	4	6	2	3	7	11	13	4	3	4	5	6	5	10	3	2	5	3	4	5	9	5	4	9	4	4	4	10	3	11					
		0.44%	0.41%	0.34%	0.46%	0.47%	0.57%	0.51%	0.28%	0.38%	0.22%	0.36%	0.36%	0.55%	0.63%	0.72%	0.50%	0.24%	0.68%	0.17%	0.31%	0.42%	0.75%	0.74%	0.31%	0.21%	0.62%	0.44%	0.37%	0.33%	0.57%	0.21%	0.16%	0.36%	0.22%	0.29%	0.59%	0.59%	0.46%	0.24%	0.72%	0.44%	0.63%	0.39%	0.68%	0.29%	0.96%					
21	. Путин Владимир Владимирович	47291	609	1259	1292	365	1436	959	898	1293	1484	1351	1179	1336	810	684	983	1369	721	971	761	1390	1211	1429	1058	1166	535	899	1288	1250	1431	1156	1039	1182	1106	1170	665	1236	863	1339	1047	730	514	830	1184	847	966					
		81.91%	84.12%	84.50%	84.17%	86.49%	82.06%	81.55%	84.96%	80.91%	82.95%	81.39%	84.94%	81.17%	85.08%	81.72%	81.51%	82.47%	81.65%	81.73%	79.35%	83.63%	82.55%	81.42%	81.83%	80.19%	82.56%	79.21%	78.54%	82.24%	82.24%	79.07%	80.92%	84.01%	82.66%	83.87%	77.87%	80.89%	79.32%	79.84%	83.43%	80.93%	81.20%	81.93%	80.11%	81.36%	84.37%					
