Выборы Президента Российской Федерации																																																						
Дата голосования: 02.03.2008																																																						
																																																						
"Наименование Избирательной комиссии:    Магнитогорск, Ленинская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
	Число участковых избирательных комиссий	47																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																				
																																																						
		Сумма	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №2227	УИК №2228					
1	"Число избирателей, включенных в списки избирателей"	86410	1429	2550	2515	664	2640	2049	1723	2195	2437	1956	2083	2320	1803	1288	2259	1054	1612	1230	1578	2306	1859	2367	2365	847	2285	1405	2590	2058	2293	1981	1559	926	1697	2054	1921	2347	1953	1681	1916	1441	1925	2254	2491	2068	1646	316	474					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78840	1300	2300	2200	600	2400	1900	1600	2000	2200	1800	1800	2100	1600	1200	2000	900	1500	1100	1400	2000	1700	2200	2200	800	2100	1300	2400	1900	2100	1700	1400	800	1600	1900	1800	2100	1800	1500	1700	1300	1800	2100	2300	1900	1490	350	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	60497	869	1650	1529	441	1892	1441	1143	1698	1693	1273	1425	1678	1105	837	1425	661	1205	788	1095	1572	1242	1516	1688	756	1592	930	1748	1571	1876	1394	1088	638	1246	1496	1417	1660	1413	1209	1317	1114	1319	1613	1755	1507	1490	240	242					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4359	97	76	154	42	148	30	62	65	90	156	185	126	54	57	201	82	39	94	89	178	127	119	70	9	47	120	113	94	97	48	68	60	92	56	90	108	30	89	87	101	104	154	82	61	0	76	232					
6	Число погашенных избирательных бюллетеней	13984	334	574	517	117	360	429	395	237	417	371	190	296	441	306	374	157	256	218	216	250	331	565	442	35	461	250	539	235	127	258	244	102	262	348	293	332	357	202	296	85	377	333	463	332	0	34	226					
