Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Виноградовская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в список"	14966	398	738	116	378	59	1572	296	268	156	424	158	234	945	93	81	440	376	302	248	501	1469	2134	1654	172	456	93	521	110	64	510					
2	Число полученных избирательных бюллетеней	13427	338	667	136	339	56	1386	271	230	156	373	157	221	852	95	82	404	343	279	244	467	1263	1860	1482	158	396	104	449	114	58	447					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8383	212	430	62	196	36	887	150	152	95	271	70	131	581	84	61	271	215	199	159	258	711	1174	865	89	266	69	284	78	35	292					
5	"Число избирательных бюллетеней, выданных вне помещения"	1505	86	16	0	105	8	184	49	74	40	100	40	5	104	0	12	64	26	28	50	64	88	83	60	15	37	16	63	18	19	51					
6	Число погашенных избирательных бюллетеней	3539	40	221	74	38	12	315	72	4	21	2	47	85	167	11	9	69	102	52	35	145	464	603	557	54	93	19	102	18	4	104					
7	Число избирательных бюллетеней в переносных ящиках	1505	86	16	0	105	8	184	49	74	40	100	40	5	104	0	12	64	26	28	50	64	88	83	60	15	37	16	63	18	19	51					
8	Число бюллетеней в стационарных ящиках для голосования	8380	212	430	62	196	36	886	150	152	95	271	70	131	581	84	61	271	215	199	159	258	711	1173	865	89	266	68	284	78	35	292					
9	Число недействительных избирательных бюллетеней	60	0	4	1	2	0	4	1	1	0	1	3	1	4	0	0	3	3	3	0	2	10	4	6	0	3	0	3	0	0	1					
10	Число действительных избирательных бюллетеней	9825	298	442	61	299	44	1066	198	225	135	370	107	135	681	84	73	332	238	224	209	320	789	1252	919	104	300	84	344	96	54	342					
11	Число полученных открепительных  удостоверений	228	5	20	0	5	3	15	0	2	3	20	3	5	27	1	3	15	3	10	10	3	15	22	10	5	5	3	3	3	3	6					
12	Число выданных открепительных удостоверений	158	3	11	0	3	2	13	0	2	1	19	1	1	23	1	0	11	2	5	6	2	13	16	8	1	4	2	0	0	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	2	3	0	7	1	10	0	3	0	5	0	5	4	0	0	5	1	5	2	0	7	14	8	4	2	0	1	5	0	1					
14	Число неиспользованных открепительных удостоверений	70	2	9	0	2	1	2	0	0	2	1	2	4	4	0	3	4	1	5	4	1	2	6	2	4	1	1	3	3	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	2	0					
