Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    Кировская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1380									
1	"Число избирателей, включенных в список избирателей"	17299	396	157	337	83	115	173	691	170	1016	421	548	1011	641	822	400	889	453	552	508	455	257	410	865	299	90	79	283	81	162	292	84	533	892	379	565	348	380	397	944	121									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16600	350	140	320	70	100	160	670	150	1000	400	550	1000	600	800	400	850	400	500	500	400	230	380	800	280	70	70	260	70	150	280	80	500	900	350	500	320	350	350	800	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9393	170	81	143	45	62	69	323	100	521	264	282	557	348	491	256	531	241	297	242	204	123	201	464	153	31	44	152	45	93	165	44	283	544	215	352	209	191	223	519	115									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	557	7	3	15	4	2	6	14	12	25	13	13	21	24	21	12	23	21	9	9	20	7	24	42	29	4	5	11	8	15	19	7	19	17	9	9	8	13	13	24	0									
6	Число погашенных избирательных бюллетеней	6625	173	56	162	21	36	85	333	38	454	123	255	422	228	288	132	296	138	194	249	176	100	155	294	98	19	21	97	17	42	87	29	198	339	126	139	103	146	114	257	385									
