7	Число избирательных бюллетеней в переносных ящиках для голосования	5570	37	31	37	50	34	42	43	32	47	41	36	78	49	32	35	65	43	25	37	5	36	129	34	44	48	57	25	47	53	26	51	64	37	110	54	25	10	13	58	109	23	24	84	57	321	33	36	61	54	15	33	42	27	69	37	51	19	27	40	36	41	84	33	47	26	27	49	33	24	174	26	35	37	84	16	61	75	47	24	44	31	16	29	26	20	12	204	34	59	14	23	53	41	39	33	60	66	46	60	36	13	29	29	23	16	41	35	271	194	13	99					
8	Число бюллетеней в стационарных ящиках для голосования	127606	404	1173	1207	1238	1604	1212	1286	875	1185	1595	988	1154	1203	1075	975	1409	1042	1113	1348	412	1006	1789	1216	1792	1283	980	1224	1754	1447	939	1016	1112	1006	1068	1080	946	581	682	1059	1472	1291	1172	1281	910	1037	1122	1525	1288	1613	1786	1677	1556	1575	940	1266	1187	1213	469	894	1233	872	1119	1475	754	1092	983	1654	1299	1197	1440	1473	1329	959	1393	681	1211	1171	1532	1594	1584	1734	1636	1635	1426	965	970	297	1688	834	706	741	947	1075	1177	1092	1000	242	1000	1425	1265	1148	1147	1312	1716	1420	1524	1100	339	94	140	14					
9	Число недействительных избирательных бюллетеней	1515	3	11	25	15	21	6	11	12	18	10	5	5	14	5	6	6	10	11	21	2	20	23	18	25	11	6	11	20	29	9	10	14	5	10	20	12	5	5	12	11	15	7	31	14	16	10	27	10	24	27	19	15	28	12	7	12	12	8	14	17	13	18	15	6	12	12	20	13	16	19	15	19	8	7	5	16	4	13	18	20	26	20	22	10	11	13	8	22	10	12	11	16	15	14	10	12	0	21	21	29	12	16	13	23	19	15	18	3	1	4	1					
10	Число действительных избирательных бюллетеней	131661	438	1193	1219	1273	1617	1248	1318	895	1214	1626	1019	1227	1238	1102	1004	1468	1075	1127	1364	415	1022	1895	1232	1811	1320	1031	1238	1781	1471	956	1057	1162	1038	1168	1114	959	586	690	1105	1570	1299	1189	1334	953	1342	1145	1534	1339	1643	1774	1691	1583	1574	997	1296	1226	1220	488	920	1252	900	1185	1493	795	1106	998	1683	1319	1205	1595	1484	1345	988	1470	692	1256	1242	1566	1600	1608	1739	1632	1642	1442	974	969	493	1700	883	708	753	984	1101	1202	1115	1048	308	1025	1464	1272	1149	1160	1328	1716	1417	1550	1117	607	287	149	112					
11	Число полученных открепительных  удостоверений	2691	10	20	35	20	35	20	30	15	25	35	25	20	20	25	20	25	20	25	20	15	15	25	30	40	30	25	35	35	30	25	20	20	15	25	30	25	20	15	25	20	20	25	55	25	35	35	40	20	40	45	35	25	25	25	20	25	20	10	25	25	15	20	20	15	45	15	25	30	25	21	42	20	15	25	20	15	20	25	35	45	35	25	35	25	30	35	0	35	15	15	15	15	15	25	15	15	0	25	20	42	35	28	25	35	38	25	35	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2120	7	16	23	15	28	14	27	15	22	29	14	13	16	21	18	17	9	15	14	11	13	16	24	30	20	21	25	25	27	20	19	17	13	23	18	21	11	11	19	20	17	22	50	14	21	21	27	13	33	42	29	17	19	20	18	21	13	6	18	20	15	17	15	10	40	13	21	20	18	21	40	16	14	21	17	8	16	23	33	37	30	21	31	16	25	30	0	28	5	6	9	13	14	19	15	15	0	20	20	38	26	22	21	29	32	16	26	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2355	11	8	45	18	25	22	17	23	11	27	15	16	17	21	19	23	15	11	24	7	35	30	18	73	19	16	27	17	25	28	18	13	14	16	34	27	15	11	16	24	16	17	52	26	21	25	22	18	23	29	26	14	21	33	21	10	14	14	18	16	14	16	14	24	16	18	29	25	36	88	26	18	23	28	16	16	27	15	24	23	17	31	5	18	10	18	8	26	14	10	9	19	7	26	15	7	2	15	11	27	50	12	15	24	19	12	16	44	37	34	14					
14	Число неиспользованных открепительных удостоверений	571	3	4	12	5	7	6	3	0	3	6	11	7	4	4	2	8	11	10	6	4	2	9	6	10	10	4	10	10	3	5	1	3	2	2	12	4	9	4	6	0	3	3	5	11	14	14	13	7	7	3	6	8	6	5	2	4	7	4	7	5	0	3	5	5	5	2	4	10	7	0	2	4	1	4	3	7	4	2	2	8	5	4	4	9	5	5	0	7	10	9	6	2	1	6	0	0	0	5	0	4	9	6	4	6	6	9	9	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	270	0	2	1	2	3	1	1	1	0	2	1	3	3	1	1	3	0	0	2	1	1	131	0	2	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	7	2	2	1	0	2	1	2	1	3	3	3	1	1	3	1	3	1	0	1	0	1	1	1	1	3	3	1	3	0	2	5	1	1	1	1	0	1	1	2	2	3	3	0	1	0	0	0	2	0	0	1	0	1	2	0	0	0	2	2	1	1	1	3	1	6	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																						
18	Богданов Андрей Владимирович	2040	8	27	19	13	27	25	28	10	23	26	14	12	15	13	7	17	7	24	24	5	26	29	26	29	14	17	15	25	25	12	19	13	10	19	21	23	8	10	13	21	20	11	36	21	24	19	36	19	22	27	23	17	20	12	18	23	22	9	18	21	8	19	23	8	21	16	20	14	24	28	28	24	18	16	13	19	14	16	23	24	36	25	23	17	11	7	7	25	21	9	12	11	15	17	15	16	16	20	27	23	18	20	16	38	24	29	19	9	0	0	1					
		1.53%	1.81%	2.24%	1.53%	1.01%	1.65%	1.99%	2.11%	1.10%	1.87%	1.59%	1.37%	0.97%	1.20%	1.17%	0.69%	1.15%	0.65%	2.11%	1.73%	1.20%	2.50%	1.51%	2.08%	1.58%	1.05%	1.64%	1.20%	1.39%	1.67%	1.24%	1.78%	1.11%	0.96%	1.61%	1.85%	2.37%	1.35%	1.44%	1.16%	1.33%	1.52%	0.92%	2.64%	2.17%	1.77%	1.65%	2.31%	1.41%	1.32%	1.50%	1.35%	1.06%	1.25%	1.19%	1.38%	1.86%	1.79%	1.81%	1.93%	1.65%	0.88%	1.58%	1.53%	0.99%	1.88%	1.58%	1.17%	1.05%	1.97%	1.73%	1.87%	1.76%	1.81%	1.08%	1.87%	1.49%	1.12%	1.01%	1.42%	1.47%	2.04%	1.51%	1.38%	1.17%	1.12%	0.71%	1.40%	1.45%	2.35%	1.25%	1.57%	1.10%	1.34%	1.40%	1.33%	1.51%	5.19%	1.91%	1.82%	1.77%	1.55%	1.70%	1.19%	2.19%	1.67%	1.85%	1.67%	1.48%	0.00%	0.00%	0.88%					
19	Жириновский Владимир Вольфович	16058	46	156	166	187	208	145	152	118	155	206	120	139	151	134	118	178	110	113	145	59	115	258	160	210	150	137	166	191	205	117	112	141	136	162	131	134	73	102	118	402	136	132	192	106	254	150	179	148	173	217	173	180	198	108	144	157	151	46	84	116	110	146	174	87	157	129	192	230	144	227	195	160	95	127	85	153	160	140	163	175	186	195	201	195	101	139	35	207	111	69	103	132	122	128	143	106	38	132	168	159	147	158	156	207	156	211	117	72	27	5	13					
		12.06%	10.43%	12.96%	13.34%	14.52%	12.70%	11.56%	11.44%	13.01%	12.58%	12.59%	11.72%	11.28%	12.06%	12.10%	11.68%	12.08%	10.14%	9.93%	10.47%	14.15%	11.04%	13.45%	12.80%	11.44%	11.27%	13.21%	13.29%	10.61%	13.67%	12.12%	10.50%	11.99%	13.04%	13.75%	11.55%	13.80%	12.35%	14.68%	10.56%	25.43%	10.35%	11.04%	14.07%	10.96%	18.70%	12.99%	11.47%	10.97%	10.38%	12.05%	10.12%	11.26%	12.36%	10.70%	11.05%	12.68%	12.26%	9.27%	8.99%	9.14%	12.05%	12.14%	11.54%	10.86%	14.04%	12.77%	11.27%	17.27%	11.79%	14.06%	13.01%	11.73%	9.54%	8.60%	12.20%	12.03%	12.84%	8.87%	10.07%	10.75%	10.54%	11.80%	12.08%	13.43%	10.25%	14.15%	6.99%	12.02%	12.43%	9.58%	13.48%	13.20%	10.93%	10.53%	12.71%	10.00%	12.34%	12.62%	11.31%	12.22%	12.66%	13.44%	11.63%	11.90%	10.86%	13.48%	10.31%	11.80%	9.38%	3.27%	11.50%					
20	Зюганов Геннадий Андреевич	31547	120	302	255	255	366	265	336	185	284	383	208	282	295	228	273	328	218	285	308	72	224	214	331	467	342	205	263	450	360	181	259	241	193	238	289	229	99	127	299	145	330	301	251	238	351	246	374	335	486	443	478	418	388	261	324	308	302	128	236	405	250	283	381	189	246	232	448	211	285	334	364	320	284	388	163	304	227	454	465	426	466	423	411	342	253	242	69	388	183	212	167	245	315	367	308	310	80	199	316	254	261	316	393	465	360	372	295	136	60	54	24					
		23.69%	27.21%	25.08%	20.50%	19.80%	22.34%	21.13%	25.28%	20.40%	23.05%	23.41%	20.31%	22.89%	23.56%	20.60%	27.03%	22.25%	20.09%	25.04%	22.24%	17.27%	21.50%	11.16%	26.48%	25.44%	25.69%	19.77%	21.06%	24.99%	24.00%	18.76%	24.27%	20.49%	18.50%	20.20%	25.49%	23.58%	16.75%	18.27%	26.77%	9.17%	25.11%	25.17%	18.39%	24.61%	25.85%	21.30%	23.96%	24.83%	29.15%	24.60%	27.95%	26.16%	24.22%	25.87%	24.87%	24.88%	24.51%	25.81%	25.27%	31.91%	27.38%	23.52%	25.27%	23.60%	22.00%	22.97%	26.31%	15.84%	23.34%	20.69%	24.28%	23.46%	28.51%	26.27%	23.39%	23.90%	18.22%	28.75%	28.74%	26.17%	26.40%	25.61%	24.70%	23.55%	25.69%	24.64%	13.77%	22.53%	20.49%	29.44%	21.86%	24.50%	28.23%	30.18%	27.38%	29.25%	25.97%	19.02%	21.28%	19.52%	22.48%	26.87%	29.31%	26.74%	25.07%	23.77%	25.99%	22.30%	20.83%	35.29%	21.24%					
21	Медведев Дмитрий Анатольевич	82016	264	708	779	818	1016	813	802	582	752	1011	677	794	777	727	606	945	740	705	887	279	657	1394	715	1105	814	672	794	1115	881	646	667	767	699	749	673	573	406	451	675	1002	813	745	855	588	713	730	945	837	962	1087	1017	968	968	616	810	738	745	305	582	710	532	737	915	511	682	621	1023	864	752	1006	897	841	591	939	431	780	841	956	949	983	1051	989	1007	888	609	581	382	1080	568	418	471	596	649	690	649	616	174	674	953	836	723	666	763	1006	877	938	686	390	200	90	74					
		61.58%	59.86%	58.80%	62.62%	63.51%	62.03%	64.83%	60.35%	64.17%	61.04%	61.80%	66.11%	64.45%	62.06%	65.67%	60.00%	64.11%	68.20%	61.95%	64.04%	66.91%	63.05%	72.68%	57.20%	60.19%	61.16%	64.80%	63.57%	61.91%	58.73%	66.94%	62.51%	65.22%	67.02%	63.58%	59.35%	59.01%	68.70%	64.89%	60.43%	63.38%	61.87%	62.29%	62.64%	60.81%	52.50%	63.20%	60.54%	62.05%	57.71%	60.36%	59.47%	60.58%	60.42%	61.05%	62.16%	59.61%	60.47%	61.49%	62.31%	55.95%	58.27%	61.26%	60.68%	63.80%	61.00%	61.49%	60.07%	64.86%	61.59%	62.33%	59.84%	61.66%	59.34%	63.57%	61.84%	61.32%	67.50%	60.54%	58.65%	60.38%	59.55%	59.87%	60.52%	61.16%	61.83%	59.16%	76.25%	62.72%	63.61%	58.06%	61.65%	59.60%	58.15%	56.74%	57.69%	58.11%	56.49%	64.44%	64.18%	64.26%	62.27%	56.63%	56.90%	57.85%	61.07%	59.94%	60.44%	63.93%	69.44%	58.82%	65.49%					
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
