Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Вышневолоцкая																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в список"	23462	389	104	365	431	519	979	104	159	1686	503	218	366	310	955	271	369	957	366	1973	312	377	442	344	239	360	125	1640	1013	220	884	281	258	1048	1805	1173	1678	239					
2	Число полученных избирательных бюллетеней	21916	360	106	340	400	480	915	107	145	1590	470	205	340	290	895	250	350	890	350	1840	290	355	410	320	220	350	121	1540	950	192	825	255	240	990	1670	1100	1540	225					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10654	148	45	158	194	277	454	84	56	699	245	110	159	136	461	154	170	488	145	902	200	230	195	141	84	215	84	624	503	102	473	137	132	418	730	540	668	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	2123	96	16	43	108	90	95	5	59	232	32	29	64	39	34	23	35	29	125	150	12	53	146	91	84	17	7	63	20	44	33	19	10	110	31	26	21	32					
6	Число погашенных избирательных бюллетеней	9139	116	45	139	98	113	366	18	30	659	193	66	117	115	400	73	145	373	80	788	78	72	69	88	52	118	30	853	427	46	319	99	98	462	909	534	851	100					
7	Число избирательных бюллетеней в переносных ящиках	2123	96	16	43	108	90	95	5	59	232	32	29	64	39	34	23	35	29	125	150	12	53	146	91	84	17	7	63	20	44	33	19	10	110	31	26	21	32					
8	Число бюллетеней в стационарных ящиках для голосования	10653	148	45	158	194	277	454	84	56	699	245	110	159	136	461	154	170	488	145	902	200	230	195	141	84	215	84	624	503	102	473	137	132	418	729	540	668	93					
9	Число недействительных избирательных бюллетеней	70	4	0	0	0	3	1	0	0	0	1	0	1	1	7	0	2	10	1	9	0	1	0	1	2	0	0	0	3	1	6	1	0	6	4	1	4	0					
10	Число действительных избирательных бюллетеней	12706	240	61	201	302	364	548	89	115	931	276	139	222	174	488	177	203	507	269	1043	212	282	341	231	166	232	91	687	520	145	500	155	142	522	756	565	685	125					
11	Число полученных открепительных  удостоверений	327	5	5	10	10	10	5	5	5	30	10	5	7	5	5	5	5	5	5	20	5	5	5	5	5	5	5	30	10	5	15	5	5	15	15	15	15	5					
12	Число выданных открепительных удостоверений	112	0	0	6	3	1	0	0	1	11	1	1	2	2	2	0	0	4	3	9	2	2	1	1	0	4	1	12	4	0	9	0	0	9	6	4	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	109	2	1	5	2	3	4	0	0	2	3	4	0	1	2	4	1	1	3	1	3	1	3	3	6	4	8	2	5	9	3	6	0	3	9	0	5	0					
14	Число неиспользованных открепительных удостоверений	215	5	5	4	7	9	5	5	4	19	9	4	5	3	3	5	5	1	2	11	3	3	4	4	5	1	4	18	6	5	6	5	5	6	9	11	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	0	0	0	0	0	0	0	5	0	0	3	0	1	0	0	3	1	0	2	0	1	0	0	0	0	5	2	0	1	0	0	1	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	354	13	2	7	9	5	3	0	3	29	12	3	7	5	13	4	9	6	3	40	9	4	4	1	2	1	1	31	13	2	11	9	5	13	25	18	30	2					
		2.77%	5.33%	3.28%	3.48%	2.98%	1.36%	0.55%	0.00%	2.61%	3.11%	4.33%	2.16%	3.14%	2.86%	2.63%	2.26%	4.39%	1.16%	1.11%	3.80%	4.25%	1.41%	1.17%	0.43%	1.19%	0.43%	1.10%	4.51%	2.49%	1.37%	2.17%	5.77%	3.52%	2.46%	3.29%	3.18%	4.35%	1.60%					
19	. Малышкин Олег Александрович	272	9	2	6	3	3	8	0	1	25	8	7	9	1	25	3	4	6	6	20	2	2	9	3	0	10	0	17	18	3	14	4	5	3	9	7	16	4					
		2.13%	3.69%	3.28%	2.99%	0.99%	0.82%	1.46%	0.00%	0.87%	2.69%	2.89%	5.04%	4.04%	0.57%	5.05%	1.69%	1.95%	1.16%	2.22%	1.90%	0.94%	0.71%	2.64%	1.29%	0.00%	4.31%	0.00%	2.47%	3.44%	2.05%	2.77%	2.56%	3.52%	0.57%	1.18%	1.24%	2.32%	3.20%					
20	. Миронов Сергей Михайлович	102	1	0	0	4	5	4	0	0	10	3	0	1	1	7	2	1	5	2	13	2	3	2	0	1	0	0	2	4	1	6	1	3	1	10	1	5	1					
		0.80%	0.41%	0.00%	0.00%	1.32%	1.36%	0.73%	0.00%	0.00%	1.07%	1.08%	0.00%	0.45%	0.57%	1.41%	1.13%	0.49%	0.97%	0.74%	1.24%	0.94%	1.06%	0.59%	0.00%	0.60%	0.00%	0.00%	0.29%	0.76%	0.68%	1.19%	0.64%	2.11%	0.19%	1.32%	0.18%	0.73%	0.80%					
21	. Путин Владимир Владимирович	9541	175	45	164	218	308	430	76	79	699	189	107	180	114	363	141	129	413	211	772	159	195	285	215	116	177	79	447	393	109	390	102	109	418	528	410	493	103					
		74.68%	71.72%	73.77%	81.59%	72.19%	83.92%	78.32%	85.39%	68.70%	75.08%	68.23%	76.98%	80.72%	65.14%	73.33%	79.66%	62.93%	79.88%	78.15%	73.38%	75.00%	68.90%	83.58%	92.67%	69.05%	76.29%	86.81%	65.07%	75.14%	74.66%	77.08%	65.38%	76.76%	79.17%	69.47%	72.44%	71.55%	82.40%					
22	. Хакамада Ирина Муцуовна	277	0	0	1	7	5	7	0	0	22	4	2	1	3	7	1	5	8	5	34	4	3	7	1	0	6	1	26	17	8	6	2	4	12	28	16	21	3					
