Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Янаульская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551					
1	"Число избирателей, внесенных в список"	36196	1864	1799	934	1881	1861	1820	1808	1800	1814	1074	917	1023	926	371	100	190	207	425	160	230	254	115	405	133	222	129	355	112	439	255	245	545	372	869	453	219	166	512	202	142	379	309	173	603	198	132	431	223	99	149	551	218	118	325	311	200	610	249	273	183	256	104	95	320	176	374	304	328	278	376	155	348					
2	Число полученных избирательных бюллетеней	35624	1750	1750	900	1750	1750	1750	1850	1800	1750	1030	900	950	900	374	102	189	207	433	162	231	254	121	407	135	222	130	365	116	438	258	239	548	378	873	461	216	169	518	208	145	380	309	173	606	197	132	444	227	101	150	561	219	120	327	309	201	606	245	273	185	254	107	98	321	179	375	300	331	279	379	159	348					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34057	1695	1709	867	1735	1742	1661	1656	1676	1687	1030	865	906	737	363	90	189	204	406	149	230	244	115	393	132	218	121	335	95	414	192	196	535	371	851	443	210	166	494	191	131	357	299	170	587	193	130	392	219	98	147	547	218	104	325	306	194	605	235	270	172	254	104	92	317	175	363	296	318	273	371	149	333					
5	"Число избирательных бюллетеней, выданных вне помещения"	709	19	0	33	12	8	32	12	24	13	0	0	20	119	6	10	0	2	18	11	0	10	0	4	1	4	8	10	17	18	63	15	5	0	0	0	0	0	15	9	11	22	10	3	12	4	0	38	4	0	0	0	0	14	0	0	4	0	0	3	10	0	0	3	0	0	8	4	10	5	5	6	15					
6	Число погашенных избирательных бюллетеней	858	36	41	0	3	0	57	182	100	50	0	35	24	44	5	2	0	1	9	2	1	0	6	10	2	0	1	20	4	6	3	28	8	7	22	18	6	3	9	8	3	1	0	0	7	0	2	14	4	3	3	14	1	2	2	3	3	1	10	0	3	0	3	3	4	4	4	0	3	1	3	4	0					
7	Число избирательных бюллетеней в переносных ящиках	709	19	0	33	12	8	32	12	24	13	0	0	20	119	6	10	0	2	18	11	0	10	0	4	1	4	8	10	17	18	63	15	5	0	0	0	0	0	15	9	11	22	10	3	12	4	0	38	4	0	0	0	0	14	0	0	4	0	0	3	10	0	0	3	0	0	8	4	10	5	5	6	15					
8	Число бюллетеней в стационарных ящиках для голосования	34057	1695	1709	867	1735	1742	1661	1656	1676	1687	1030	865	906	737	363	90	189	204	406	149	230	244	115	393	132	218	121	335	95	414	192	196	535	371	851	443	210	166	494	191	131	357	299	170	587	193	130	392	219	98	147	547	218	104	325	306	194	605	235	270	172	254	104	92	317	175	363	296	318	273	371	149	333					
9	Число недействительных избирательных бюллетеней	78	11	2	0	0	0	1	5	3	5	2	0	0	16	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	0	1	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	3	0	2	3	0	0	0	0	3	0	1	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	34688	1703	1707	900	1747	1750	1692	1663	1697	1695	1028	865	926	840	369	100	189	206	422	160	230	254	115	396	132	222	129	345	112	430	255	210	534	371	851	443	208	166	508	200	142	379	309	173	599	197	130	429	223	98	147	547	218	118	322	306	198	602	235	271	179	254	104	95	317	172	371	299	328	278	376	154	348					
11	Число полученных открепительных  удостоверений	394	22	21	13	21	21	23	23	22	21	12	11	12	12	3	1	1	2	3	2	1	3	2	3	1	2	2	3	1	3	2	3	5	5	9	5	2	1	4	2	2	4	3	2	4	3	1	4	1	3	2	5	2	1	3	4	1	5	2	3	2	2	1	1	3	1	5	3	3	3	4	2	4					
12	Число выданных открепительных удостоверений	174	5	11	2	16	15	22	20	10	5	9	3	4	7	3	0	0	1	1	0	0	3	1	0	0	0	0	2	0	3	0	1	1	1	6	0	0	1	0	2	0	0	0	1	2	0	0	3	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	16	2	4	10	4	4	2	4	2	3	0	5	1	2	0	2	1	2	4	0	2	0	0	0	0	1	0	1	3	0	1	1	0	0	0	2	0	2	2	2	2	2	1	0	0	0	0	0	0	1	0	0	0	2	1	1	2	6	6	0	2	0	0	0	0	1	5	1	3	1	0	3					
