Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Перемышльская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600					
1	"Число избирателей, внесенных в список"	10225	542	195	119	234	191	1063	805	270	202	573	858	356	193	2654	159	463	559	500	289					
2	Число полученных избирательных бюллетеней	10400	570	199	118	230	191	1072	820	265	200	626	875	365	200	2680	169	455	560	505	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5566	302	128	30	89	103	779	493	133	87	302	400	214	91	1532	82	194	245	192	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	2101	107	39	67	90	52	97	166	85	65	103	207	87	75	135	45	162	202	262	55					
6	Число погашенных избирательных бюллетеней	2733	161	32	21	51	36	196	161	47	48	221	268	64	34	1013	42	99	113	51	75					
7	Число избирательных бюллетеней в переносных ящиках	2101	107	39	67	90	52	97	166	85	65	103	207	87	75	135	45	162	202	262	55					
8	Число бюллетеней в стационарных ящиках для голосования	5566	302	128	30	89	103	779	493	133	87	302	400	214	91	1532	82	194	245	192	170					
9	Число недействительных избирательных бюллетеней	70	1	0	1	0	1	3	6	1	1	1	8	2	1	30	0	2	4	6	2					
10	Число действительных избирательных бюллетеней	7597	408	167	96	179	154	873	653	217	151	404	599	299	165	1637	127	354	443	448	223					
11	Число полученных открепительных  удостоверений	271	8	8	4	8	3	22	19	10	9	60	14	8	10	30	16	10	14	6	12					
12	Число выданных открепительных удостоверений	237	5	8	2	5	1	22	17	2	7	57	12	6	10	30	16	7	14	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	7	0	4	4	5	5	6	5	1	2	4	1	1	18	1	6	16	0	3					
14	Число неиспользованных открепительных удостоверений	34	3	0	2	3	2	0	2	8	2	3	2	2	0	0	0	3	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	2	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	199	8	4	4	6	3	24	19	4	3	10	20	5	4	53	7	12	3	6	4					
		2.60%	1.96%	2.40%	4.12%	3.35%	1.94%	2.74%	2.88%	1.83%	1.97%	2.47%	3.29%	1.66%	2.41%	3.18%	5.51%	3.37%	0.67%	1.32%	1.78%					
19	. Малышкин Олег Александрович	138	3	0	2	5	1	20	18	1	4	11	10	3	4	24	2	15	7	3	5					
		1.80%	0.73%	0.00%	2.06%	2.79%	0.65%	2.28%	2.73%	0.46%	2.63%	2.72%	1.65%	1.00%	2.41%	1.44%	1.57%	4.21%	1.57%	0.66%	2.22%					
20	. Миронов Сергей Михайлович	34	1	1	0	1	0	4	3	2	0	4	4	1	1	8	1	1	0	1	1					
		0.44%	0.24%	0.60%	0.00%	0.56%	0.00%	0.46%	0.46%	0.92%	0.00%	0.99%	0.66%	0.33%	0.60%	0.48%	0.79%	0.28%	0.00%	0.22%	0.44%					
21	. Путин Владимир Владимирович	5956	318	141	74	135	126	687	547	185	109	323	451	236	127	1214	107	272	390	354	160					
		77.68%	77.75%	84.43%	76.29%	75.42%	81.29%	78.42%	83.00%	84.86%	71.71%	79.75%	74.30%	78.41%	76.51%	72.83%	84.25%	76.40%	87.25%	77.97%	71.11%					
22	. Хакамада Ирина Муцуовна	112	4	4	0	3	4	12	4	0	1	13	5	1	4	36	0	5	3	6	7					
		1.46%	0.98%	2.40%	0.00%	1.68%	2.58%	1.37%	0.61%	0.00%	0.66%	3.21%	0.82%	0.33%	2.41%	2.16%	0.00%	1.40%	0.67%	1.32%	3.11%					
23	. Харитонов Николай Михайлович	954	60	16	16	25	17	91	42	22	30	37	95	50	18	255	8	43	33	59	37					
		12.44%	14.67%	9.58%	16.49%	13.97%	10.97%	10.39%	6.37%	10.09%	19.74%	9.14%	15.65%	16.61%	10.84%	15.30%	6.30%	12.08%	7.38%	13.00%	16.44%					
																										
24	Против всех	204	14	1	0	4	3	35	20	3	4	6	14	3	7	47	2	6	7	19	9					
		2.66%	3.42%	0.60%	0.00%	2.23%	1.94%	4.00%	3.03%	1.38%	2.63%	1.48%	2.31%	1.00%	4.22%	2.82%	1.57%	1.69%	1.57%	4.19%	4.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
