Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Черемховская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501					
1	"Число избирателей, внесенных в список"	51588	2093	1301	1587	1229	1099	1113	1255	1612	1393	1715	1603	2353	1350	1805	2014	894	825	1204	1183	1443	2559	1372	1709	1448	1424	309	389	205	1202	1821	1720	1144	1326	1483	1256	1164	496	989	501					
2	Число полученных избирательных бюллетеней	50150	2000	1250	1550	1150	1050	1120	1140	1600	1370	1650	1570	2330	1240	1800	1950	880	800	1170	1130	1410	2500	1300	1690	1420	1380	300	370	190	1140	1800	1700	1150	1300	1440	1240	1140	480	980	470					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22352	970	500	545	487	512	511	563	665	601	722	809	1139	618	840	921	343	368	539	466	640	1108	623	783	529	452	171	172	113	580	707	698	531	607	637	501	527	181	408	265					
5	"Число избирательных бюллетеней, выданных вне помещения"	1492	23	79	18	46	48	32	144	20	30	33	15	33	37	33	43	47	4	9	50	31	36	109	51	35	36	13	0	45	0	57	57	18	30	54	51	63	36	17	9					
6	Число погашенных избирательных бюллетеней	26306	1007	671	987	617	490	577	433	915	739	895	746	1158	585	927	986	490	428	622	614	739	1356	568	856	856	892	116	198	32	560	1036	945	601	663	749	688	550	263	555	196					
7	Число избирательных бюллетеней в переносных ящиках	1492	23	79	18	46	48	32	144	20	30	33	15	33	37	33	43	47	4	9	50	31	36	109	51	35	36	13	0	45	0	57	57	18	30	54	51	63	36	17	9					
8	Число бюллетеней в стационарных ящиках для голосования	22346	970	500	545	487	512	511	563	665	601	722	809	1138	618	840	921	343	368	539	464	640	1108	623	783	529	452	171	172	113	580	706	698	529	607	637	501	527	181	408	265					
9	Число недействительных избирательных бюллетеней	265	11	5	10	9	5	5	4	11	9	3	7	16	6	13	23	2	8	3	5	6	27	10	4	8	5	3	2	0	5	6	12	5	3	2	4	4	1	3	0					
10	Число действительных избирательных бюллетеней	23573	982	574	553	524	555	538	703	674	622	752	817	1155	649	860	941	388	364	545	509	665	1117	722	830	556	483	181	170	158	575	757	743	542	634	689	548	586	216	422	274					
11	Число полученных открепительных  удостоверений	998	50	25	25	20	20	20	20	35	25	30	30	50	20	40	40	20	15	20	20	25	60	20	35	30	35	10	10	10	15	35	35	20	20	30	20	15	15	25	8					
12	Число выданных открепительных удостоверений	138	1	1	0	1	8	8	6	7	7	13	5	10	6	9	2	2	2	3	3	1	5	2	2	5	2	1	0	1	0	5	3	2	3	0	2	5	4	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	0	3	1	3	6	4	4	2	1	3	0	9	1	4	3	1	1	1	14	4	3	2	1	1	3	2	2	1	4	3	1	1	3	3	1	3	3	5	1					
14	Число неиспользованных открепительных удостоверений	860	49	24	25	19	12	12	14	28	18	17	25	40	14	31	38	18	13	17	17	24	55	18	33	25	33	9	10	9	15	30	32	18	17	30	18	10	11	24	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
