Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Кадомская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
1	"Число избирателей, внесенных в список"	8573	662	1042	1118	1039	1105	447	96	430	126	174	110	74	120	120	171	267	321	74	163	207	66	112	313	133	83					
2	Число полученных избирательных бюллетеней	8523	594	1006	1104	1025	1186	450	95	438	124	164	108	73	117	120	170	271	327	73	164	206	67	113	318	130	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5076	439	613	660	618	633	242	25	251	63	128	72	54	76	84	98	137	174	48	126	158	40	64	155	86	32					
5	"Число избирательных бюллетеней, выданных вне помещения"	1077	17	46	61	50	50	96	52	141	39	29	27	10	24	8	29	70	36	14	17	24	13	41	113	34	36					
6	Число погашенных избирательных бюллетеней	2370	138	347	383	357	503	112	18	46	22	7	9	9	17	28	43	64	117	11	21	24	14	8	50	10	12					
7	Число избирательных бюллетеней в переносных ящиках	1077	17	46	61	50	50	96	52	141	39	29	27	10	24	8	29	70	36	14	17	24	13	41	113	34	36					
8	Число бюллетеней в стационарных ящиках для голосования	5076	439	613	660	618	633	242	25	251	63	128	72	54	76	84	98	137	174	48	126	158	40	64	155	86	32					
9	Число недействительных избирательных бюллетеней	98	6	2	10	11	11	7	0	3	1	2	6	2	3	7	0	3	6	1	2	4	1	2	5	0	3					
10	Число действительных избирательных бюллетеней	6055	450	657	711	657	672	331	77	389	101	155	93	62	97	85	127	204	204	61	141	178	52	103	263	120	65					
11	Число полученных открепительных  удостоверений	398	20	20	20	20	19	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	72	7	13	11	12	16	3	0	3	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0					
