Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Николаевская-на-Амуре																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410					
1	"Число избирателей, внесенных в список"	33333	153	752	1335	1197	971	1410	1800	783	1640	614	1358	856	1213	1149	1509	1973	1898	920	686	490	238	21	197	252	273	310	911	555	757	543	496	44	754	1207	972	652	366	1460	546	72					
2	Число полученных избирательных бюллетеней	34734	170	772	1279	1310	971	1506	1927	866	1665	677	1542	879	1292	1177	1605	1955	2084	1015	696	486	220	44	206	265	272	355	1000	572	827	595	515	47	702	1053	1008	674	380	1505	540	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	33	0	97	0	0	0	106	0	0	0	17	17	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20030	100	358	789	661	471	727	1181	541	796	293	979	570	749	747	887	1104	1188	436	385	273	219	17	146	186	197	213	553	381	406	309	316	41	446	809	693	459	281	749	302	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	2087	7	49	42	48	67	62	71	29	83	50	44	20	74	84	66	67	61	50	50	10	0	0	21	36	50	26	34	94	56	72	39	0	35	74	56	81	18	177	184	0					
6	Число погашенных избирательных бюллетеней	12342	63	365	448	601	433	717	675	296	786	334	519	289	469	346	652	784	835	529	261	203	1	27	34	43	25	116	380	97	268	214	160	6	115	170	259	134	64	562	54	8					
7	Число избирательных бюллетеней в переносных ящиках	2362	7	49	42	48	67	62	71	29	83	50	44	20	74	84	66	67	61	50	50	10	0	0	26	36	50	26	67	94	153	72	39	0	141	74	56	81	35	194	184	0					
8	Число бюллетеней в стационарных ящиках для голосования	20028	100	358	789	661	471	727	1181	541	795	292	979	570	749	747	887	1104	1188	436	385	273	219	17	146	186	197	213	553	381	406	309	316	41	446	809	693	459	281	749	302	72					
9	Число недействительных избирательных бюллетеней	256	1	9	13	9	6	10	20	9	15	8	6	9	10	8	5	11	11	13	6	2	2	0	1	3	4	2	2	8	6	6	3	0	6	9	3	9	1	9	0	1					
10	Число действительных избирательных бюллетеней	22134	106	398	818	700	532	779	1232	561	863	334	1017	581	813	823	948	1160	1238	473	429	281	217	17	171	219	243	237	618	467	553	375	352	41	581	874	746	531	315	934	486	71					
11	Число полученных открепительных  удостоверений	539	5	10	20	15	7	10	13	15	14	4	20	15	20	20	20	20	25	15	10	10	0	15	10	10	10	10	15	21	15	10	10	5	20	20	20	20	10	20	10	0					
12	Число выданных открепительных удостоверений	345	0	6	11	6	3	3	11	7	11	3	9	3	10	13	15	15	22	11	8	7	0	14	5	10	1	7	15	17	12	4	6	0	8	9	10	15	9	19	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	286	1	4	15	5	8	7	8	5	8	2	6	2	13	8	5	14	9	7	0	47	6	1	1	7	6	3	5	8	3	3	8	0	7	14	4	10	9	4	10	3					
14	Число неиспользованных открепительных удостоверений	194	5	4	9	9	4	7	2	8	3	1	11	12	10	7	5	5	3	4	2	3	0	1	5	0	9	3	0	4	3	6	4	5	12	11	10	5	1	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	44	0	0	0	1	0	0	2	1	0	0	1	2	0	4	2	2	0	0	0	1	0	2	0	0	1	0	0	2	5	2	4	0	1	0	3	3	3	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	1036	5	21	39	34	30	34	73	24	59	14	62	47	32	46	47	52	74	19	16	8	11	0	4	17	16	9	24	16	11	13	6	2	17	40	35	21	10	36	12	0					
		4.63%	4.67%	5.16%	4.69%	4.80%	5.58%	4.31%	5.83%	4.21%	6.72%	4.09%	6.06%	7.97%	3.89%	5.54%	4.93%	4.44%	5.92%	3.91%	3.68%	2.83%	5.02%	0.00%	2.33%	7.66%	6.48%	3.77%	3.87%	3.37%	1.97%	3.41%	1.69%	4.88%	2.90%	4.53%	4.67%	3.89%	3.16%	3.82%	2.47%	0.00%					
19	. Малышкин Олег Александрович	835	6	15	33	32	16	40	41	24	37	13	19	20	26	33	26	43	39	24	21	11	4	3	4	10	3	7	18	2	15	16	11	2	21	37	41	48	11	31	25	7					
		3.73%	5.61%	3.69%	3.97%	4.51%	2.97%	5.07%	3.27%	4.21%	4.21%	3.80%	1.86%	3.39%	3.16%	3.97%	2.73%	3.67%	3.12%	4.94%	4.83%	3.89%	1.83%	17.65%	2.33%	4.50%	1.21%	2.93%	2.90%	0.42%	2.68%	4.20%	3.10%	4.88%	3.58%	4.19%	5.47%	8.89%	3.48%	3.29%	5.14%	9.72%					
20	. Миронов Сергей Михайлович	279	1	0	12	11	9	9	23	10	8	2	16	3	15	12	10	13	11	6	4	8	2	1	1	8	3	3	5	6	9	5	7	1	5	7	2	9	7	11	4	0					
		1.25%	0.93%	0.00%	1.44%	1.55%	1.67%	1.14%	1.84%	1.75%	0.91%	0.58%	1.56%	0.51%	1.82%	1.44%	1.05%	1.11%	0.88%	1.23%	0.92%	2.83%	0.91%	5.88%	0.58%	3.60%	1.21%	1.26%	0.81%	1.26%	1.61%	1.31%	1.97%	2.44%	0.85%	0.79%	0.27%	1.67%	2.22%	1.17%	0.82%	0.00%					
21	. Путин Владимир Владимирович	14400	82	231	519	416	333	488	678	317	525	230	586	334	494	477	612	752	715	305	276	174	162	7	134	135	150	181	423	382	381	255	245	26	431	663	538	334	256	729	372	52					
		64.31%	76.64%	56.76%	62.45%	58.67%	61.90%	61.85%	54.15%	55.61%	59.79%	67.25%	57.28%	56.61%	60.02%	57.40%	64.22%	64.22%	57.25%	62.76%	63.45%	61.48%	73.97%	41.18%	77.91%	60.81%	60.73%	75.73%	68.23%	80.42%	68.16%	66.93%	69.01%	63.41%	73.42%	75.08%	71.83%	61.85%	81.01%	77.31%	76.54%	72.22%					
22	. Хакамада Ирина Муцуовна	864	2	22	40	21	24	30	68	26	41	5	49	36	36	44	37	49	52	21	21	19	8	2	1	6	10	2	25	11	3	15	11	1	25	27	18	8	10	25	11	2					
		3.86%	1.87%	5.41%	4.81%	2.96%	4.46%	3.80%	5.43%	4.56%	4.67%	1.46%	4.79%	6.10%	4.37%	5.29%	3.88%	4.18%	4.16%	4.32%	4.83%	6.71%	3.65%	11.76%	0.58%	2.70%	4.05%	0.84%	4.03%	2.32%	0.54%	3.94%	3.10%	2.44%	4.26%	3.06%	2.40%	1.48%	3.16%	2.65%	2.26%	2.78%					
23	. Харитонов Николай Михайлович	3395	8	85	110	133	85	136	269	106	156	51	206	110	156	150	154	171	230	68	65	39	18	3	19	29	50	25	97	40	115	53	54	5	66	48	58	85	18	71	47	6					
		15.16%	7.48%	20.88%	13.24%	18.76%	15.80%	17.24%	21.49%	18.60%	17.77%	14.91%	20.14%	18.64%	18.96%	18.05%	16.16%	14.60%	18.41%	13.99%	14.94%	13.78%	8.22%	17.65%	11.05%	13.06%	20.24%	10.46%	15.65%	8.42%	20.57%	13.91%	15.21%	12.20%	11.24%	5.44%	7.74%	15.74%	5.70%	7.53%	9.67%	8.33%					
																																															
24	Против всех	1325	2	24	65	53	35	42	80	54	37	19	79	31	54	61	62	80	117	30	26	22	12	1	8	14	11	10	26	10	19	18	18	4	16	52	54	26	3	31	15	4					
		5.92%	1.87%	5.90%	7.82%	7.48%	6.51%	5.32%	6.39%	9.47%	4.21%	5.56%	7.72%	5.25%	6.56%	7.34%	6.51%	6.83%	9.37%	6.17%	5.98%	7.77%	5.48%	5.88%	4.65%	6.31%	4.45%	4.18%	4.19%	2.11%	3.40%	4.72%	5.07%	9.76%	2.73%	5.89%	7.21%	4.81%	0.95%	3.29%	3.09%	5.56%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
