Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Сергокалинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152					
1	"Число избирателей, внесенных в список"	17143	810	765	674	732	661	650	838	234	413	1392	967	372	566	518	485	384	570	455	547	525	645	454	352	904	444	1100	294	392					
2	Число полученных избирательных бюллетеней	16876	812	757	663	732	646	624	807	222	416	1374	961	357	558	505	492	371	551	451	534	514	634	454	349	877	432	1100	291	392					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15988	806	757	662	724	609	602	798	222	407	1325	912	333	524	485	413	346	520	412	481	494	564	396	331	860	395	1048	202	360					
5	"Число избирательных бюллетеней, выданных вне помещения"	272	4	0	0	0	8	0	0	0	0	0	0	0	5	17	72	11	10	3	0	0	53	20	0	15	18	2	18	16					
6	Число погашенных избирательных бюллетеней	616	2	0	1	8	29	22	9	0	9	49	49	24	29	3	7	14	21	36	53	20	17	38	18	2	19	50	71	16					
7	Число избирательных бюллетеней в переносных ящиках	272	4	0	0	0	8	0	0	0	0	0	0	0	5	17	72	11	10	3	0	0	53	20	0	15	18	2	18	16					
8	Число бюллетеней в стационарных ящиках для голосования	15914	806	757	662	724	609	602	798	222	407	1325	912	333	524	485	413	346	520	412	481	424	564	396	331	860	395	1044	202	360					
9	Число недействительных избирательных бюллетеней	195	13	0	2	2	5	41	6	1	4	6	6	3	2	4	20	5	1	9	22	18	3	2	0	6	3	11	0	0					
10	Число действительных избирательных бюллетеней	15991	797	757	660	722	612	561	792	221	403	1319	906	330	527	498	465	352	529	406	459	406	614	414	331	869	410	1035	220	376					
11	Число полученных открепительных  удостоверений	300	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10					
12	Число выданных открепительных удостоверений	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	296	8	10	9	10	10	9	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	42	0	0	3	0	0	1	1	0	3	7	7	0	3	0	0	1	0	1	2	3	0	7	0	0	0	0	0	3					
		0.26%	0.00%	0.00%	0.45%	0.00%	0.00%	0.17%	0.13%	0.00%	0.74%	0.53%	0.77%	0.00%	0.57%	0.00%	0.00%	0.28%	0.00%	0.24%	0.42%	0.71%	0.00%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%					
19	. Малышкин Олег Александрович	20	0	2	0	0	0	3	0	0	0	3	1	1	0	0	0	0	2	0	2	3	0	0	0	0	0	0	1	2					
		0.12%	0.00%	0.26%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.23%	0.11%	0.30%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.42%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.53%					
20	. Миронов Сергей Михайлович	33	5	0	0	0	0	0	2	0	0	4	2	0	5	0	0	1	5	1	3	0	3	1	0	0	0	0	1	0					
		0.20%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.30%	0.22%	0.00%	0.95%	0.00%	0.00%	0.28%	0.94%	0.24%	0.62%	0.00%	0.49%	0.24%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%					
21	. Путин Владимир Владимирович	14756	737	694	615	691	546	510	761	210	376	1194	871	294	448	480	429	319	490	381	416	365	575	356	311	790	385	1000	171	341					
		91.17%	90.99%	91.68%	92.90%	95.44%	88.49%	84.72%	95.36%	94.59%	92.38%	90.11%	95.50%	88.29%	84.69%	95.62%	88.45%	89.36%	92.45%	91.81%	86.49%	86.08%	93.19%	85.58%	93.96%	90.29%	93.22%	95.60%	77.73%	90.69%					
22	. Хакамада Ирина Муцуовна	90	4	7	1	5	3	3	2	0	0	8	8	8	3	0	0	4	2	0	1	4	6	9	0	0	0	2	8	2					
		0.56%	0.49%	0.92%	0.15%	0.69%	0.49%	0.50%	0.25%	0.00%	0.00%	0.60%	0.88%	2.40%	0.57%	0.00%	0.00%	1.12%	0.38%	0.00%	0.21%	0.94%	0.97%	2.16%	0.00%	0.00%	0.00%	0.19%	3.64%	0.53%					
23	. Харитонов Николай Михайлович	982	51	53	40	26	60	43	24	10	22	101	14	27	66	16	36	24	28	20	13	29	28	40	19	79	24	28	36	25					
		6.07%	6.30%	7.00%	6.04%	3.59%	9.72%	7.14%	3.01%	4.50%	5.41%	7.62%	1.54%	8.11%	12.48%	3.19%	7.42%	6.72%	5.28%	4.82%	2.70%	6.84%	4.54%	9.62%	5.74%	9.03%	5.81%	2.68%	16.36%	6.65%					
																																			
24	Против всех	68	0	1	1	0	3	1	2	1	2	2	3	0	2	2	0	3	2	3	22	2	2	1	1	0	1	5	3	3					
		0.42%	0.00%	0.13%	0.15%	0.00%	0.49%	0.17%	0.25%	0.45%	0.49%	0.15%	0.33%	0.00%	0.38%	0.40%	0.00%	0.84%	0.38%	0.72%	4.57%	0.47%	0.32%	0.24%	0.30%	0.00%	0.24%	0.48%	1.36%	0.80%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
