Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Тигильская															
															
Итоги голосования 															
															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8					
1	"Число избирателей, внесенных в список"	6769	170	997	267	401	1649	132	2866	287					
2	Число полученных избирательных бюллетеней	6500	190	990	250	430	1600	150	2620	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	20	7	0	6	7	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4726	118	675	206	311	1093	102	1999	222					
5	"Число избирательных бюллетеней, выданных вне помещения"	251	3	18	8	3	135	3	77	4					
6	Число погашенных избирательных бюллетеней	1503	62	297	30	109	372	45	544	44					
7	Число избирательных бюллетеней в переносных ящиках	271	10	18	14	10	135	3	77	4					
8	Число бюллетеней в стационарных ящиках для голосования	4721	118	675	206	311	1093	102	1994	222					
9	Число недействительных избирательных бюллетеней	79	1	8	8	7	24	3	22	6					
10	Число действительных избирательных бюллетеней	4913	127	685	212	314	1204	102	2049	220					
11	Число полученных открепительных  удостоверений	160	10	36	10	10	38	10	31	15					
12	Число выданных открепительных удостоверений	53	1	14	0	0	5	1	18	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	3	1	1	1	17	0	21	0					
14	Число неиспользованных открепительных удостоверений	107	9	22	10	10	33	9	13	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	123	0	12	1	1	32	0	77	0					
		2.46%	0.00%	1.73%	0.45%	0.31%	2.61%	0.00%	3.72%	0.00%					
19	. Малышкин Олег Александрович	79	2	7	0	13	25	0	29	3					
		1.58%	1.56%	1.01%	0.00%	4.05%	2.04%	0.00%	1.40%	1.33%					
20	. Миронов Сергей Михайлович	34	2	1	1	0	8	0	22	0					
		0.68%	1.56%	0.14%	0.45%	0.00%	0.65%	0.00%	1.06%	0.00%					
21	. Путин Владимир Владимирович	4175	122	596	205	292	1001	95	1657	207					
		83.63%	95.31%	86.00%	93.18%	90.97%	81.51%	90.48%	80.01%	91.59%					
22	. Хакамада Ирина Муцуовна	202	0	17	1	5	50	4	121	4					
		4.05%	0.00%	2.45%	0.45%	1.56%	4.07%	3.81%	5.84%	1.77%					
23	. Харитонов Николай Михайлович	229	0	44	3	1	64	2	112	3					
		4.59%	0.00%	6.35%	1.36%	0.31%	5.21%	1.90%	5.41%	1.33%					
															
24	Против всех	71	1	8	1	2	24	1	31	3					
		1.42%	0.78%	1.15%	0.45%	0.62%	1.95%	0.95%	1.50%	1.33%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
