Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Соликамская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №4701	УИК №4702	УИК №4703	УИК №4704	УИК №4705	УИК №4706	УИК №4707	УИК №4708	УИК №4709	УИК №4710	УИК №4711	УИК №4712	УИК №4713	УИК №4714	УИК №4715	УИК №4716	УИК №4717					
1	"Число избирателей, внесенных в список"	10315	597	480	259	451	627	104	1100	471	78	1043	501	1361	1276	288	654	727	298					
2	Число полученных избирательных бюллетеней	10300	570	500	250	460	580	110	1120	470	80	1100	470	1450	1200	270	650	730	290					
3	"Число избирательных бюллетеней, выданных  досрочно"	393	0	123	21	0	29	0	32	0	14	63	0	67	0	0	0	44	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6527	387	216	184	231	486	75	619	310	33	627	354	882	849	209	408	417	240					
5	"Число избирательных бюллетеней, выданных вне помещения"	813	103	35	24	100	10	7	90	56	0	74	44	44	61	52	48	56	9					
6	Число погашенных избирательных бюллетеней	2567	80	126	21	129	55	28	379	104	33	336	72	457	290	9	194	213	41					
7	Число избирательных бюллетеней в переносных ящиках	1206	103	158	45	100	39	7	122	56	14	137	44	111	61	52	48	100	9					
8	Число бюллетеней в стационарных ящиках для голосования	6527	387	216	184	231	486	75	619	310	33	627	354	882	849	209	408	417	240					
9	Число недействительных избирательных бюллетеней	100	4	2	2	4	12	2	14	8	0	4	2	16	11	6	9	4	0					
10	Число действительных избирательных бюллетеней	7633	486	372	227	327	513	80	727	358	47	760	396	977	899	255	447	513	249					
11	Число полученных открепительных  удостоверений	200	10	10	5	10	10	5	20	10	5	20	15	15	20	5	15	15	10					
12	Число выданных открепительных удостоверений	150	10	10	3	8	10	1	14	10	4	20	10	15	15	0	4	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	4	2	1	3	13	1	8	10	2	5	5	7	8	5	4	4	7					
14	Число неиспользованных открепительных удостоверений	50	0	0	2	2	0	4	6	0	1	0	5	0	5	5	11	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	184	23	15	6	5	5	1	21	3	1	19	9	27	22	2	10	9	6					
		2.38%	4.69%	4.01%	2.62%	1.51%	0.95%	1.22%	2.83%	0.82%	2.13%	2.49%	2.26%	2.72%	2.42%	0.77%	2.19%	1.74%	2.41%					
19	. Малышкин Олег Александрович	271	19	22	20	11	11	1	27	7	1	26	14	44	25	4	14	18	7					
		3.50%	3.88%	5.88%	8.73%	3.32%	2.10%	1.22%	3.64%	1.91%	2.13%	3.40%	3.52%	4.43%	2.75%	1.53%	3.07%	3.48%	2.81%					
20	. Миронов Сергей Михайлович	53	4	3	1	3	1	3	6	1	0	4	3	8	5	0	5	5	1					
		0.69%	0.82%	0.80%	0.44%	0.91%	0.19%	3.66%	0.81%	0.27%	0.00%	0.52%	0.75%	0.81%	0.55%	0.00%	1.10%	0.97%	0.40%					
21	. Путин Владимир Владимирович	6085	371	233	176	261	459	68	574	302	43	609	324	783	718	218	352	404	190					
		78.69%	75.71%	62.30%	76.86%	78.85%	87.43%	82.93%	77.46%	82.51%	91.49%	79.71%	81.41%	78.85%	78.90%	83.52%	77.19%	78.14%	76.31%					
22	. Хакамада Ирина Муцуовна	196	10	9	0	6	8	1	28	6	0	18	5	37	24	7	16	14	7					
		2.53%	2.04%	2.41%	0.00%	1.81%	1.52%	1.22%	3.78%	1.64%	0.00%	2.36%	1.26%	3.73%	2.64%	2.68%	3.51%	2.71%	2.81%					
23	. Харитонов Николай Михайлович	618	50	78	13	31	21	3	54	24	2	68	33	53	71	11	33	46	27					
		7.99%	10.20%	20.86%	5.68%	9.37%	4.00%	3.66%	7.29%	6.56%	4.26%	8.90%	8.29%	5.34%	7.80%	4.21%	7.24%	8.90%	10.84%					
																								
24	Против всех	226	9	12	11	10	8	3	17	15	0	16	8	25	34	13	17	17	11					
		2.92%	1.84%	3.21%	4.80%	3.02%	1.52%	3.66%	2.29%	4.10%	0.00%	2.09%	2.01%	2.52%	3.74%	4.98%	3.73%	3.29%	4.42%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
