Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Большеглушицкая																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240					
1	"Число избирателей, внесенных в список"	15607	1111	502	200	749	615	810	828	743	590	706	695	950	945	358	609	557	554	687	496	727	422	216	84	140	834	104	129	246					
2	Число полученных избирательных бюллетеней	15460	1100	500	200	750	600	800	800	700	550	700	700	950	950	350	600	500	500	650	500	750	450	200	100	170	880	120	130	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9406	570	310	139	436	371	462	482	414	346	384	381	492	524	236	300	351	393	467	366	455	213	171	70	117	604	80	116	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	1272	143	69	27	60	56	48	20	66	35	24	38	44	16	8	107	70	55	45	12	99	102	16	8	5	54	12	7	26					
6	Число погашенных избирательных бюллетеней	4782	387	121	34	254	173	290	298	220	169	292	281	414	410	106	193	79	52	138	122	196	135	13	22	48	222	28	7	78					
7	Число избирательных бюллетеней в переносных ящиках	1272	143	69	27	60	56	48	20	66	35	24	38	44	16	8	107	70	55	45	12	99	102	16	8	5	54	12	7	26					
8	Число бюллетеней в стационарных ящиках для голосования	9406	570	310	139	436	371	462	482	414	346	384	381	492	524	236	300	351	393	467	366	455	213	171	70	117	604	80	116	156					
9	Число недействительных избирательных бюллетеней	114	14	4	2	3	4	1	4	3	4	2	3	13	6	9	7	4	1	10	2	9	2	0	0	0	5	0	1	1					
10	Число действительных избирательных бюллетеней	10564	699	375	164	493	423	509	498	477	377	406	416	523	534	235	400	417	447	502	376	545	313	187	78	122	653	92	122	181					
11	Число полученных открепительных  удостоверений	298	19	7	5	14	13	16	16	15	12	12	12	16	16	6	13	10	10	13	8	16	8	5	3	4	17	3	4	5					
12	Число выданных открепительных удостоверений	71	14	1	0	2	3	4	4	6	2	3	4	2	2	0	2	2	1	1	1	5	0	1	0	0	8	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	2	1	0	1	0	4	0	0	4	0	0	1	2	2	3	1	0	3	4	1	1	1	1	0	4	2	2	0					
14	Число неиспользованных открепительных удостоверений	227	5	6	5	12	10	12	12	9	10	9	8	14	14	6	11	8	9	12	7	11	8	4	3	4	9	1	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	264	18	5	3	13	9	18	16	12	16	8	17	13	21	4	4	11	6	15	7	21	7	0	0	0	17	1	1	1					
		2.47%	2.52%	1.32%	1.81%	2.62%	2.11%	3.53%	3.19%	2.50%	4.20%	1.96%	4.06%	2.43%	3.89%	1.64%	0.98%	2.61%	1.34%	2.93%	1.85%	3.79%	2.22%	0.00%	0.00%	0.00%	2.58%	1.09%	0.81%	0.55%					
19	. Малышкин Олег Александрович	305	31	10	8	9	11	13	15	3	15	13	13	15	16	5	14	11	19	17	12	10	11	7	0	2	18	0	5	2					
		2.86%	4.35%	2.64%	4.82%	1.81%	2.58%	2.55%	2.99%	0.62%	3.94%	3.19%	3.10%	2.80%	2.96%	2.05%	3.44%	2.61%	4.24%	3.32%	3.17%	1.81%	3.49%	3.74%	0.00%	1.64%	2.74%	0.00%	4.07%	1.10%					
20	. Миронов Сергей Михайлович	51	5	1	1	2	3	0	3	3	1	2	2	1	7	6	0	2	4	0	2	1	0	2	0	0	2	0	1	0					
		0.48%	0.70%	0.26%	0.60%	0.40%	0.70%	0.00%	0.60%	0.62%	0.26%	0.49%	0.48%	0.19%	1.30%	2.46%	0.00%	0.48%	0.89%	0.00%	0.53%	0.18%	0.00%	1.07%	0.00%	0.00%	0.30%	0.00%	0.81%	0.00%					
