Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Бутырский район																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в список"	40872	1684	2258	1760	2418	2347	2450	2492	2384	2723	2984	2693	2562	2644	2506	2469	2254	2244					
2	Число полученных избирательных бюллетеней	37200	1600	2000	1600	2100	2100	2200	2200	2100	2500	2600	2500	2400	2400	2500	2200	2200	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23666	806	1061	1065	1198	1147	1145	1516	1618	1902	1610	1721	1490	1579	1830	1292	1135	1551					
5	"Число избирательных бюллетеней, выданных вне помещения"	658	45	27	46	43	52	48	37	33	82	31	32	17	27	29	39	26	44					
6	Число погашенных избирательных бюллетеней	12876	749	912	489	859	901	1007	647	449	516	959	747	893	794	641	869	1039	405					
7	Число избирательных бюллетеней в переносных ящиках	658	45	27	46	43	52	48	37	33	82	31	32	17	27	29	39	26	44					
8	Число бюллетеней в стационарных ящиках для голосования	23475	804	1059	1065	1194	1144	1142	1511	1618	1902	1544	1721	1482	1552	1801	1292	1135	1509					
9	Число недействительных избирательных бюллетеней	128	3	8	6	6	7	13	10	8	0	7	7	3	11	3	14	9	13					
10	Число действительных избирательных бюллетеней	24005	846	1078	1105	1231	1189	1177	1538	1643	1984	1568	1746	1496	1568	1827	1317	1152	1540					
11	Число полученных открепительных  удостоверений	930	40	50	40	50	50	50	60	50	60	60	60	60	60	90	50	50	50					
12	Число выданных открепительных удостоверений	557	14	36	13	38	34	41	29	26	39	42	25	31	37	64	34	23	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	389	36	21	13	29	6	27	10	59	22	21	21	23	17	30	17	15	22					
14	Число неиспользованных открепительных удостоверений	373	26	14	27	12	16	9	31	24	21	18	35	29	23	26	16	27	19					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1422	43	65	53	75	79	57	79	85	115	103	122	122	103	114	82	59	66					
		5.89%	5.06%	5.99%	4.77%	6.06%	6.61%	4.79%	5.10%	5.15%	5.80%	6.54%	6.96%	8.14%	6.52%	6.23%	6.16%	5.08%	4.25%					
19	. Малышкин Олег Александрович	264	7	14	7	16	8	14	25	18	30	23	19	7	8	18	15	8	27					
		1.09%	0.82%	1.29%	0.63%	1.29%	0.67%	1.18%	1.61%	1.09%	1.51%	1.46%	1.08%	0.47%	0.51%	0.98%	1.13%	0.69%	1.74%					
20	. Миронов Сергей Михайлович	142	5	3	5	5	6	6	13	9	36	4	3	5	6	10	7	10	9					
		0.59%	0.59%	0.28%	0.45%	0.40%	0.50%	0.50%	0.84%	0.55%	1.81%	0.25%	0.17%	0.33%	0.38%	0.55%	0.53%	0.86%	0.58%					
21	. Путин Владимир Владимирович	16722	538	757	790	855	810	852	1095	1213	1383	1083	1216	935	1057	1256	927	799	1156					
		69.29%	63.37%	69.71%	71.11%	69.12%	67.73%	71.60%	70.74%	73.47%	69.71%	68.76%	69.37%	62.37%	66.94%	68.63%	69.65%	68.82%	74.44%					
22	. Хакамада Ирина Муцуовна	2119	109	99	136	117	109	109	121	131	156	141	130	156	118	189	117	94	87					
		8.78%	12.84%	9.12%	12.24%	9.46%	9.11%	9.16%	7.82%	7.93%	7.86%	8.95%	7.42%	10.41%	7.47%	10.33%	8.79%	8.10%	5.60%					
23	. Харитонов Николай Михайлович	1706	71	75	54	90	98	74	88	95	130	95	123	164	167	108	93	87	94					
		7.07%	8.36%	6.91%	4.86%	7.28%	8.19%	6.22%	5.68%	5.75%	6.55%	6.03%	7.02%	10.94%	10.58%	5.90%	6.99%	7.49%	6.05%					
																								
24	Против всех	1630	73	65	60	73	79	65	117	92	134	119	133	107	109	132	76	95	101					
		6.75%	8.60%	5.99%	5.40%	5.90%	6.61%	5.46%	7.56%	5.57%	6.75%	7.56%	7.59%	7.14%	6.90%	7.21%	5.71%	8.18%	6.50%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
