Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Шумихинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
1	"Число избирателей, внесенных в список"	25560	960	887	674	893	1292	1295	1481	1242	1057	1204	997	859	1073	1279	90	247	596	128	785	322	90	919	582	394	270	101	691	183	146	170	480	278	486	395	404	298	567	273	458	237	460	317					
2	Число полученных избирательных бюллетеней	25669	960	910	690	900	1280	1340	1500	1200	1050	1200	1010	840	1100	1290	100	250	590	131	760	340	96	970	580	390	290	113	700	178	148	173	480	270	470	390	400	300	570	270	460	240	450	290					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14503	561	522	370	481	707	663	742	574	559	666	560	424	566	560	90	188	390	84	422	251	72	491	353	259	191	78	442	137	101	114	249	194	267	234	293	212	371	186	281	163	234	201					
5	"Число избирательных бюллетеней, выданных вне помещения"	2433	46	59	43	56	68	68	117	125	47	94	72	134	72	109	0	14	48	7	133	27	6	119	63	26	44	6	35	4	17	23	99	19	99	96	49	33	72	43	90	17	113	21					
6	Число погашенных избирательных бюллетеней	8733	353	329	277	363	505	609	641	501	444	440	378	282	462	621	10	48	152	40	205	62	18	360	164	105	55	29	223	37	30	36	132	57	104	60	58	55	127	41	89	60	103	68					
7	Число избирательных бюллетеней в переносных ящиках	2433	46	59	43	56	68	68	117	125	47	94	72	134	72	109	0	14	48	7	133	27	6	119	63	26	44	6	35	4	17	23	99	19	99	96	49	33	72	43	90	17	113	21					
8	Число бюллетеней в стационарных ящиках для голосования	14501	561	522	370	481	707	663	742	573	558	666	560	424	566	560	90	188	390	84	422	251	72	491	353	259	191	78	442	137	101	114	249	194	267	234	293	212	371	186	281	163	234	201					
9	Число недействительных избирательных бюллетеней	99	5	7	2	2	7	5	5	0	4	2	4	0	6	0	0	2	8	0	3	1	0	2	3	1	5	1	3	0	0	1	2	2	2	2	2	2	2	0	2	0	4	0					
10	Число действительных избирательных бюллетеней	16835	602	574	411	535	768	726	854	698	601	758	628	558	632	669	90	200	430	91	552	277	78	608	413	284	230	83	474	141	118	136	346	211	364	328	340	243	441	229	369	180	343	222					
11	Число полученных открепительных  удостоверений	540	15	15	15	15	15	15	20	20	15	20	15	15	20	20	0	10	15	5	15	20	5	15	15	10	10	5	15	5	5	10	15	10	15	10	10	10	15	10	15	10	15	10					
12	Число выданных открепительных удостоверений	185	10	5	2	6	4	8	8	7	2	7	7	3	7	13	0	6	2	1	6	14	1	6	11	2	0	0	7	1	0	6	4	1	7	3	3	2	1	0	8	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	135	2	4	1	11	10	7	6	4	3	2	4	1	3	3	32	2	0	0	2	1	0	3	1	0	0	1	6	0	0	0	4	2	5	0	0	0	3	0	3	1	6	2					
14	Число неиспользованных открепительных удостоверений	355	5	10	13	9	11	7	12	13	13	13	8	12	13	7	0	4	13	4	9	6	4	9	4	8	10	5	8	4	5	4	11	9	8	7	7	8	14	10	7	10	13	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	546	27	22	24	24	26	34	23	26	19	23	16	22	16	22	6	2	15	1	13	8	1	25	14	13	3	0	13	9	1	2	4	3	14	11	15	10	10	7	7	3	9	3					
		3.22%	4.45%	3.79%	5.81%	4.47%	3.35%	4.65%	2.68%	3.72%	3.14%	3.03%	2.53%	3.94%	2.51%	3.29%	6.67%	0.99%	3.42%	1.10%	2.34%	2.88%	1.28%	4.10%	3.37%	4.56%	1.28%	0.00%	2.73%	6.38%	0.85%	1.46%	1.15%	1.41%	3.83%	3.33%	4.39%	4.08%	2.26%	3.06%	1.89%	1.67%	2.59%	1.35%					
