Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Усть-Пристанская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739					
1	"Число избирателей, внесенных в список"	13078	205	902	699	216	482	1760	989	1829	99	643	159	777	410	792	1192	702	589	231	402					
2	Число полученных избирательных бюллетеней	12410	270	880	650	210	450	1600	900	1600	100	600	160	710	400	780	1200	690	580	230	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8692	199	469	474	176	387	1074	538	1110	72	492	139	528	271	654	716	509	437	162	285					
5	"Число избирательных бюллетеней, выданных вне помещения"	854	6	84	52	10	10	94	57	50	11	56	20	60	40	47	89	65	35	21	47					
6	Число погашенных избирательных бюллетеней	2864	65	327	124	24	53	432	305	440	17	52	1	122	89	79	395	116	108	47	68					
7	Число избирательных бюллетеней в переносных ящиках	854	6	84	52	10	10	94	57	50	11	56	20	60	40	47	89	65	35	21	47					
8	Число бюллетеней в стационарных ящиках для голосования	8683	199	469	473	176	387	1067	537	1110	72	492	139	528	271	654	716	509	437	162	285					
9	Число недействительных избирательных бюллетеней	89	0	3	4	0	3	18	6	5	4	6	4	5	0	5	11	3	3	5	4					
10	Число действительных избирательных бюллетеней	9448	205	550	521	186	394	1143	588	1155	79	542	155	583	311	696	794	571	469	178	328					
11	Число полученных открепительных  удостоверений	150	5	10	7	3	5	20	15	15	3	7	3	7	5	9	12	7	7	5	5					
12	Число выданных открепительных удостоверений	32	0	2	0	0	0	8	2	4	0	0	0	4	0	0	5	2	2	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	4	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2					
14	Число неиспользованных открепительных удостоверений	118	5	8	7	3	5	12	13	11	3	7	3	3	5	9	7	5	5	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	259	3	7	19	8	18	29	9	29	2	15	5	25	4	23	26	15	9	3	10					
		2.72%	1.46%	1.27%	3.62%	4.30%	4.53%	2.50%	1.52%	2.50%	2.41%	2.74%	3.14%	4.25%	1.29%	3.28%	3.23%	2.61%	1.91%	1.64%	3.01%					
19	. Малышкин Олег Александрович	352	12	10	36	15	14	29	16	29	2	15	6	21	15	27	34	29	24	6	12					
		3.69%	5.85%	1.81%	6.86%	8.06%	3.53%	2.50%	2.69%	2.50%	2.41%	2.74%	3.77%	3.57%	4.82%	3.85%	4.22%	5.05%	5.08%	3.28%	3.61%					
20	. Миронов Сергей Михайлович	68	2	4	4	2	6	5	5	8	0	3	1	2	0	6	8	4	3	0	5					
		0.71%	0.98%	0.72%	0.76%	1.08%	1.51%	0.43%	0.84%	0.69%	0.00%	0.55%	0.63%	0.34%	0.00%	0.86%	0.99%	0.70%	0.64%	0.00%	1.51%					
21	. Путин Владимир Владимирович	6784	131	379	354	136	279	861	483	886	57	411	108	414	243	456	494	396	321	135	240					
		71.13%	63.90%	68.54%	67.43%	73.12%	70.28%	74.16%	81.31%	76.38%	68.67%	75.00%	67.92%	70.41%	78.14%	65.05%	61.37%	68.99%	68.01%	73.77%	72.29%					
22	. Хакамада Ирина Муцуовна	102	1	4	8	2	8	12	8	11	2	6	2	2	2	9	3	9	7	3	3					
		1.07%	0.49%	0.72%	1.52%	1.08%	2.02%	1.03%	1.35%	0.95%	2.41%	1.09%	1.26%	0.34%	0.64%	1.28%	0.37%	1.57%	1.48%	1.64%	0.90%					
23	. Харитонов Николай Михайлович	1738	48	142	94	21	57	194	64	170	16	82	28	108	44	164	219	110	96	27	54					
		18.22%	23.41%	25.68%	17.90%	11.29%	14.36%	16.71%	10.77%	14.66%	19.28%	14.96%	17.61%	18.37%	14.15%	23.40%	27.20%	19.16%	20.34%	14.75%	16.27%					
																										
24	Против всех	145	8	4	6	2	12	13	3	22	0	10	5	11	3	11	10	8	9	4	4					
		1.52%	3.90%	0.72%	1.14%	1.08%	3.02%	1.12%	0.51%	1.90%	0.00%	1.82%	3.14%	1.87%	0.96%	1.57%	1.24%	1.39%	1.91%	2.19%	1.20%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
