Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Угловская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695					
1	"Число избирателей, внесенных в список"	11547	577	250	76	1028	280	857	161	510	585	100	126	1918	1701	232	634	220	79	339	306	637	247	684					
2	Число полученных избирательных бюллетеней	11000	575	250	77	950	275	830	161	500	570	107	132	1740	1541	220	604	221	81	330	290	620	236	690					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8373	432	188	48	672	235	588	133	395	475	100	103	1205	1263	189	497	166	61	290	243	457	197	436					
5	"Число избирательных бюллетеней, выданных вне помещения"	539	31	22	13	24	11	35	12	12	20	0	9	65	51	3	39	13	6	22	17	51	10	73					
6	Число погашенных избирательных бюллетеней	2088	112	40	16	254	29	207	16	93	75	7	20	470	227	28	68	42	14	18	30	112	29	181					
7	Число избирательных бюллетеней в переносных ящиках	539	31	22	13	24	11	35	12	12	20	0	9	65	51	3	39	13	6	22	17	51	10	73					
8	Число бюллетеней в стационарных ящиках для голосования	8326	432	188	48	672	235	584	133	395	474	100	103	1204	1222	189	497	166	61	290	243	457	197	436					
9	Число недействительных избирательных бюллетеней	86	4	3	1	7	0	4	1	5	6	0	3	7	13	3	2	2	0	5	4	6	6	4					
10	Число действительных избирательных бюллетеней	8779	459	207	60	689	246	615	144	402	488	100	109	1262	1260	189	534	177	67	307	256	502	201	505					
11	Число полученных открепительных  удостоверений	165	6	4	4	8	4	6	4	6	6	2	4	30	30	6	9	4	4	6	6	6	4	6					
12	Число выданных открепительных удостоверений	82	6	0	0	0	3	6	0	1	3	0	2	23	22	0	3	2	0	2	0	6	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	1	1	1	2	1	2	2	3	2	1	0	4	2	3	2	1	1	2	5	3	4	4					
14	Число неиспользованных открепительных удостоверений	83	0	4	4	8	1	0	4	5	3	2	2	7	8	6	6	2	4	4	6	0	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	221	8	3	0	18	9	17	2	15	16	0	3	20	35	2	9	4	4	7	10	15	12	12					
		2.49%	1.73%	1.43%	0.00%	2.59%	3.66%	2.75%	1.38%	3.69%	3.24%	0.00%	2.68%	1.58%	2.75%	1.04%	1.68%	2.23%	5.97%	2.24%	3.85%	2.95%	5.80%	2.36%					
19	. Малышкин Олег Александрович	374	26	9	5	27	8	11	7	10	18	1	21	50	45	6	36	12	4	15	14	19	6	24					
		4.22%	5.62%	4.29%	8.20%	3.88%	3.25%	1.78%	4.83%	2.46%	3.64%	1.00%	18.75%	3.94%	3.53%	3.12%	6.72%	6.70%	5.97%	4.81%	5.38%	3.74%	2.90%	4.72%					
20	. Миронов Сергей Михайлович	51	7	2	0	10	0	0	0	1	1	1	1	3	7	1	1	3	0	4	2	3	1	3					
		0.58%	1.51%	0.95%	0.00%	1.44%	0.00%	0.00%	0.00%	0.25%	0.20%	1.00%	0.89%	0.24%	0.55%	0.52%	0.19%	1.68%	0.00%	1.28%	0.77%	0.59%	0.48%	0.59%					
21	. Путин Владимир Владимирович	6126	285	168	41	375	174	441	114	307	313	85	49	918	910	141	400	113	46	190	199	352	137	368					
		69.10%	61.56%	80.00%	67.21%	53.88%	70.73%	71.24%	78.62%	75.43%	63.36%	85.00%	43.75%	72.34%	71.48%	73.44%	74.63%	63.13%	68.66%	60.90%	76.54%	69.29%	66.18%	72.30%					
22	. Хакамада Ирина Муцуовна	137	7	1	1	15	0	13	1	6	7	0	0	24	24	1	8	3	0	2	1	5	6	12					
		1.55%	1.51%	0.48%	1.64%	2.16%	0.00%	2.10%	0.69%	1.47%	1.42%	0.00%	0.00%	1.89%	1.89%	0.52%	1.49%	1.68%	0.00%	0.64%	0.38%	0.98%	2.90%	2.36%					
23	. Харитонов Николай Михайлович	1778	125	21	13	239	47	127	15	60	126	13	35	238	226	29	76	41	12	87	29	105	34	80					
		20.06%	27.00%	10.00%	21.31%	34.34%	19.11%	20.52%	10.34%	14.74%	25.51%	13.00%	31.25%	18.75%	17.75%	15.10%	14.18%	22.91%	17.91%	27.88%	11.15%	20.67%	16.43%	15.72%					
																													
24	Против всех	92	1	3	0	5	8	6	5	3	7	0	0	9	13	9	4	1	1	2	1	3	5	6					
		1.04%	0.22%	1.43%	0.00%	0.72%	3.25%	0.97%	3.45%	0.74%	1.42%	0.00%	0.00%	0.71%	1.02%	4.69%	0.75%	0.56%	1.49%	0.64%	0.38%	0.59%	2.42%	1.18%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
