Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Кувшиновская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611					
1	"Число избирателей, внесенных в список"	14112	701	1399	1271	1355	724	769	668	30	1137	624	621	541	284	429	259	180	602	534	78	279	309	312	271	298	437					
2	Число полученных избирательных бюллетеней	12761	620	1270	1145	1220	660	690	610	29	1030	560	560	490	260	390	235	183	540	490	79	250	275	280	245	270	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6097	229	652	545	556	348	401	346	20	467	266	226	190	106	158	130	75	347	239	27	116	124	132	111	125	161					
5	"Число избирательных бюллетеней, выданных вне помещения"	1567	228	23	29	25	28	7	8	8	30	21	20	96	103	84	11	53	72	73	42	95	104	101	75	94	137					
6	Число погашенных избирательных бюллетеней	5097	163	595	571	639	284	282	256	1	533	273	314	204	51	148	94	55	121	178	10	39	47	47	59	51	82					
7	Число избирательных бюллетеней в переносных ящиках	1567	228	23	29	25	28	7	8	8	30	21	20	96	103	84	11	53	72	73	42	95	104	101	75	94	137					
8	Число бюллетеней в стационарных ящиках для голосования	6095	229	652	545	555	348	400	346	20	467	266	226	190	106	158	130	75	347	239	27	116	124	132	111	125	161					
9	Число недействительных избирательных бюллетеней	36	4	6	2	3	3	1	2	0	4	1	6	0	0	1	0	0	0	1	0	0	0	0	0	2	0					
10	Число действительных избирательных бюллетеней	7626	453	669	572	577	373	406	352	28	493	286	240	286	209	241	141	128	419	311	69	211	228	233	186	217	298					
11	Число полученных открепительных  удостоверений	325	15	15	15	15	15	15	15	0	15	10	10	10	10	15	15	10	15	15	5	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	63	4	4	4	4	1	2	2	0	1	0	6	1	1	6	0	0	4	8	0	2	0	3	4	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	8	5	7	6	0	0	2	0	2	3	1	1	2	1	1	0	3	3	4	1	3	4	2	1	3					
14	Число неиспользованных открепительных удостоверений	262	11	11	11	11	14	13	13	0	14	10	4	9	9	9	15	10	11	7	5	13	15	12	11	14	10					
15	"Число открепительных удостоверений, выданных в ТИК"	18	3	0	1	0	0	0	1	0	3	2	0	2	0	1	0	0	1	0	1	0	1	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	209	6	23	22	28	13	17	8	0	7	8	1	13	3	6	2	0	12	16	3	3	1	3	3	5	6					
		2.73%	1.31%	3.41%	3.83%	4.83%	3.46%	4.18%	2.26%	0.00%	1.41%	2.79%	0.41%	4.55%	1.44%	2.48%	1.42%	0.00%	2.86%	5.13%	4.35%	1.42%	0.44%	1.29%	1.61%	2.28%	2.01%					
19	. Малышкин Олег Александрович	147	15	8	8	10	7	2	3	2	7	2	7	5	8	2	4	6	13	10	2	2	3	2	4	12	3					
		1.92%	3.28%	1.19%	1.39%	1.72%	1.86%	0.49%	0.85%	7.14%	1.41%	0.70%	2.85%	1.75%	3.83%	0.83%	2.84%	4.69%	3.10%	3.21%	2.90%	0.95%	1.32%	0.86%	2.15%	5.48%	1.01%					
20	. Миронов Сергей Михайлович	71	2	9	3	4	2	1	7	1	5	0	7	5	6	2	1	3	6	2	0	2	1	0	1	1	0					
		0.93%	0.44%	1.33%	0.52%	0.69%	0.53%	0.25%	1.98%	3.57%	1.01%	0.00%	2.85%	1.75%	2.87%	0.83%	0.71%	2.34%	1.43%	0.64%	0.00%	0.95%	0.44%	0.00%	0.54%	0.46%	0.00%					
21	. Путин Владимир Владимирович	5590	346	469	398	378	260	295	260	16	402	215	180	200	166	145	118	87	277	197	48	170	192	189	155	182	245					
		72.96%	75.71%	69.48%	69.34%	65.17%	69.15%	72.48%	73.45%	57.14%	80.89%	74.91%	73.17%	69.93%	79.43%	59.92%	83.69%	67.97%	66.11%	63.14%	69.57%	80.57%	84.21%	81.12%	83.33%	83.11%	82.21%					
22	. Хакамада Ирина Муцуовна	162	12	12	16	19	11	10	5	1	13	8	4	5	3	4	0	4	5	6	0	6	3	8	3	3	1					
		2.11%	2.63%	1.78%	2.79%	3.28%	2.93%	2.46%	1.41%	3.57%	2.62%	2.79%	1.63%	1.75%	1.44%	1.65%	0.00%	3.12%	1.19%	1.92%	0.00%	2.84%	1.32%	3.43%	1.61%	1.37%	0.34%					
23	. Харитонов Николай Михайлович	1275	60	126	111	123	66	65	64	8	49	43	38	54	13	79	16	25	97	75	14	25	24	30	18	11	41					
		16.64%	13.13%	18.67%	19.34%	21.21%	17.55%	15.97%	18.08%	28.57%	9.86%	14.98%	15.45%	18.88%	6.22%	32.64%	11.35%	19.53%	23.15%	24.04%	20.29%	11.85%	10.53%	12.88%	9.68%	5.02%	13.76%					
																																
24	Против всех	172	12	22	14	15	14	16	5	0	10	10	3	4	10	3	0	3	9	5	2	3	4	1	2	3	2					
		2.24%	2.63%	3.26%	2.44%	2.59%	3.72%	3.93%	1.41%	0.00%	2.01%	3.48%	1.22%	1.40%	4.78%	1.24%	0.00%	2.34%	2.15%	1.60%	2.90%	1.42%	1.75%	0.43%	1.08%	1.37%	0.67%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
