Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Шелеховская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574					
1	"Число избирателей, внесенных в список"	45295	973	1577	1833	2274	1859	1786	1629	2323	2103	2631	2824	2296	2579	1811	2116	2538	2352	1884	1558	653	264	889	1663	681	852	1347					
2	Число полученных избирательных бюллетеней	41915	910	1450	1720	2130	1725	1660	1485	2045	1965	2455	2635	2150	2445	1705	1985	2375	2195	1775	1425	520	235	825	1555	625	770	1150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23247	402	634	943	1102	960	1056	980	1154	1210	1317	1595	1299	1392	1005	1107	1420	1210	878	606	290	157	383	689	274	376	808					
5	"Число избирательных бюллетеней, выданных вне помещения"	1046	9	77	20	22	33	45	36	156	28	8	22	8	29	8	13	25	13	58	54	62	23	37	96	40	123	1					
6	Число погашенных избирательных бюллетеней	17622	499	739	757	1006	732	559	469	735	727	1130	1018	843	1024	692	865	930	972	839	765	168	55	405	770	311	271	341					
7	Число избирательных бюллетеней в переносных ящиках	1046	9	77	20	22	33	45	36	156	28	8	22	8	29	8	13	25	13	58	54	62	23	37	96	40	123	1					
8	Число бюллетеней в стационарных ящиках для голосования	23241	402	634	942	1102	958	1056	980	1154	1210	1317	1595	1299	1392	1004	1107	1419	1210	878	606	290	157	383	688	274	376	808					
9	Число недействительных избирательных бюллетеней	168	5	2	4	8	4	7	6	11	6	13	1	7	7	7	8	9	10	10	13	4	0	0	2	5	10	9					
10	Число действительных избирательных бюллетеней	24119	406	709	958	1116	987	1094	1010	1299	1232	1312	1616	1300	1414	1005	1112	1435	1213	926	647	348	180	420	782	309	489	800					
11	Число полученных открепительных  удостоверений	904	10	40	40	50	50	50	50	50	50	50	50	50	50	50	50	50	50	20	20	10	4	10	10	10	10	20					
12	Число выданных открепительных удостоверений	217	2	3	7	5	5	10	11	10	8	12	16	13	20	10	12	8	15	7	9	3	4	1	3	1	2	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	1	5	3	6	13	3	6	15	13	8	3	8	4	4	2	14	10	22	21	7	18	10	4	6	4	5					
14	Число неиспользованных открепительных удостоверений	687	8	37	33	45	45	40	39	40	42	38	34	37	30	40	38	42	35	13	11	7	0	9	7	9	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1516	24	32	51	79	64	79	88	93	97	85	111	93	84	58	82	113	60	41	42	15	8	26	44	8	21	18					
		6.24%	5.84%	4.50%	5.30%	7.03%	6.46%	7.18%	8.66%	7.10%	7.84%	6.42%	6.86%	7.12%	5.91%	5.73%	7.32%	7.83%	4.91%	4.38%	6.36%	4.26%	4.44%	6.19%	5.61%	2.55%	4.21%	2.22%					
19	. Малышкин Олег Александрович	1164	18	41	50	55	40	33	32	60	45	88	91	66	58	56	49	51	67	43	32	17	24	25	62	16	19	26					
