Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160					
1	"Число избирателей, внесенных в список"	106129	2488	2887	2006	2347	2838	1680	1526	770	1452	2193	1512	2447	2766	901	1596	1613	1773	2260	783	861	1589	850	388	452	408	767	2203	2620	1446	1213	1629	2056	1902	993	2543	1874	2541	2513	1452	2364	2254	2423	1739	892	243	2089	1513	2195	1620	2370	1870	2425	1988	1350	2596	2043	639	1482	2792	713	896	144	238	191	213	123	268	318					
2	Число полученных избирательных бюллетеней	108900	2800	2888	2000	2200	2800	1900	1700	1106	1500	2100	1366	2400	2800	1060	1590	1600	2040	2200	750	800	1700	840	380	410	400	700	2300	2200	1500	1800	1940	1800	1900	1000	2600	1800	2700	2450	1700	2300	2200	2400	1600	850	240	2000	1500	2100	2400	2400	1800	2400	2000	1900	2700	2000	600	1600	2600	730	950	200	240	200	330	150	290	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	88205	2096	2599	1464	1590	2344	1400	1410	654	1250	1731	1192	2085	2190	697	1369	1382	1577	2079	670	602	1222	755	315	393	371	690	1827	1640	1048	990	1441	1669	1461	904	2312	1438	2191	2421	1307	1947	1961	2175	1526	422	212	1679	898	1934	1387	1866	1686	2132	1666	1061	2263	1760	560	1232	2423	477	792	137	238	191	114	123	262	305					
5	"Число избирательных бюллетеней, выданных вне помещения"	4530	42	21	15	33	88	59	36	50	65	93	93	45	353	126	24	76	37	32	56	62	270	65	35	15	1	0	39	398	202	44	9	35	44	11	76	80	99	17	14	61	44	27	63	391	17	34	21	33	58	30	53	52	29	64	99	58	26	26	22	236	104	7	0	0	96	0	6	13					
6	Число погашенных избирательных бюллетеней	16165	662	268	521	577	368	441	254	402	185	276	81	270	257	237	197	142	426	89	24	136	208	20	30	2	28	10	434	162	250	766	490	96	395	85	212	282	410	12	379	292	195	198	11	37	11	287	581	133	955	504	61	216	305	775	338	182	14	342	155	17	54	56	2	9	120	27	22	182					
7	Число избирательных бюллетеней в переносных ящиках	4530	42	21	15	33	88	59	36	50	65	93	93	45	353	126	24	76	37	32	56	62	270	65	35	15	1	0	39	398	202	44	9	35	44	11	76	80	99	17	14	61	44	27	63	391	17	34	21	33	58	30	53	52	29	64	99	58	26	26	22	236	104	7	0	0	96	0	6	13					
8	Число бюллетеней в стационарных ящиках для голосования	88160	2096	2599	1464	1586	2344	1400	1374	654	1250	1731	1192	2085	2185	697	1369	1382	1577	2079	670	602	1222	755	315	393	371	690	1827	1640	1048	990	1441	1669	1461	904	2312	1438	2191	2421	1307	1947	1961	2175	1526	422	212	1679	898	1934	1387	1866	1686	2132	1666	1061	2263	1760	560	1232	2423	477	792	137	238	191	114	123	262	305					
9	Число недействительных избирательных бюллетеней	564	4	4	5	5	16	7	1	3	5	4	41	7	10	2	1	3	3	55	0	2	4	12	4	1	2	2	5	0	2	3	0	5	13	8	11	11	14	7	3	2	19	17	4	2	0	2	12	2	9	11	8	47	4	0	2	3	1	32	16	2	64	9	6	0	0	2	3	0					
10	Число действительных избирательных бюллетеней	92126	2134	2616	1474	1614	2416	1452	1409	701	1310	1820	1244	2123	2528	821	1392	1455	1611	2056	726	662	1488	808	346	407	370	688	1861	2038	1248	1031	1450	1699	1492	907	2377	1507	2276	2431	1318	2006	1986	2185	1585	811	229	1711	907	1965	1436	1885	1731	2137	1691	1125	2360	1815	585	1226	2429	711	832	135	232	191	210	121	265	318					
11	Число полученных открепительных  удостоверений	3346	100	150	99	71	100	40	40	30	80	55	50	40	55	40	100	56	40	100	20	40	70	100	20	20	20	20	45	30	30	40	40	40	60	40	105	80	50	40	50	50	50	50	30	20	20	60	40	50	55	90	70	50	40	50	100	70	80	100	60	0	0	0	0	5	0	0	0	0					
12	Число выданных открепительных удостоверений	2454	72	117	68	57	73	40	35	24	68	42	18	36	39	23	80	54	33	50	4	38	37	14	12	5	5	7	36	29	16	40	31	39	57	33	105	80	44	40	38	47	50	40	24	6	3	45	22	41	46	65	46	48	38	44	54	48	42	41	60	0	0	0	0	5	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3041	0	18	13	18	38	18	23	43	40	23	163	27	13	10	21	27	17	17	6	9	12	15	64	10	3	9	16	20	10	19	151	15	38	12	13	12	12	7	10	11	23	17	22	11	0	9	12	9	41	27	20	12	18	14	18	14	17	88	67	343	666	82	96	26	124	12	165	85					
14	Число неиспользованных открепительных удостоверений	892	28	33	31	14	27	0	5	6	12	13	32	4	16	17	20	2	7	50	16	2	33	86	8	15	15	13	9	1	14	0	9	1	3	7	0	0	6	0	12	3	0	10	6	14	17	15	18	9	9	25	24	2	2	6	46	22	38	59	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	1866	54	21	53	81	111	27	3	11	25	36	8	89	87	8	25	49	23	40	9	12	22	4	3	2	9	8	87	44	23	65	0	45	63	14	24	55	21	35	26	65	67	56	7	13	5	48	41	21	48	3	15	26	6	26	27	11	9	10	15	10	0	8	0	0	2	0	2	3					
		2.01%	2.53%	0.80%	3.58%	5.00%	4.56%	1.85%	0.21%	1.56%	1.90%	1.97%	0.62%	4.18%	3.43%	0.97%	1.79%	3.36%	1.43%	1.89%	1.24%	1.81%	1.47%	0.49%	0.86%	0.49%	2.42%	1.16%	4.66%	2.16%	1.84%	6.29%	0.00%	2.64%	4.19%	1.53%	1.01%	3.62%	0.92%	1.44%	1.97%	3.24%	3.34%	2.54%	0.44%	1.60%	2.18%	2.80%	4.46%	1.07%	3.32%	0.16%	0.86%	1.19%	0.35%	2.31%	1.14%	0.61%	1.54%	0.79%	0.61%	1.40%	0.00%	5.56%	0.00%	0.00%	0.95%	0.00%	0.75%	0.94%					
19	. Малышкин Олег Александрович	602	15	20	10	12	10	7	2	3	10	7	6	7	18	7	7	10	10	11	3	8	2	2	2	1	3	6	26	21	8	9	0	16	9	8	15	14	20	12	7	11	16	19	7	2	5	15	11	35	18	6	5	21	4	11	3	9	6	11	18	2	0	2	0	0	0	1	0	0					
		0.65%	0.70%	0.76%	0.68%	0.74%	0.41%	0.48%	0.14%	0.43%	0.76%	0.38%	0.47%	0.33%	0.71%	0.85%	0.50%	0.69%	0.62%	0.52%	0.41%	1.20%	0.13%	0.24%	0.57%	0.25%	0.81%	0.87%	1.39%	1.03%	0.64%	0.87%	0.00%	0.94%	0.60%	0.87%	0.63%	0.92%	0.87%	0.49%	0.53%	0.55%	0.80%	0.86%	0.44%	0.25%	2.18%	0.88%	1.20%	1.78%	1.25%	0.32%	0.29%	0.96%	0.24%	0.98%	0.13%	0.50%	1.02%	0.87%	0.74%	0.28%	0.00%	1.39%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	432	13	10	9	10	9	12	2	3	5	6	10	11	15	4	2	5	9	18	0	2	2	2	0	2	2	2	9	10	10	6	0	3	7	3	7	7	6	8	10	5	22	10	5	3	3	9	8	12	17	15	2	25	7	7	4	2	1	5	11	4	2	1	0	0	0	0	0	1					
		0.47%	0.61%	0.38%	0.61%	0.62%	0.37%	0.82%	0.14%	0.43%	0.38%	0.33%	0.78%	0.52%	0.59%	0.49%	0.14%	0.34%	0.56%	0.85%	0.00%	0.30%	0.13%	0.24%	0.00%	0.49%	0.54%	0.29%	0.48%	0.49%	0.80%	0.58%	0.00%	0.18%	0.47%	0.33%	0.29%	0.46%	0.26%	0.33%	0.76%	0.25%	1.10%	0.45%	0.31%	0.37%	1.31%	0.53%	0.87%	0.61%	1.18%	0.79%	0.12%	1.14%	0.41%	0.62%	0.17%	0.11%	0.17%	0.40%	0.45%	0.56%	0.22%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%					
21	. Путин Владимир Владимирович	80496	1749	2412	1139	1215	1938	1250	1270	640	1185	1568	1018	1623	2002	746	1224	1218	1453	1870	691	553	1403	771	316	388	335	644	1374	1773	1072	755	1382	1437	1247	828	2143	1203	2157	2188	1150	1644	1635	1838	1526	702	203	1378	656	1829	1210	1659	1579	1987	1591	982	2174	1742	528	1157	2335	630	824	97	232	191	201	103	232	301					
		86.84%	81.81%	92.06%	77.01%	75.05%	79.69%	85.68%	90.07%	90.91%	90.11%	85.96%	79.22%	76.20%	78.88%	90.64%	87.87%	83.54%	90.02%	88.58%	95.18%	83.28%	94.03%	94.02%	90.29%	95.10%	90.05%	93.33%	73.63%	87.00%	85.76%	73.02%	95.31%	84.33%	82.86%	90.49%	89.74%	79.25%	94.19%	89.75%	87.06%	81.87%	81.55%	83.47%	96.04%	86.35%	88.65%	80.44%	71.38%	92.98%	83.74%	87.50%	90.80%	90.98%	93.86%	87.29%	92.04%	95.82%	90.10%	91.97%	95.50%	88.36%	91.96%	67.36%	97.48%	100.00%	95.71%	83.74%	86.57%	94.65%					
22	. Хакамада Ирина Муцуовна	2206	100	86	100	81	118	59	2	6	37	82	12	99	121	13	21	54	23	28	6	20	12	3	6	1	8	9	106	45	22	61	0	65	49	14	33	62	20	28	38	69	73	65	10	14	1	64	41	5	51	18	3	16	5	21	35	12	12	9	10	10	1	6	0	0	2	0	1	2					
