Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Андроповская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200					
1	"Число избирателей, внесенных в список"	22641	2603	2129	2444	652	721	1522	284	377	564	903	259	1003	87	280	486	925	387	245	180	196	155	836	1035	1318	979	992	994	85					
2	Число полученных избирательных бюллетеней	23050	2630	2170	2380	660	730	1530	290	370	600	930	260	1040	100	280	480	940	400	210	180	200	160	850	1070	1360	1040	1060	1040	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12227	1302	918	1123	307	255	712	151	239	381	552	149	564	62	122	319	523	230	154	155	192	132	630	540	780	537	513	637	48					
5	"Число избирательных бюллетеней, выданных вне помещения"	2082	109	49	158	45	164	228	64	83	75	40	45	110	20	30	21	82	36	32	0	0	0	2	129	110	124	208	100	18					
6	Число погашенных избирательных бюллетеней	8741	1219	1203	1099	308	311	590	75	48	144	338	66	366	18	128	140	335	134	24	25	8	28	218	401	470	379	339	303	24					
7	Число избирательных бюллетеней в переносных ящиках	2082	109	49	158	45	164	228	64	83	75	40	45	110	20	30	21	82	36	32	0	0	0	2	129	110	124	208	100	18					
8	Число бюллетеней в стационарных ящиках для голосования	12222	1299	918	1123	307	255	712	151	238	381	552	149	563	62	122	319	523	230	154	155	192	132	630	540	780	537	513	637	48					
9	Число недействительных избирательных бюллетеней	96	3	9	8	0	3	13	3	1	4	0	4	4	0	2	1	11	2	0	0	1	1	5	3	4	7	5	2	0					
10	Число действительных избирательных бюллетеней	14208	1405	958	1273	352	416	927	212	320	452	592	190	669	82	150	339	594	264	186	155	191	131	627	666	886	654	716	735	66					
11	Число полученных открепительных  удостоверений	298	23	27	13	14	19	18	4	5	9	10	14	14	3	4	8	10	6	3	3	3	2	11	9	17	7	12	27	3					
12	Число выданных открепительных удостоверений	196	18	11	5	1	19	7	1	1	0	6	9	12	3	2	8	10	6	0	0	0	0	7	9	17	7	7	27	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	22	4	10	0	0	5	2	3	1	2	5	3	0	3	1	2	3	0	0	0	0	0	3	3	2	3	5	1					
14	Число неиспользованных открепительных удостоверений	102	5	16	8	13	0	11	3	4	9	4	5	2	0	2	0	0	0	3	3	3	2	4	0	0	0	5	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	464	59	38	40	14	19	31	1	9	29	24	8	14	4	1	13	27	3	19	0	6	1	14	11	23	15	7	34	0					
		3.24%	4.19%	3.93%	3.12%	3.98%	4.53%	3.30%	0.47%	2.80%	6.36%	4.05%	4.12%	2.08%	4.88%	0.66%	3.82%	4.46%	1.13%	10.22%	0.00%	3.12%	0.76%	2.22%	1.64%	2.58%	2.27%	0.97%	4.61%	0.00%					
19	. Малышкин Олег Александрович	438	41	22	33	24	19	34	11	9	11	22	4	19	2	3	18	12	5	3	8	1	1	14	27	25	11	25	31	3					
		3.06%	2.91%	2.28%	2.58%	6.82%	4.53%	3.62%	5.12%	2.80%	2.41%	3.72%	2.06%	2.82%	2.44%	1.97%	5.29%	1.98%	1.88%	1.61%	5.16%	0.52%	0.76%	2.22%	4.04%	2.81%	1.66%	3.47%	4.21%	4.55%					
20	. Миронов Сергей Михайлович	113	9	1	15	3	2	10	2	0	4	7	1	4	0	1	2	5	4	2	1	0	0	4	2	10	7	4	13	0					
