Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Черемшанская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	211	3	0	2	0	4	1	0	1	0	3	1	2	35	2	0	0	2	6	2	1	7	3	4	5	5	0	42	20	40	15	2	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	2	2	3	3	0	1	2	0	0	1	3	0	4	0	0	0	0	2	6	0	0	4	10	0	2	3	10	2	4	4	2	0	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	86	0	3	0	8	6	1	2	14	2	0	3	0	0	0	5	5	0	0	8	4	0	7	1	0	0	10	0	0	0	0	3	3	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	49	2	6	0	2	0	0	0	0	3	0	1	1	1	1	0	1	1	0	0	0	2	5	0	2	0	1	3	3	5	8	1	0	0	0					
		0.34%	0.39%	2.43%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	2.07%	0.00%	0.26%	0.48%	0.10%	0.66%	0.00%	0.51%	0.51%	0.00%	0.00%	0.00%	0.48%	0.75%	0.00%	0.52%	0.00%	0.20%	0.28%	0.67%	0.35%	1.05%	0.26%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	38	1	2	0	2	0	1	2	1	0	0	1	0	1	0	0	0	1	1	1	0	0	5	3	0	0	0	2	1	1	10	2	0	0	0					
		0.27%	0.19%	0.81%	0.00%	0.34%	0.00%	0.87%	1.11%	0.22%	0.00%	0.00%	0.26%	0.00%	0.10%	0.00%	0.00%	0.00%	0.51%	0.24%	0.23%	0.00%	0.00%	0.75%	0.64%	0.00%	0.00%	0.00%	0.19%	0.22%	0.07%	1.32%	0.52%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0					
