Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Сладковская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537					
1	"Число избирателей, внесенных в список избирателей"	9914	923	444	250	633	1296	144	353	341	552	593	1512	1660	374	839					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10165	970	456	249	690	1326	152	381	358	590	627	1500	1600	396	870					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	680	0	0	93	176	62	0	0	182	0	72	0	0	95	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7540	769	382	135	365	1074	137	308	129	406	470	1213	1450	244	458					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	894	87	31	14	51	63	0	34	8	88	42	179	108	26	163					
6	Число погашенных избирательных бюллетеней	1051	114	43	7	98	127	15	39	39	96	43	108	42	31	249					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1574	87	31	107	227	125	0	34	190	88	114	179	108	121	163					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7540	769	382	135	365	1074	137	308	129	406	470	1213	1450	244	458					
9	Число недействительных избирательных бюллетеней	39	6	0	0	1	1	0	0	0	7	2	4	1	8	9					
10	Число действительных избирательных бюллетеней	9075	850	413	242	591	1198	137	342	319	487	582	1388	1557	357	612					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	434	41	25	10	50	20	5	20	15	38	35	50	50	25	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	412	41	25	10	50	20	5	20	15	38	35	42	41	20	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	2	6	3	3	7	1	0	3	5	5	38	19	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	0	0	0	0	0	0	0	8	9	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	1	0	0	0	0	0	0	1	0	4	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	154	14	2	2	12	39	2	3	3	34	8	9	6	6	14					
		1.69%	1.64%	0.48%	0.83%	2.03%	3.25%	1.46%	0.88%	0.94%	6.88%	1.37%	0.65%	0.39%	1.64%	2.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	335	22	7	11	19	34	5	12	11	60	11	21	40	32	50					
		3.68%	2.57%	1.69%	4.55%	3.21%	2.84%	3.65%	3.51%	3.45%	12.15%	1.88%	1.51%	2.57%	8.77%	8.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	3	0	0	0	3	0	0	1	1	2	3	1	2	4					
		0.22%	0.35%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.31%	0.20%	0.34%	0.22%	0.06%	0.55%	0.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	356	26	31	11	25	15	4	14	14	33	15	49	61	17	41					
		3.91%	3.04%	7.51%	4.55%	4.22%	1.25%	2.92%	4.09%	4.39%	6.68%	2.57%	3.52%	3.92%	4.66%	6.60%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	4	0	0	0	4	0	1	0	1	2	4	1	1	5					
		0.25%	0.47%	0.00%	0.00%	0.00%	0.33%	0.00%	0.29%	0.00%	0.20%	0.34%	0.29%	0.06%	0.27%	0.81%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8175	779	373	218	534	1103	126	312	290	356	544	1298	1447	297	498					
		89.70%	91.00%	90.31%	90.08%	90.20%	91.99%	91.97%	91.23%	90.91%	72.06%	93.15%	93.25%	92.88%	81.37%	80.19%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	2	0	0	1	0	0	0	0	2	0	4	1	2	0					
		0.13%	0.23%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.29%	0.06%	0.55%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
