Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Райчихинская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513					
1	"Число избирателей, внесенных в список"	36182	2001	2357	1646	2920	2671	1822	1881	1641	902	590	1272	644	541	1171	1197	344	429	944	2604	2707	2597	903	461	739	1198					
2	Число полученных избирательных бюллетеней	32565	1710	2050	1400	2550	2350	1920	1610	1410	770	500	1100	555	470	1000	1030	300	370	1600	2300	2350	2350	770	410	630	1060					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19355	1008	1251	800	1654	1478	1260	1096	819	420	236	623	309	196	623	626	150	217	933	1368	1483	1320	360	235	345	545					
5	"Число избирательных бюллетеней, выданных вне помещения"	915	58	52	35	69	56	83	46	25	32	14	53	9	18	36	77	24	4	11	61	46	38	10	13	25	20					
6	Число погашенных избирательных бюллетеней	12295	644	747	565	827	816	577	468	566	318	250	424	237	256	341	327	126	149	656	871	821	992	400	162	260	495					
7	Число избирательных бюллетеней в переносных ящиках	915	58	52	35	69	56	83	46	25	32	14	53	9	18	36	77	24	4	11	61	46	38	10	13	25	20					
8	Число бюллетеней в стационарных ящиках для голосования	19351	1008	1251	800	1654	1478	1260	1096	819	416	236	623	309	196	623	626	150	217	933	1368	1483	1320	360	235	345	545					
9	Число недействительных избирательных бюллетеней	147	8	8	4	5	8	5	18	5	2	3	9	1	2	8	6	0	4	3	11	14	5	2	0	4	12					
10	Число действительных избирательных бюллетеней	20119	1058	1295	831	1718	1526	1338	1124	839	446	247	667	317	212	651	697	174	217	941	1418	1515	1353	368	248	366	553					
