Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Аскинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760					
1	"Число избирателей, внесенных в список"	16099	104	1080	1235	1031	1146	235	272	336	163	317	180	217	613	212	155	476	288	250	135	262	434	397	573	491	517	530	283	291	208	80	180	248	308	242	225	231	80	319	186	351	456	238	258	266					
2	Число полученных избирательных бюллетеней	16064	104	1078	1229	1053	1158	237	276	328	162	318	175	215	610	208	155	480	286	249	127	255	430	394	569	474	519	527	290	288	208	79	180	247	301	241	227	231	79	326	184	354	459	238	256	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14456	102	996	1010	918	1024	229	272	296	137	232	167	203	518	195	150	458	266	228	116	248	401	383	403	416	489	484	241	287	201	67	172	235	261	229	186	224	71	302	164	342	414	222	241	256					
5	"Число избирательных бюллетеней, выданных вне помещения"	971	0	61	121	26	45	2	0	17	7	36	8	12	72	11	4	14	20	21	10	7	29	4	120	57	17	30	18	0	7	10	5	5	20	8	24	6	8	17	19	6	37	15	15	0					
6	Число погашенных избирательных бюллетеней	637	2	21	98	109	89	6	4	15	18	50	0	0	20	2	1	8	0	0	1	0	0	7	46	1	13	13	31	1	0	2	3	7	20	4	17	1	0	7	1	6	8	1	0	4					
7	Число избирательных бюллетеней в переносных ящиках	971	0	61	121	26	45	2	0	17	7	36	8	12	72	11	4	14	20	21	10	7	29	4	120	57	17	30	18	0	7	10	5	5	20	8	24	6	8	17	19	6	37	15	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	14453	101	996	1010	918	1024	229	272	296	137	232	167	203	518	193	150	458	266	228	116	248	401	383	403	416	489	484	241	287	201	67	172	235	261	229	186	224	71	302	164	342	414	222	241	256					
9	Число недействительных избирательных бюллетеней	50	0	0	3	0	2	0	0	1	2	5	7	0	4	0	0	1	0	0	0	0	0	0	5	1	1	0	1	0	9	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	15374	101	1057	1128	944	1067	231	272	312	142	263	168	215	586	204	154	471	286	249	126	255	430	387	518	472	505	514	258	287	199	77	177	233	281	237	209	230	79	319	183	348	451	237	256	256					
11	Число полученных открепительных  удостоверений	297	2	22	24	21	23	5	5	6	3	6	3	4	11	4	3	8	5	4	2	5	7	6	10	9	9	9	5	5	4	2	3	5	5	5	4	4	2	5	3	7	8	4	5	5					
12	Число выданных открепительных удостоверений	158	1	17	13	17	19	1	0	0	0	2	0	1	4	0	0	1	1	2	1	0	1	6	2	1	8	9	2	1	0	2	3	4	2	0	4	3	0	5	2	6	8	0	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	0	15	11	8	1	0	1	3	1	2	3	3	4	1	0	0	0	3	5	5	1	1	1	0	6	1	0	2	1	0	0	3	3	1	4	3	1	2	0	1	3	2	2	3					
14	Число неиспользованных открепительных удостоверений	139	1	5	11	4	4	4	5	6	3	4	3	3	7	4	3	7	4	2	1	5	6	0	8	8	1	0	3	4	4	0	0	1	3	5	0	1	2	0	1	1	0	4	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	70	1	1	5	6	5	1	0	1	0	1	0	0	5	1	1	0	1	0	2	5	1	1	3	2	1	3	1	4	0	1	1	0	0	3	4	0	0	1	0	0	2	2	4	0					
		0.45%	0.99%	0.09%	0.44%	0.64%	0.47%	0.43%	0.00%	0.32%	0.00%	0.37%	0.00%	0.00%	0.85%	0.49%	0.65%	0.00%	0.35%	0.00%	1.59%	1.96%	0.23%	0.26%	0.57%	0.42%	0.20%	0.58%	0.39%	1.39%	0.00%	1.30%	0.56%	0.00%	0.00%	1.27%	1.90%	0.00%	0.00%	0.31%	0.00%	0.00%	0.44%	0.84%	1.56%	0.00%					
19	. Малышкин Олег Александрович	42	0	1	4	3	2	4	0	0	2	0	1	1	3	0	0	1	0	0	0	1	1	2	4	0	1	2	2	3	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0					
		0.27%	0.00%	0.09%	0.35%	0.32%	0.19%	1.73%	0.00%	0.00%	1.39%	0.00%	0.57%	0.47%	0.51%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.39%	0.23%	0.52%	0.76%	0.00%	0.20%	0.39%	0.77%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.43%	0.00%	0.00%	0.00%	0.29%	0.22%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	36	0	2	4	4	3	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	2	1	0	1	1	2	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	2	1	0					
		0.23%	0.00%	0.19%	0.35%	0.42%	0.28%	0.00%	0.00%	0.64%	0.00%	0.75%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.26%	0.00%	0.21%	0.20%	0.39%	0.00%	0.35%	0.00%	1.30%	0.56%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.55%	0.29%	0.22%	0.84%	0.39%	0.00%					
21	. Путин Владимир Владимирович	14865	95	1037	1072	920	1032	212	266	297	135	250	159	210	564	198	150	465	277	244	123	240	417	380	502	462	495	501	244	273	192	64	173	227	278	228	195	223	76	316	181	343	443	220	235	251					
		96.38%	94.06%	98.11%	94.78%	97.46%	96.54%	91.77%	97.79%	94.89%	93.75%	93.28%	90.86%	97.67%	95.59%	97.06%	97.40%	98.52%	96.85%	97.99%	97.62%	94.12%	96.98%	98.19%	95.98%	97.67%	97.83%	97.47%	94.21%	95.12%	92.31%	83.12%	97.74%	94.58%	98.93%	96.20%	92.86%	96.96%	96.20%	99.06%	98.91%	98.56%	98.23%	92.83%	91.80%	98.05%					
22	. Хакамада Ирина Муцуовна	57	0	3	5	2	3	3	0	1	2	0	0	1	6	0	0	2	2	1	0	0	1	0	3	2	1	2	3	3	2	0	1	1	0	1	2	1	0	0	0	0	1	1	1	0					
		0.37%	0.00%	0.28%	0.44%	0.21%	0.28%	1.30%	0.00%	0.32%	1.39%	0.00%	0.00%	0.47%	1.02%	0.00%	0.00%	0.42%	0.70%	0.40%	0.00%	0.00%	0.23%	0.00%	0.57%	0.42%	0.20%	0.39%	1.16%	1.05%	0.96%	0.00%	0.56%	0.42%	0.00%	0.42%	0.95%	0.43%	0.00%	0.00%	0.00%	0.00%	0.22%	0.42%	0.39%	0.00%					
23	. Харитонов Николай Михайлович	266	4	10	32	5	19	10	6	8	2	10	8	3	4	3	3	3	6	4	1	9	7	3	5	5	6	3	7	2	3	10	1	5	3	5	4	5	3	2	1	3	2	11	15	5					
		1.72%	3.96%	0.95%	2.83%	0.53%	1.78%	4.33%	2.21%	2.56%	1.39%	3.73%	4.57%	1.40%	0.68%	1.47%	1.95%	0.64%	2.10%	1.61%	0.79%	3.53%	1.63%	0.78%	0.96%	1.06%	1.19%	0.58%	2.70%	0.70%	1.44%	12.99%	0.56%	2.08%	1.07%	2.11%	1.90%	2.17%	3.80%	0.63%	0.55%	0.86%	0.44%	4.64%	5.86%	1.95%					
																																																			
24	Против всех	38	1	3	6	4	3	1	0	3	1	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	1	1	1	2	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0					
		0.25%	0.99%	0.28%	0.53%	0.42%	0.28%	0.43%	0.00%	0.96%	0.69%	0.00%	0.00%	0.00%	0.34%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.19%	0.00%	0.00%	0.19%	0.39%	0.35%	0.96%	1.30%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.42%	0.00%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
