Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Бабушкинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список"	11193	2981	498	216	287	367	179	271	647	214	311	122	1030	317	244	147	373	404	324	837	678	140	135	270	201					
2	Число полученных избирательных бюллетеней	10323	2700	450	199	260	350	180	250	600	203	300	125	944	300	220	150	352	351	300	718	651	150	140	230	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6496	1907	342	139	190	197	116	183	317	75	175	81	499	161	104	105	218	211	180	424	444	74	79	137	138					
5	"Число избирательных бюллетеней, выданных вне помещения"	1445	87	73	40	55	61	36	36	97	94	70	14	121	47	93	28	83	22	41	103	104	62	12	15	51					
6	Число погашенных избирательных бюллетеней	2382	706	35	20	15	92	28	31	186	34	55	30	324	92	23	17	51	118	79	191	103	14	49	78	11					
7	Число избирательных бюллетеней в переносных ящиках	1445	87	73	40	55	61	36	36	97	94	70	14	121	47	93	28	83	22	41	103	104	62	12	15	51					
8	Число бюллетеней в стационарных ящиках для голосования	6495	1906	342	139	190	197	116	183	317	75	175	81	499	161	104	105	218	211	180	424	444	74	79	137	138					
9	Число недействительных избирательных бюллетеней	70	21	5	1	0	4	1	1	3	1	1	3	3	4	0	1	0	1	2	5	8	0	1	1	3					
10	Число действительных избирательных бюллетеней	7870	1972	410	178	245	254	151	218	411	168	244	92	617	204	197	132	301	232	219	522	540	136	90	151	186					
11	Число полученных открепительных  удостоверений	155	40	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	69	37	0	0	4	3	0	1	1	4	4	1	4	0	1	0	0	1	0	4	0	2	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	25	1	2	3	1	0	3	3	3	0	2	2	1	0	1	0	0	0	1	0	3	1	2	3					
14	Число неиспользованных открепительных удостоверений	86	3	5	5	1	2	5	4	4	1	1	4	1	5	4	5	5	4	5	1	5	3	4	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	151	62	4	4	10	8	4	4	3	0	2	1	7	8	1	1	5	0	3	7	13	1	1	0	2					
		1.90%	3.11%	0.96%	2.23%	4.08%	3.10%	2.63%	1.83%	0.72%	0.00%	0.82%	1.05%	1.13%	3.85%	0.51%	0.75%	1.66%	0.00%	1.36%	1.33%	2.37%	0.74%	1.10%	0.00%	1.06%					
19	. Малышкин Олег Александрович	122	23	10	3	1	2	1	4	8	2	5	0	7	5	3	0	5	6	4	13	14	0	1	0	5					
		1.54%	1.15%	2.41%	1.68%	0.41%	0.78%	0.66%	1.83%	1.93%	1.18%	2.04%	0.00%	1.13%	2.40%	1.52%	0.00%	1.66%	2.58%	1.81%	2.47%	2.55%	0.00%	1.10%	0.00%	2.65%					
20	. Миронов Сергей Михайлович	42	10	4	0	0	1	1	3	1	0	3	1	2	0	2	0	0	2	1	2	5	1	3	0	0					
		0.53%	0.50%	0.96%	0.00%	0.00%	0.39%	0.66%	1.37%	0.24%	0.00%	1.22%	1.05%	0.32%	0.00%	1.02%	0.00%	0.00%	0.86%	0.45%	0.38%	0.91%	0.74%	3.30%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6217	1479	329	143	165	210	126	168	334	140	162	76	500	165	163	110	249	201	192	448	383	124	57	129	164					
		78.30%	74.21%	79.28%	79.89%	67.35%	81.40%	82.89%	76.71%	80.68%	82.84%	66.12%	80.00%	80.65%	79.33%	82.74%	82.71%	82.72%	86.27%	86.88%	85.01%	69.89%	91.18%	62.64%	84.87%	86.77%					
22	. Хакамада Ирина Муцуовна	69	29	6	1	3	1	1	3	4	0	4	0	3	0	2	1	0	2	0	5	2	1	0	0	1					
		0.87%	1.46%	1.45%	0.56%	1.22%	0.39%	0.66%	1.37%	0.97%	0.00%	1.63%	0.00%	0.48%	0.00%	1.02%	0.75%	0.00%	0.86%	0.00%	0.95%	0.36%	0.74%	0.00%	0.00%	0.53%					
23	. Харитонов Николай Михайлович	1210	347	53	26	65	31	18	35	58	24	68	14	89	25	24	20	38	20	19	43	122	8	28	22	13					
		15.24%	17.41%	12.77%	14.53%	26.53%	12.02%	11.84%	15.98%	14.01%	14.20%	27.76%	14.74%	14.35%	12.02%	12.18%	15.04%	12.62%	8.58%	8.60%	8.16%	22.26%	5.88%	30.77%	14.47%	6.88%					
																															
24	Против всех	59	22	4	1	1	1	0	1	3	2	0	0	9	1	2	0	4	1	0	4	1	1	0	0	1					
		0.74%	1.10%	0.96%	0.56%	0.41%	0.39%	0.00%	0.46%	0.72%	1.18%	0.00%	0.00%	1.45%	0.48%	1.02%	0.00%	1.33%	0.43%	0.00%	0.76%	0.18%	0.74%	0.00%	0.00%	0.53%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
