Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Солонешенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454					
1	"Число избирателей, внесенных в список"	9176	437	192	303	143	69	848	99	120	357	62	113	709	105	87	1854	952	197	141	211	303	173	43	837	99	524	139	59					
2	Число полученных избирательных бюллетеней	9300	574	202	304	148	70	835	97	123	368	54	113	720	104	75	1823	930	197	140	207	309	184	45	839	102	541	135	61					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6384	387	163	222	113	62	534	65	90	271	48	90	449	90	70	1273	617	125	110	137	220	134	39	528	56	365	84	42					
5	"Число избирательных бюллетеней, выданных вне помещения"	443	50	0	5	0	0	32	8	10	31	6	1	45	0	5	69	43	22	10	8	14	5	0	43	20	16	0	0					
6	Число погашенных избирательных бюллетеней	2473	137	39	77	35	8	269	24	23	66	0	22	226	14	0	481	270	50	20	62	75	45	6	268	26	160	51	19					
7	Число избирательных бюллетеней в переносных ящиках	443	50	0	5	0	0	32	8	10	31	6	1	45	0	5	69	43	22	10	8	14	5	0	43	20	16	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6381	387	163	222	113	62	534	65	90	271	48	90	449	90	70	1273	617	125	110	134	220	134	39	528	56	365	84	42					
9	Число недействительных избирательных бюллетеней	62	4	3	5	1	2	4	1	1	9	0	3	7	0	1	7	3	3	1	0	0	1	0	4	1	1	0	0					
10	Число действительных избирательных бюллетеней	6762	433	160	222	112	60	562	72	99	293	54	88	487	90	74	1335	657	144	119	142	234	138	39	567	75	380	84	42					
11	Число полученных открепительных  удостоверений	98	2	2	2	4	2	6	2	4	5	2	2	3	2	2	26	5	2	2	2	5	2	0	6	1	5	1	1					
12	Число выданных открепительных удостоверений	37	0	2	0	0	0	2	0	1	0	0	1	0	1	1	17	5	0	0	0	0	0	0	1	0	5	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	0	1	1	1	0	0	0	0	0	0	1	0	1	4	1	0	1	2	1	1	1	3	1	2	1	0					
14	Число неиспользованных открепительных удостоверений	61	2	0	2	4	2	4	2	3	5	2	1	3	1	1	9	0	2	2	2	5	2	0	5	1	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	184	16	5	4	1	0	13	2	4	2	1	0	6	1	1	58	14	3	7	2	8	2	0	13	1	13	4	3					
		2.70%	3.66%	3.07%	1.76%	0.88%	0.00%	2.30%	2.74%	4.00%	0.66%	1.85%	0.00%	1.21%	1.11%	1.33%	4.32%	2.12%	2.04%	5.83%	1.41%	3.42%	1.44%	0.00%	2.28%	1.32%	3.41%	4.76%	7.14%					
19	. Малышкин Олег Александрович	211	16	21	4	0	5	7	2	3	10	1	2	28	2	4	29	20	5	3	7	18	1	0	8	1	13	0	1					
		3.09%	3.66%	12.88%	1.76%	0.00%	8.06%	1.24%	2.74%	3.00%	3.31%	1.85%	2.20%	5.67%	2.22%	5.33%	2.16%	3.03%	3.40%	2.50%	4.93%	7.69%	0.72%	0.00%	1.40%	1.32%	3.41%	0.00%	2.38%					
20	. Миронов Сергей Михайлович	63	3	0	5	1	1	2	1	5	6	1	0	3	0	2	10	6	1	0	3	0	0	1	9	0	3	0	0					
		0.92%	0.69%	0.00%	2.20%	0.88%	1.61%	0.35%	1.37%	5.00%	1.99%	1.85%	0.00%	0.61%	0.00%	2.67%	0.75%	0.91%	0.68%	0.00%	2.11%	0.00%	0.00%	2.56%	1.58%	0.00%	0.79%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4282	220	65	123	96	38	413	51	42	157	43	62	304	74	43	813	420	91	74	87	147	97	31	407	59	242	56	27					
		62.75%	50.34%	39.88%	54.19%	84.96%	61.29%	72.97%	69.86%	42.00%	51.99%	79.63%	68.13%	61.54%	82.22%	57.33%	60.58%	63.64%	61.90%	61.67%	61.27%	62.82%	69.78%	79.49%	71.28%	77.63%	63.52%	66.67%	64.29%					
22	. Хакамада Ирина Муцуовна	125	8	3	6	2	1	3	1	1	8	2	3	8	0	2	19	14	0	1	4	3	2	1	16	4	12	1	0					
		1.83%	1.83%	1.84%	2.64%	1.77%	1.61%	0.53%	1.37%	1.00%	2.65%	3.70%	3.30%	1.62%	0.00%	2.67%	1.42%	2.12%	0.00%	0.83%	2.82%	1.28%	1.44%	2.56%	2.80%	5.26%	3.15%	1.19%	0.00%					
23	. Харитонов Николай Михайлович	1817	156	66	77	9	15	117	14	43	110	6	21	134	10	21	395	176	40	34	39	55	34	6	107	7	92	23	10					
		26.63%	35.70%	40.49%	33.92%	7.96%	24.19%	20.67%	19.18%	43.00%	36.42%	11.11%	23.08%	27.13%	11.11%	28.00%	29.43%	26.67%	27.21%	28.33%	27.46%	23.50%	24.46%	15.38%	18.74%	9.21%	24.15%	27.38%	23.81%					
																																		
24	Против всех	80	14	0	3	3	0	7	1	1	0	0	0	4	3	1	11	7	4	0	0	3	2	0	7	3	5	0	1					
		1.17%	3.20%	0.00%	1.32%	2.65%	0.00%	1.24%	1.37%	1.00%	0.00%	0.00%	0.00%	0.81%	3.33%	1.33%	0.82%	1.06%	2.72%	0.00%	0.00%	1.28%	1.44%	0.00%	1.23%	3.95%	1.31%	0.00%	2.38%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
