Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Рамешковская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851					
1	"Число избирателей, внесенных в список"	11788	2159	1300	466	323	526	716	278	401	218	401	234	244	388	1209	527	415	279	717	234	136	205	176	236					
2	Число полученных избирательных бюллетеней	11470	2124	1271	441	320	520	682	276	390	210	391	232	239	382	1162	495	405	272	696	224	138	203	173	224					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5070	1052	640	213	134	244	235	115	171	99	143	88	119	218	395	234	153	111	286	73	70	99	85	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	2245	69	28	106	57	109	234	44	105	51	101	52	55	63	280	122	132	56	198	122	46	71	52	92					
6	Число погашенных избирательных бюллетеней	4155	1003	603	122	129	167	213	117	114	60	147	92	65	101	487	139	120	105	212	29	22	33	36	39					
7	Число избирательных бюллетеней в переносных ящиках	2245	69	28	106	57	109	234	44	105	51	101	52	55	63	280	122	132	56	198	122	46	71	52	92					
8	Число бюллетеней в стационарных ящиках для голосования	5069	1052	639	213	134	244	235	115	171	99	143	88	119	218	395	234	153	111	286	73	70	99	85	93					
9	Число недействительных избирательных бюллетеней	32	0	3	2	2	3	0	0	0	0	4	0	0	1	2	1	2	2	5	0	2	2	1	0					
10	Число действительных избирательных бюллетеней	7282	1121	664	317	189	350	469	159	276	150	240	140	174	280	673	355	283	165	479	195	114	168	136	185					
11	Число полученных открепительных  удостоверений	280	40	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	72	11	6	1	4	6	3	10	7	1	4	0	0	0	7	3	2	3	0	1	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	8	3	10	4	0	5	6	8	0	0	0	0	4	6	9	2	5	3	1	0	1	4	5					
14	Число неиспользованных открепительных удостоверений	208	29	24	9	6	4	7	0	3	9	6	10	10	10	3	7	8	7	10	9	8	9	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	206	53	31	7	7	3	12	7	4	2	1	0	3	3	11	10	5	7	20	6	0	4	1	9					
		2.82%	4.73%	4.65%	2.19%	3.66%	0.85%	2.56%	4.40%	1.45%	1.33%	0.41%	0.00%	1.72%	1.07%	1.63%	2.81%	1.75%	4.19%	4.13%	3.08%	0.00%	2.35%	0.73%	4.86%					
19	. Малышкин Олег Александрович	160	22	16	7	3	11	12	2	4	0	9	0	2	3	26	4	10	4	7	4	3	1	6	4					
		2.19%	1.96%	2.40%	2.19%	1.57%	3.12%	2.56%	1.26%	1.45%	0.00%	3.69%	0.00%	1.15%	1.07%	3.85%	1.12%	3.51%	2.40%	1.45%	2.05%	2.59%	0.59%	4.38%	2.16%					
20	. Миронов Сергей Михайлович	65	14	5	2	0	5	4	0	1	3	5	1	2	2	7	1	2	0	6	0	0	1	3	1					
		0.89%	1.25%	0.75%	0.63%	0.00%	1.42%	0.85%	0.00%	0.36%	2.00%	2.05%	0.71%	1.15%	0.71%	1.04%	0.28%	0.70%	0.00%	1.24%	0.00%	0.00%	0.59%	2.19%	0.54%					
21	. Путин Владимир Владимирович	5214	665	422	252	138	256	327	125	237	115	154	119	143	216	506	275	197	111	344	152	98	151	101	110					
		71.29%	59.32%	63.27%	79.00%	72.25%	72.52%	69.72%	78.62%	85.87%	76.67%	63.11%	85.00%	82.18%	76.87%	74.96%	77.25%	69.12%	66.47%	71.07%	77.95%	84.48%	88.82%	73.72%	59.46%					
22	. Хакамада Ирина Муцуовна	132	37	11	0	4	8	7	4	2	2	6	2	1	3	21	8	3	0	4	5	1	0	3	0					
		1.80%	3.30%	1.65%	0.00%	2.09%	2.27%	1.49%	2.52%	0.72%	1.33%	2.46%	1.43%	0.57%	1.07%	3.11%	2.25%	1.05%	0.00%	0.83%	2.56%	0.86%	0.00%	2.19%	0.00%					
23	. Харитонов Николай Михайлович	1361	290	151	45	36	62	96	19	26	25	61	18	21	52	91	46	63	40	94	24	10	11	22	58					
		18.61%	25.87%	22.64%	14.11%	18.85%	17.56%	20.47%	11.95%	9.42%	16.67%	25.00%	12.86%	12.07%	18.51%	13.48%	12.92%	22.11%	23.95%	19.42%	12.31%	8.62%	6.47%	16.06%	31.35%					
																														
24	Против всех	144	40	28	4	1	5	11	2	2	3	4	0	2	1	11	11	3	3	4	4	2	0	0	3					
		1.97%	3.57%	4.20%	1.25%	0.52%	1.42%	2.35%	1.26%	0.72%	2.00%	1.64%	0.00%	1.15%	0.36%	1.63%	3.09%	1.05%	1.80%	0.83%	2.05%	1.72%	0.00%	0.00%	1.62%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
