Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Советская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  1573	УИК  1574	УИК  1575	УИК  1576	УИК  1577	УИК  1578	УИК  1579	УИК  1580	УИК  1581	УИК  1582	УИК  1583	УИК  1584	УИК  1585	УИК  1586	УИК  1587	УИК  1588	УИК  1589					
1	"Число избирателей, внесенных в список"	22363	1364	2295	2000	2258	1769	1415	2545	2215	887	833	1112	369	447	957	937	829	131					
2	Число полученных избирательных бюллетеней	22710	1390	2335	2067	2294	1784	1423	2578	2263	897	827	1125	379	453	969	953	834	139					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14240	734	1333	1143	1273	987	897	2114	1302	572	589	687	264	385	712	628	517	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	746	77	36	47	21	41	25	54	90	27	17	88	31	16	56	57	54	9					
6	Число погашенных избирательных бюллетеней	7724	579	966	877	1000	756	501	410	871	298	221	350	84	52	201	268	263	27					
7	Число избирательных бюллетеней в переносных ящиках	746	77	36	47	21	41	25	54	90	27	17	88	31	16	56	57	54	9					
8	Число бюллетеней в стационарных ящиках для голосования	14239	734	1332	1143	1273	987	897	2114	1302	572	589	687	264	385	712	628	517	103					
9	Число недействительных избирательных бюллетеней	169	6	10	5	12	4	2	60	19	5	2	10	6	4	5	7	11	1					
10	Число действительных избирательных бюллетеней	14816	805	1358	1185	1282	1024	920	2108	1373	594	604	765	289	397	763	678	560	111					
11	Число полученных открепительных  удостоверений	445	25	40	40	40	30	20	35	35	15	15	25	15	15	30	30	25	10					
12	Число выданных открепительных удостоверений	322	10	23	32	35	16	20	33	35	10	13	6	12	10	16	25	16	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	5	7	6	12	9	11	7	5	3	3	4	6	2	3	4	1	3					
14	Число неиспользованных открепительных удостоверений	123	15	17	8	5	14	0	2	0	5	2	19	3	5	14	5	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	1	2	2	2	1	1	0	2	0	0	1	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	485	19	67	46	47	40	71	53	36	14	10	12	12	14	16	6	17	5					
		3.24%	2.34%	4.90%	3.87%	3.63%	3.89%	7.70%	2.44%	2.59%	2.34%	1.65%	1.55%	4.07%	3.49%	2.08%	0.88%	2.98%	4.46%					
19	. Малышкин Олег Александрович	447	36	58	39	46	44	22	56	21	16	14	11	18	11	23	18	11	3					
		2.98%	4.44%	4.24%	3.28%	3.55%	4.28%	2.39%	2.58%	1.51%	2.67%	2.31%	1.42%	6.10%	2.74%	2.99%	2.63%	1.93%	2.68%					
20	. Миронов Сергей Михайлович	95	7	10	16	9	13	7	3	5	5	3	4	1	3	3	0	6	0					
		0.63%	0.86%	0.73%	1.34%	0.70%	1.26%	0.76%	0.14%	0.36%	0.83%	0.50%	0.52%	0.34%	0.75%	0.39%	0.00%	1.05%	0.00%					
21	. Путин Владимир Владимирович	9292	476	825	659	741	623	517	1503	885	340	287	518	212	291	526	476	344	69					
		62.01%	58.69%	60.31%	55.38%	57.26%	60.60%	56.07%	69.33%	63.58%	56.76%	47.36%	66.84%	71.86%	72.57%	68.49%	69.49%	60.25%	61.61%					
22	. Хакамада Ирина Муцуовна	390	40	37	27	36	33	26	36	36	25	12	19	4	10	7	19	23	0					
		2.60%	4.93%	2.70%	2.27%	2.78%	3.21%	2.82%	1.66%	2.59%	4.17%	1.98%	2.45%	1.36%	2.49%	0.91%	2.77%	4.03%	0.00%					
23	. Харитонов Николай Михайлович	3422	197	271	313	308	218	202	405	346	174	255	181	31	49	177	137	128	30					
		22.84%	24.29%	19.81%	26.30%	23.80%	21.21%	21.91%	18.68%	24.86%	29.05%	42.08%	23.35%	10.51%	12.22%	23.05%	20.00%	22.42%	26.79%					
																								
24	Против всех	685	30	90	85	95	53	75	52	44	20	23	20	11	19	11	22	31	4					
		4.57%	3.70%	6.58%	7.14%	7.34%	5.16%	8.13%	2.40%	3.16%	3.34%	3.80%	2.58%	3.73%	4.74%	1.43%	3.21%	5.43%	3.57%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
